"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"1912","zacopride","Phase 2","serotonin receptor antagonist","HTR3A|HTR3B|HTR4|HTR5A",-0.717116811850104,1,-0.717116811850104,NA,-0.717116811850104
"1761","tiratricol","Launched","thyroid hormone stimulant","THRA|THRB",-0.643437680247496,1,-0.643437680247496,NA,-0.643437680247496
"426","cyclizine","Launched","histamine receptor modulator","HRH1|SULT1E1",-0.630951954212853,2,-0.630951954212853,0.169500217618075,-0.630951954212853
"600","esomeprazole","Launched","ATPase inhibitor","ATP4A",-0.57223715163302,1,-0.57223715163302,NA,-0.57223715163302
"619","ethoxyquin","Preclinical","antioxidant","",-0.571109785474979,1,-0.571109785474979,NA,-0.571109785474979
"1859","vatalanib","Phase 3","KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor","EGFR|FLT1|FLT4|KDR|PDGFRB",-0.567537098211945,1,-0.567537098211945,NA,-0.567537098211945
"582","epiandrosterone","Preclinical","steroid","G6PD",-0.564922380514568,1,-0.564922380514568,NA,-0.564922380514568
"243","BU-224","Preclinical","imidazoline receptor ligand","MAOA|MAOB",-0.558937654029679,2,-0.558937654029679,0.0837212055958908,-0.558937654029679
"1346","phenylbutazone","Withdrawn","cyclooxygenase inhibitor|prostanoid receptor antagonist","PTGIS|PTGS1|PTGS2",-0.557141733522102,2,-0.557141733522102,0.0885227539239095,-0.557141733522102
"1077","miglitol","Launched","glucosidase inhibitor","GAA|GANAB|GANC|MGAM",-0.55361543705102,1,-0.55361543705102,NA,-0.55361543705102
"886","JTC-801","Phase 2","opioid receptor antagonist","OPRL1",-0.541963233772534,5,-0.622778039955954,0.199153993619414,-0.541963233772534
"1899","xylometazoline","Launched","adrenergic receptor agonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C",-0.526303535147257,1,-0.526303535147257,NA,-0.526303535147257
"1392","PNU-22394","Phase 2","serotonin receptor agonist","HTR2A|HTR2B|HTR2C|MAOA|MAOB",-0.52509045147082,1,-0.52509045147082,NA,-0.52509045147082
"1869","vigabatrin","Launched","GABA aminotransferase inhibitor","ABAT|GABBR1|SLC32A1",-0.521135093041616,2,-0.521135093041616,0.126948684296074,-0.521135093041616
"1305","pefloxacin","Launched","bacterial DNA gyrase inhibitor","TOP2A",-0.518910110575918,1,-0.518910110575918,NA,-0.518910110575918
"807","hydroquinidine","Launched","antiarrhythmic","",-0.509052211147466,1,-0.509052211147466,NA,-0.509052211147466
"790","hexetidine","Launched","local anesthetic","",-0.506142033390663,1,-0.506142033390663,NA,-0.506142033390663
"1414","prenylamine","Withdrawn","calcium channel blocker","CALM1|MYLK2",-0.493442523171133,4,-0.521148201950431,0.157193233075356,-0.493442523171133
"1252","osthol","Preclinical","calcium channel blocker","",-0.489939014407145,5,-0.514190903402723,0.157108205004921,-0.489939014407145
"643","fananserin","Phase 2","dopamine receptor antagonist|serotonin receptor antagonist","HTR2A",-0.485006940349047,2,-0.485006940349047,0.172119182991992,-0.485006940349047
"498","dihydrostreptomycin","Withdrawn","bacterial 30S ribosomal subunit inhibitor","",-0.481673745477426,1,-0.481673745477426,NA,-0.481673745477426
"1056","meticrane","Launched","diuretic","",-0.480029087032318,1,-0.480029087032318,NA,-0.480029087032318
"651","fendiline","Preclinical","calcium channel blocker","HTR2B",-0.478317864820933,2,-0.478317864820933,0.0862424819380161,-0.478317864820933
"656","fenoprofen","Launched","prostaglandin inhibitor","PTGS1|PTGS2|SLC5A8",-0.477662419380211,1,-0.477662419380211,NA,-0.477662419380211
"757","guaiacol","Launched","local anesthetic","CA2",-0.474418474059741,2,-0.474418474059741,0.313898904594689,-0.474418474059741
"1938","ZM-39923","Preclinical","JAK inhibitor","JAK1|JAK3",-0.473181527254179,3,-0.521944313355356,0.239816215790368,-0.473181527254179
"1791","tranexamic-acid","Launched","antifibrinolytic|plasminogen activator inhibitor","PLG",-0.471946935137119,1,-0.471946935137119,NA,-0.471946935137119
"1668","sulfamonomethoxine","Launched","bacterial antifolate","",-0.455987348266653,1,-0.455987348266653,NA,-0.455987348266653
"1502","ribostamycin","Launched","bacterial 30S ribosomal subunit inhibitor","",-0.4521262650097,1,-0.4521262650097,NA,-0.4521262650097
"51","alosetron","Withdrawn","serotonin receptor antagonist","HTR3A",-0.450774032454046,3,-0.500314613811546,0.111063883503868,-0.450774032454046
"98","anastrozole","Launched","aromatase inhibitor","CYP19A1",-0.449485329494695,1,-0.449485329494695,NA,-0.449485329494695
"1679","sumatriptan","Launched","serotonin receptor agonist","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR5A|HTR6|HTR7",-0.448305527701397,2,-0.448305527701397,0.052094018539516,-0.448305527701397
"1455","pyrantel","Launched","nicotinic receptor agonist","",-0.444713686686243,1,-0.444713686686243,NA,-0.444713686686243
"429","cyclopentolate","Launched","acetylcholine receptor antagonist","CHRM1",-0.443805639945292,2,-0.443805639945292,0.00933000975516387,-0.443805639945292
"406","CNQX","Phase 1","glutamate receptor antagonist","GRIA1|GRIA2|GRIA3|GRIA4",-0.440571271500882,1,-0.440571271500882,NA,-0.440571271500882
"1767","todralazine","Launched","antihypertensive agent","",-0.43534686172723,1,-0.43534686172723,NA,-0.43534686172723
"1487","rebamipide","Launched","free radical scavenger","FPR1",-0.43165721350707,1,-0.43165721350707,NA,-0.43165721350707
"1062","metrifonate","Phase 3","acetylcholinesterase inhibitor","ACHE",-0.431073357453726,1,-0.431073357453726,NA,-0.431073357453726
"485","didanosine","Launched","nucleoside reverse transcriptase inhibitor","PNP",-0.427769912432489,1,-0.427769912432489,NA,-0.427769912432489
"1310","penciclovir","Launched","DNA directed DNA polymerase inhibitor","",-0.424453698243173,3,-0.415847869476867,0.242541116585616,-0.424453698243173
"1270","oxyphenbutazone","Withdrawn","cyclooxygenase inhibitor","PLA2G2E|PTGS1|PTGS2",-0.422667524482023,4,-0.467182356394176,0.179144014709799,-0.422667524482023
"261","BVT-948","Preclinical","tyrosine phosphatase inhibitor","PTPN1|PTPN11|PTPN2",-0.419617787807456,10,-0.438286789334417,0.205873398679645,-0.419617787807456
"876","itopride","Launched","dopamine receptor antagonist","CHRM3|DRD2",-0.419439710492021,1,-0.419439710492021,NA,-0.419439710492021
"74","aminocaproic-acid","Launched","plasminogen activator inhibitor","LPA|PLAT|PLG",-0.416791710911506,2,-0.416791710911506,0.119056151978921,-0.416791710911506
"1377","pirfenidone","Launched","TGF beta receptor inhibitor","FURIN|TNF",-0.414910072885533,2,-0.414910072885533,0.0937506945744946,-0.414910072885533
"1942","zolpidem","Launched","benzodiazepine receptor agonist","GABRA1|GABRA2|GABRA3",-0.41118109793893,1,-0.41118109793893,NA,-0.41118109793893
"1254","oxandrolone","Launched","androgen receptor agonist","AR",-0.408132767028472,1,-0.408132767028472,NA,-0.408132767028472
"944","levobunolol","Launched","adrenergic receptor antagonist","ADRB1|ADRB2|ADRB3",-0.404986628913009,1,-0.404986628913009,NA,-0.404986628913009
"989","lymecycline","Launched","bacterial 50S ribosomal subunit inhibitor","",-0.404705296984601,1,-0.404705296984601,NA,-0.404705296984601
"1410","prednicarbate","Launched","phospholipase activator","NR3C1|PLA2G1B",-0.404501026944176,7,-0.405413178060581,0.166998319110893,-0.404501026944176
"854","iohexol","Launched","radiopaque medium","",-0.403722128823519,2,-0.403722128823519,0.0792533556072693,-0.403722128823519
"1263","oxolinic-acid","Preclinical","bacterial DNA gyrase inhibitor","",-0.400739342457134,1,-0.400739342457134,NA,-0.400739342457134
