"","target","p","padj"
"Anticonvulsants","Anticonvulsants",0,0
"GABA Antagonists","GABA Antagonists",0.001,0.224
"Tubulin Modulators","Tubulin Modulators",0.008,1
"Antitubercular Agents","Antitubercular Agents",0.009,1
"Gout Suppressants","Gout Suppressants",0.02,1
"Cardiotonic Agents","Cardiotonic Agents",0.022,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.029,1
"Carbonic Anhydrase Inhibitors","Carbonic Anhydrase Inhibitors",0.039,1
"Purinergic P1 Receptor Antagonists","Purinergic P1 Receptor Antagonists",0.039,1
"Solvents","Solvents",0.041,1
"Analgesics, Opioid","Analgesics, Opioid",0.044,1
"Narcotics","Narcotics",0.044,1
"Adrenergic alpha-Agonists","Adrenergic alpha-Agonists",0.046,1
"Histamine Agonists","Histamine Agonists",0.054,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.063,1
"Contrast Media","Contrast Media",0.064,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.066,1
"Neuromuscular Nondepolarizing Agents","Neuromuscular Nondepolarizing Agents",0.075,1
"Analgesics","Analgesics",0.079,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.079,1
"Chelating Agents","Chelating Agents",0.083,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.084,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.087,1
"Anticoagulants","Anticoagulants",0.087,1
"Calcium Channel Agonists","Calcium Channel Agonists",0.087,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.096,1
"Nicotinic Antagonists","Nicotinic Antagonists",0.098,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.1,1
"Anesthetics, Local","Anesthetics, Local",0.102,1
"Urological Agents","Urological Agents",0.11,1
"Antithyroid Agents","Antithyroid Agents",0.114,1
"Uricosuric Agents","Uricosuric Agents",0.118,1
"Sympathomimetics","Sympathomimetics",0.119,1
"Nasal Decongestants","Nasal Decongestants",0.132,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.143,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.158,1
"Narcotic Antagonists","Narcotic Antagonists",0.159,1
"Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal",0.16,1
"Anti-HIV Agents","Anti-HIV Agents",0.164,1
"Parasympathomimetics","Parasympathomimetics",0.177,1
"Keratolytic Agents","Keratolytic Agents",0.178,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.178,1
"Neurotransmitter Uptake Inhibitors","Neurotransmitter Uptake Inhibitors",0.179,1
"Indicators and Reagents","Indicators and Reagents",0.182,1
"Mineralocorticoid Receptor Antagonists","Mineralocorticoid Receptor Antagonists",0.186,1
"Oxytocics","Oxytocics",0.191,1
"14-alpha Demethylase Inhibitors","14-alpha Demethylase Inhibitors",0.192,1
"Lipoxygenase Inhibitors","Lipoxygenase Inhibitors",0.192,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.194,1
"Vitamin B Complex","Vitamin B Complex",0.205,1
"Angiotensin-Converting Enzyme Inhibitors","Angiotensin-Converting Enzyme Inhibitors",0.207,1
"Androgen Antagonists","Androgen Antagonists",0.218,1
"Tocolytic Agents","Tocolytic Agents",0.218,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.222,1
"Vitamins","Vitamins",0.229,1
"GABA Modulators","GABA Modulators",0.239,1
"Histamine Antagonists","Histamine Antagonists",0.248,1
"Monoamine Oxidase Inhibitors","Monoamine Oxidase Inhibitors",0.251,1
"Serotonin Receptor Agonists","Serotonin Receptor Agonists",0.258,1
"Estrogens","Estrogens",0.262,1
"Uncoupling Agents","Uncoupling Agents",0.264,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.275,1
"Photosensitizing Agents","Photosensitizing Agents",0.284,1
"Coccidiostats","Coccidiostats",0.289,1
"Cytochrome P-450 CYP2C19 Inhibitors","Cytochrome P-450 CYP2C19 Inhibitors",0.298,1
"Antidotes","Antidotes",0.303,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.31,1
"Vasodilator Agents","Vasodilator Agents",0.31,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.312,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.316,1
"Appetite Depressants","Appetite Depressants",0.316,1
"Dopamine Agonists","Dopamine Agonists",0.316,1
"Teratogens","Teratogens",0.317,1
"Hypolipidemic Agents","Hypolipidemic Agents",0.324,1
"Nootropic Agents","Nootropic Agents",0.331,1
"Anti-Infective Agents","Anti-Infective Agents",0.333,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.337,1
"Antidepressive Agents","Antidepressive Agents",0.338,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.343,1
"Convulsants","Convulsants",0.345,1
"Cannabinoid Receptor Agonists","Cannabinoid Receptor Agonists",0.348,1
"Antihypertensive Agents","Antihypertensive Agents",0.35,1
"Cyclooxygenase 2 Inhibitors","Cyclooxygenase 2 Inhibitors",0.35,1
"Parasympatholytics","Parasympatholytics",0.352,1
"Antirheumatic Agents","Antirheumatic Agents",0.361,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.362,1
"Adrenergic beta-Agonists","Adrenergic beta-Agonists",0.365,1
"Cholagogues and Choleretics","Cholagogues and Choleretics",0.365,1
"Bronchodilator Agents","Bronchodilator Agents",0.366,1
"Antioxidants","Antioxidants",0.374,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.38,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.39,1
"Antimetabolites","Antimetabolites",0.403,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.404,1
"Dopamine Antagonists","Dopamine Antagonists",0.412,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.416,1
"Catechol O-Methyltransferase Inhibitors","Catechol O-Methyltransferase Inhibitors",0.419,1
"Plant Growth Regulators","Plant Growth Regulators",0.419,1
"Antipsychotic Agents","Antipsychotic Agents",0.424,1
"Ganglionic Blockers","Ganglionic Blockers",0.427,1
