"","id","cmap_score","p","padj","sig_id","cell_id","pert_desc","pert_id","pert_type","pert_dose","pert_time","pert_time_unit","brew_prefix","is_gold","pert_mfc_id","pert_iname","pool_id","zmad_ref"
"141","32248",-1.11656441717791,0,0,"CPC006_SKLU1_6H:BRD-K28907958-001-02-7:11.1","SKLU1","-666","BRD-K28907958","trt_cp",11.1,"6","h","CPC006_SKLU1_6H","1","NULL","CD-437","epsilon","population"
"162","326013",-0.952965235173824,0,0,"LJP001_MCF10A_24H:BRD-K94294671-003-02-1:0.4","MCF10A","OSI-027","BRD-K94294671","trt_cp",0.4,"24","h","LJP001_MCF10A_24H","1","NULL","OSI-027","epsilon","population"
"77","18016",-0.95040899795501,0,0,"CPC006_A549_6H:BRD-A12230535-001-02-6:44.4","A549","Nutlin-3","BRD-A12230535","trt_cp",44.4,"6","h","CPC006_A549_6H","1","NULL","nutlin-3","epsilon","population"
"277","56955",-0.938820722563054,0,0,"CPC013_A549_24H:BRD-K47832606-001-13-7:10","A549","S1299","BRD-K47832606","trt_cp",10,"24","h","CPC013_A549_24H","1","NULL","floxuridine","epsilon","population"
"95","21732",-0.91291751874574,0,0,"CPC006_HA1E_24H:BRD-A19037878:10","HA1E","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC006_HA1E_24H","1","NULL","trichostatin-a","epsilon","population"
"223","434321",-0.852079072937969,0.001,0.0564285714285714,"HOG001_A549_24H:BRD-A45889380-300-04-8:10","A549","quinacrine","BRD-A45889380","trt_cp",10,"24","h","HOG001_A549_24H","1","NULL","mepacrine","epsilon","population"
"124","28202",-0.83571915473756,0.001,0.0564285714285714,"CPC006_NCIH2073_6H:BRD-K73789395-001-06-5:102.71","NCIH2073","ZM 336372","BRD-K73789395","trt_cp",102.71,"6","h","CPC006_NCIH2073_6H","1","NULL","ZM-336372","epsilon","population"
"210","365945",-0.811520109066121,0.003,0.105333333333333,"RAD001_PC3_6H:BRD-K37890730-001-10-2:10","PC3","CAMPTOTHECIN","BRD-K37890730","trt_cp",10,"6","h","RAD001_PC3_6H","1","NULL","camptothecin","epsilon","population"
"39","13906",-0.806066802999318,0.003,0.105333333333333,"CPC004_PC3_24H:BRD-A35588707-001-03-0:10","PC3","TENIPOSIDE","BRD-A35588707","trt_cp",10,"24","h","CPC004_PC3_24H","1","NULL","teniposide","epsilon","population"
"135","31126",-0.794989775051125,0.003,0.105333333333333,"CPC005_PC3_24H:BRD-A19037878:10","PC3","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC005_PC3_24H","1","NULL","trichostatin-a","epsilon","population"
"302","71176",-0.794308111792774,0.003,0.105333333333333,"CPC015_A375_6H:BRD-A34205397-001-03-7:10","A375","-666","BRD-A34205397","trt_cp",10,"6","h","CPC015_A375_6H","1","NULL","suloctidil","epsilon","population"
"388","96423",-0.791922290388548,0.004,0.105333333333333,"CPC018_HT29_6H:BRD-K03015355-003-01-5:10","HT29","-666","BRD-K03015355","trt_cp",10,"6","h","CPC018_HT29_6H","1","NULL","forskolin","epsilon","population"
"38","137934",-0.785957736877982,0.004,0.105333333333333,"DOS020_VCAP_24H:BRD-A79768653:10","VCAP","sirolimus","BRD-A79768653","trt_cp",10,"24","h","DOS020_VCAP_24H","1","NULL","sirolimus","epsilon","population"
"225","435282",-0.76414451261077,0.006,0.105333333333333,"HOG002_A549_6H:BRD-K15108141-001-01-7:3.7","A549","gemcitabine","BRD-K15108141","trt_cp",3.7,"6","h","HOG002_A549_6H","1","NULL","gemcitabine","epsilon","population"
"113","24921",-0.759713701431493,0.006,0.105333333333333,"CPC006_HT29_24H:BRD-K21672174-001-02-2:160","HT29","Ro 28-1675 ?","BRD-K21672174","trt_cp",160,"24","h","CPC006_HT29_24H","1","NULL","RO-28-1675","epsilon","population"
"206","35683",-0.753237900477164,0.006,0.105333333333333,"CPC007_A375_6H:BRD-K03067624-003-19-3:10","A375","EMETINE HYDROCHLORIDE","BRD-K03067624","trt_cp",10,"6","h","CPC007_A375_6H","1","NULL","emetine","epsilon","population"
