"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.002,0.246
"Antineoplastic Agents","Antineoplastic Agents",0.022,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.022,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.023,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.028,1
"Antihypertensive Agents","Antihypertensive Agents",0.034,1
"Antifungal Agents","Antifungal Agents",0.052,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.052,1
"Estrogen Antagonists","Estrogen Antagonists",0.065,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.069,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.069,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.073,1
"Amebicides","Amebicides",0.088,1
"Emetics","Emetics",0.088,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.103,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.109,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.109,1
"Antitubercular Agents","Antitubercular Agents",0.128,1
"Immunologic Factors","Immunologic Factors",0.128,1
"Protease Inhibitors","Protease Inhibitors",0.128,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.154,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.159,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.174,1
"Neuroprotective Agents","Neuroprotective Agents",0.18,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.184,1
"Teratogens","Teratogens",0.193,1
"Coloring Agents","Coloring Agents",0.198,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.199,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.207,1
"Diuretics","Diuretics",0.231,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.231,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.236,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.236,1
"Sympatholytics","Sympatholytics",0.236,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.24,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.249,1
"Serotonin Antagonists","Serotonin Antagonists",0.258,1
"Estrogens","Estrogens",0.26,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.3,1
"Cathartics","Cathartics",0.311,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.32,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.332,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.338,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.353,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.361,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.374,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.388,1
