"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"150","neratinib","Phase 3","EGFR inhibitor","EGFR|ERBB2|KDR",-1.15811747330152,1,-1.15811747330152,NA,-1.15811747330152
"43","CD-437","Preclinical","retinoid receptor agonist","RARG",-1.11656441717791,1,-1.11656441717791,NA,-1.11656441717791
"18","AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9",-1.0897807316519,1,-1.0897807316519,NA,-1.0897807316519
"264","WYE-125132","Preclinical","mTOR inhibitor","MTOR",-1.07529538741195,1,-1.07529538741195,NA,-1.07529538741195
"268","YM-155","Phase 2","survivin inhibitor","BIRC5",-0.985145421495115,1,-0.985145421495115,NA,-0.985145421495115
"101","floxuridine","Launched","DNA synthesis inhibitor","TYMS",-0.938820722563054,1,-0.938820722563054,NA,-0.938820722563054
"85","erlotinib","Launched","EGFR inhibitor","EGFR|NR1I2",-0.887837991365599,1,-0.887837991365599,NA,-0.887837991365599
"258","vemurafenib","Launched","RAF inhibitor","BRAF|RAF1",-0.884600090888435,1,-0.884600090888435,NA,-0.884600090888435
"164","OSI-027","Phase 1","mTOR inhibitor","MTOR",-0.867657918654851,2,-0.867657918654851,0.744562874884369,-0.867657918654851
"168","parbendazole","Preclinical","tubulin polymerization inhibitor","TUBB",-0.844211542831175,1,-0.844211542831175,NA,-0.844211542831175
"39","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.811520109066121,1,-0.811520109066121,NA,-0.811520109066121
"75","doramapimod","Phase 2","p38 MAPK inhibitor","MAPK11|MAPK12|MAPK13|MAPK14",-0.809617132469894,1,-0.809617132469894,NA,-0.809617132469894
"173","PF-04217903","Phase 1","c-Met inhibitor","MET",-0.803822994773916,1,-0.803822994773916,NA,-0.803822994773916
"158","nutlin-3","Preclinical","MDM inhibitor","MDM2|TP53",-0.792689161554192,2,-0.792689161554192,0.223049531693303,-0.792689161554192
"166","PAC-1","Phase 1","caspase activator","CASP3",-0.752897068847989,1,-0.752897068847989,NA,-0.752897068847989
"175","PHA-793887","Phase 1","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK7|CDK9",-0.752385821404226,1,-0.752385821404226,NA,-0.752385821404226
