"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.006,0.738
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.025,1
"Antineoplastic Agents","Antineoplastic Agents",0.026,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.026,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.026,1
"Antihypertensive Agents","Antihypertensive Agents",0.03,1
"Antifungal Agents","Antifungal Agents",0.058,1
"Estrogen Antagonists","Estrogen Antagonists",0.062,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.071,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.072,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.074,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.082,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.09,1
"Amebicides","Amebicides",0.095,1
"Emetics","Emetics",0.095,1
"Immunologic Factors","Immunologic Factors",0.122,1
"Protease Inhibitors","Protease Inhibitors",0.122,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.127,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.127,1
"Antitubercular Agents","Antitubercular Agents",0.138,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.148,1
"Teratogens","Teratogens",0.163,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.164,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.17,1
"Neuroprotective Agents","Neuroprotective Agents",0.175,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.188,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.188,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.191,1
"Coloring Agents","Coloring Agents",0.205,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.211,1
"Sympatholytics","Sympatholytics",0.211,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.222,1
"Diuretics","Diuretics",0.222,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.222,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.236,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.259,1
"Estrogens","Estrogens",0.273,1
"Serotonin Antagonists","Serotonin Antagonists",0.279,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.31,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.31,1
"Cathartics","Cathartics",0.327,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.337,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.338,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.347,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.355,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.384,1
"Antitussive Agents","Antitussive Agents",0.402,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.406,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.412,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.414,1
"Urological Agents","Urological Agents",0.414,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.415,1
"Antipsychotic Agents","Antipsychotic Agents",0.416,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.421,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.432,1
"Anti-HIV Agents","Anti-HIV Agents",0.435,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.436,1
