"","id","cmap_score","p","padj","sig_id","cell_id","pert_desc","pert_id","pert_type","pert_dose","pert_time","pert_time_unit","brew_prefix","is_gold","pert_mfc_id","pert_iname","pool_id","zmad_ref"
"177","329278",-0.917270868191114,0,0,"LJP002_MDAMB231_24H:BRD-K49865102-001-04-3:10","MDAMB231","PD0325901","BRD-K49865102","trt_cp",10,"24","h","LJP002_MDAMB231_24H","1","NULL","PD-0325901","epsilon","population"
"89","20322",-0.912065439672802,0,0,"CPC006_DV90_6H:BRD-A36630025-001-02-6:0.35","DV90","-666","BRD-A36630025","trt_cp",0.35,"6","h","CPC006_DV90_6H","1","NULL","SN-38","epsilon","population"
"63","169134",-0.904815021379439,0,0,"HDAC002_HA1E_24H:BRD-K77908580-001-04-7:10","HA1E","MS275","BRD-K77908580","trt_cp",10,"24","h","HDAC002_HA1E_24H","1","NULL","entinostat","epsilon","population"
"161","325851",-0.848484848484849,0,0,"LJP001_MCF10A_24H:BRD-K85606544-001-04-2:0.4","MCF10A","HKI-272:Neratinib","BRD-K85606544","trt_cp",0.4,"24","h","LJP001_MCF10A_24H","1","NULL","neratinib","epsilon","population"
"173","328971",-0.839282394497118,0,0,"LJP002_MDAMB231_24H:BRD-K87737963-001-02-9:0.4","MDAMB231","CYT387","BRD-K87737963","trt_cp",0.4,"24","h","LJP002_MDAMB231_24H","1","NULL","CYT387","epsilon","population"
"29","115445",-0.831660159881019,0,0,"CPD002_PC3_24H:BRD-K82795137-001-18-9:10","PC3","Loratadine","BRD-K82795137","trt_cp",10,"24","h","CPD002_PC3_24H","1","NULL","loratadine","epsilon","population"
"124","28202",-0.821899981409184,0,0,"CPC006_NCIH2073_6H:BRD-K73789395-001-06-5:102.71","NCIH2073","ZM 336372","BRD-K73789395","trt_cp",102.71,"6","h","CPC006_NCIH2073_6H","1","NULL","ZM-336372","epsilon","population"
"32","11866",-0.81911135898866,0,0,"CPC004_PC3_6H:BRD-A48237631-001-03-0:10","PC3","MITOMYCIN C","BRD-A48237631","trt_cp",10,"6","h","CPC004_PC3_6H","1","NULL","mitomycin-c","epsilon","population"
"69","17535",-0.817066369213608,0,0,"CPC006_A375_24H:BRD-K88560311-011-02-2:10","A375","AG-014699 (PF-01367338)","BRD-K88560311","trt_cp",10,"24","h","CPC006_A375_24H","1","NULL","rucaparib","epsilon","population"
"85","19948",-0.808235731548615,0,0,"CPC006_CORL23_6H:BRD-A19037878:10","CORL23","trichostatin-a","BRD-A19037878","trt_cp",10,"6","h","CPC006_CORL23_6H","1","NULL","trichostatin-a","epsilon","population"
"10","103698",-0.806748466257669,0,0,"CPD001_PC3_24H:BRD-A07932845-103-02-3:10","PC3","Methiothepin maleate","BRD-A07932845","trt_cp",10,"24","h","CPD001_PC3_24H","1","NULL","metitepine","epsilon","population"
"201","340084",-0.798382598996096,0,0,"MUC.CP002_NKDBA_24H:BRD-K60230970-001-10-0:1.1111","NKDBA","SA2688462","BRD-K60230970","trt_cp",1.1111,"24","h","MUC.CP002_NKDBA_24H","1","NULL","MG-132","epsilon","population"
"323","76050",-0.791318088864101,0,0,"CPC014_HCC515_6H:BRD-K50168500-001-01-2:10","HCC515","S1019","BRD-K50168500","trt_cp",10,"6","h","CPC014_HCC515_6H","1","NULL","canertinib","epsilon","population"
"186","331062",-0.783509946086633,0,0,"LJP002_SKBR3_24H:BRD-K02113016-001-05-5:10","SKBR3","KU-0059436;AZD2281;Olaparib","BRD-K02113016","trt_cp",10,"24","h","LJP002_SKBR3_24H","1","NULL","olaparib","epsilon","population"
"19","111510",-0.776538390035323,0,0,"CVD001_HUH7_24H:BRD-K37312348-001-05-1:3.825","HUH7","-666","BRD-K37312348","trt_cp",3.825,"24","h","CVD001_HUH7_24H","1","NULL","kenpaullone","epsilon","population"
"269","52740",-0.770961145194274,0,0,"CPC006_VCAP_24H:BRD-A62025033-001-01-8:10","VCAP","temsirolimus [CI779]","BRD-A62025033","trt_cp",10,"24","h","CPC006_VCAP_24H","1","NULL","temsirolimus","epsilon","population"
"4","101742",-0.770310466629485,0,0,"CPC017_NPC_24H:BRD-K06426971-001-01-9:10","NPC","-666","BRD-K06426971","trt_cp",10,"24","h","CPC017_NPC_24H","1","NULL","ryuvidine","epsilon","population"
"288","65356",-0.768451385015802,0,0,"CPC012_NPC_24H:BRD-A19037878:10","NPC","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC012_NPC_24H","1","NULL","trichostatin-a","epsilon","population"
"326","7711",-0.742889012827663,0,0,"CPC004_HCC515_24H:BRD-A41519720-001-03-0:10","HCC515","EZETIMIBE","BRD-A41519720","trt_cp",10,"24","h","CPC004_HCC515_24H","1","NULL","ezetimibe","epsilon","population"
"228","435525",-0.741401747536717,0,0,"HOG003_A549_6H:BRD-K68202742-001-10-8:10","A549","trichostatin-a","BRD-K68202742","trt_cp",10,"6","h","HOG003_A549_6H","1","NULL","trichostatin-a","epsilon","population"
"95","21732",-0.740472206729875,0,0,"CPC006_HA1E_24H:BRD-A19037878:10","HA1E","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC006_HA1E_24H","1","NULL","trichostatin-a","epsilon","population"
"240","441832",-0.739635620003718,0,0,"HOG003_MCF7_24H:BRD-K94920105-001-01-3:10","MCF7","DR-2313","BRD-K94920105","trt_cp",10,"24","h","HOG003_MCF7_24H","1","NULL","DR-2313","epsilon","population"
"360","87503",-0.730619074177356,0,0,"CPC013_SKB_24H:BRD-K71823332-001-01-1:10","SKB","S1297","BRD-K71823332","trt_cp",10,"24","h","CPC013_SKB_24H","1","NULL","epothilone-a","epsilon","population"
"382","94269",-0.728481130321621,0,0,"CPC020_HA1E_6H:BRD-A88774919-001-02-8:10","HA1E","doxycycline","BRD-A88774919","trt_cp",10,"6","h","CPC020_HA1E_6H","1","NULL","doxycycline","epsilon","population"
"183","33051",-0.722810931399889,0,0,"CPC006_SKMEL1_6H:BRD-K88510285-001-01-2:0.04","SKMEL1","B675700.cdx","BRD-K88510285","trt_cp",0.04,"6","h","CPC006_SKMEL1_6H","1","NULL","bortezomib","epsilon","population"
"165","327137",-0.721881390593047,0,0,"LJP001_MCF7_6H:BRD-K72420232-001-05-7:2","MCF7","WZ4002","BRD-K72420232","trt_cp",2,"6","h","LJP001_MCF7_6H","1","NULL","WZ-4002","epsilon","population"
"168","32739",-0.718442089607734,0,0,"CPC006_SKM1_6H:BRD-K76964878-001-01-8:24","SKM1","EX 527","BRD-K76964878","trt_cp",24,"6","h","CPC006_SKM1_6H","1","NULL","EX-527","epsilon","population"
"372","9032",-0.712493028443949,0,0,"CPC004_HEPG2_6H:BRD-A58564983-001-03-8:10","HEPG2","SELAMECTIN","BRD-A58564983","trt_cp",10,"6","h","CPC004_HEPG2_6H","1","NULL","selamectin","epsilon","population"
"197","33642",-0.711470533556423,0,0,"CPC006_SKMEL28_6H:BRD-A19037878:10","SKMEL28","trichostatin-a","BRD-A19037878","trt_cp",10,"6","h","CPC006_SKMEL28_6H","1","NULL","trichostatin-a","epsilon","population"
"231","436237",-0.711191671314371,0,0,"CPC006_H1299_6H:BRD-K59184148-001-04-2:10","H1299","SB 216763","BRD-K59184148","trt_cp",10,"6","h","CPC006_H1299_6H","1","NULL","SB-216763","epsilon","population"
"88","20304",-0.707008737683584,0,0,"CPC006_COV644_6H:BRD-A79768653-001-02-1:10","COV644","sirolimus","BRD-A79768653","trt_cp",10,"6","h","CPC006_COV644_6H","1","NULL","sirolimus","epsilon","population"
