"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"1323","peruvoside","Phase 1","cardiac glycoside","",-0.845467860007966,3,-0.885351159818556,0.333633237014937,-0.845467860007966
"1711","teniposide","Launched","topoisomerase inhibitor","TOP2A|TOP2B",-0.834801343965521,91,-0.945507942367977,0.35031098959236,-0.834801343965521
"1629","SN-38","Launched","topoisomerase inhibitor","TOP1",-0.831800763863295,76,-0.891944095755026,0.297199459353295,-0.831800763863295
"1081","minocycline","Launched","bacterial 30S ribosomal subunit inhibitor","ALOX5|CASP1|CASP3|CYCS|IL1B|MMP9|VEGFA",-0.802317655078391,1,-0.802317655078391,NA,-0.802317655078391
"215","BMS-387032","Phase 1","CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor","CDK2|CDK7|CDK9",-0.802306078682937,36,-0.845234199020601,0.280959947620163,-0.802306078682937
"274","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.795796796366717,61,-0.843217450579414,0.303385209855569,-0.795796796366717
"1460","pyrithyldione","Withdrawn","psychoactive drug","",-0.78833463665209,1,-0.78833463665209,NA,-0.78833463665209
"795","homoharringtonine","Launched","protein synthesis inhibitor","RPL3",-0.768187467875046,65,-0.772485965895444,0.244477643534446,-0.768187467875046
"32","actinomycin-d","Launched","RNA polymerase inhibitor","",-0.74744078890448,3,-0.728357191547376,0.0946667799540879,-0.74744078890448
"132","ataluren","Launched","CFTR channel agonist|dystrophin stimulant","DMD",-0.743353783231084,1,-0.743353783231084,NA,-0.743353783231084
"824","idarubicin","Launched","topoisomerase inhibitor","TOP2A",-0.724765024043157,86,-0.822499651310581,0.368951913005985,-0.724765024043157
"1368","pipemidic-acid","Launched","topoisomerase inhibitor","",-0.716845202432594,2,-0.716845202432594,0.186657873902175,-0.716845202432594
"22","acefylline","Launched","adenosine receptor agonist","ADORA1",-0.716257668711656,1,-0.716257668711656,NA,-0.716257668711656
"932","latamoxef","Launched","bacterial cell wall synthesis inhibitor","",-0.704149224245819,1,-0.704149224245819,NA,-0.704149224245819
"1464","pyrvinium-pamoate","Launched","androgen receptor antagonist","AR",-0.700628369761541,64,-0.704234432153112,0.283346343848933,-0.700628369761541
"401","closantel","Launched","chitinase inhibitor|NFkB pathway inhibitor","",-0.697171097477846,1,-0.697171097477846,NA,-0.697171097477846
"1077","miglitol","Launched","glucosidase inhibitor","GAA|GANAB|GANC|MGAM",-0.691547375596455,1,-0.691547375596455,NA,-0.691547375596455
