"","target","p","padj"
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.002,0.246
"Antiviral Agents","Antiviral Agents",0.004,0.488
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.027,1
"Antifungal Agents","Antifungal Agents",0.028,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.041,1
"Estrogens","Estrogens",0.06,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.061,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.063,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.069,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.075,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.091,1
"Amebicides","Amebicides",0.093,1
"Emetics","Emetics",0.093,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.101,1
"Neuroprotective Agents","Neuroprotective Agents",0.112,1
"Cathartics","Cathartics",0.114,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.138,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.138,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.138,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.138,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.167,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.182,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.19,1
"Antitussive Agents","Antitussive Agents",0.202,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.216,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.227,1
"Uricosuric Agents","Uricosuric Agents",0.227,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.243,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.251,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.255,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.255,1
"Serotonin Antagonists","Serotonin Antagonists",0.256,1
"Antitubercular Agents","Antitubercular Agents",0.284,1
"Glucocorticoids","Glucocorticoids",0.309,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.311,1
"Cardiotonic Agents","Cardiotonic Agents",0.321,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.337,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.351,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.354,1
"Sympatholytics","Sympatholytics",0.354,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.358,1
