"","target","p","padj"
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0,0
"Anticonvulsants","Anticonvulsants",0,0
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0,0
"Uricosuric Agents","Uricosuric Agents",0.002,0.444
"Sympathomimetics","Sympathomimetics",0.005,1
"Antipyretics","Antipyretics",0.008,1
"Histamine Antagonists","Histamine Antagonists",0.009,1
"Catechol O-Methyltransferase Inhibitors","Catechol O-Methyltransferase Inhibitors",0.012,1
"Analgesics, Opioid","Analgesics, Opioid",0.019,1
"Narcotics","Narcotics",0.019,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.02,1
"Muscarinic Antagonists","Muscarinic Antagonists",0.022,1
"Cannabinoid Receptor Agonists","Cannabinoid Receptor Agonists",0.04,1
"Antiparkinson Agents","Antiparkinson Agents",0.041,1
"Angiotensin-Converting Enzyme Inhibitors","Angiotensin-Converting Enzyme Inhibitors",0.043,1
"Contrast Media","Contrast Media",0.046,1
"Gout Suppressants","Gout Suppressants",0.048,1
"Adrenergic alpha-Agonists","Adrenergic alpha-Agonists",0.053,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.053,1
"Adrenergic beta-Antagonists","Adrenergic beta-Antagonists",0.054,1
"Nootropic Agents","Nootropic Agents",0.054,1
"Adrenergic beta-1 Receptor Antagonists","Adrenergic beta-1 Receptor Antagonists",0.055,1
"Anesthetics, Local","Anesthetics, Local",0.058,1
"Purinergic P1 Receptor Antagonists","Purinergic P1 Receptor Antagonists",0.059,1
"Parasympatholytics","Parasympatholytics",0.063,1
"Lipoxygenase Inhibitors","Lipoxygenase Inhibitors",0.07,1
"Central Nervous System Stimulants","Central Nervous System Stimulants",0.073,1
"Serotonin Receptor Agonists","Serotonin Receptor Agonists",0.073,1
"Leukotriene Antagonists","Leukotriene Antagonists",0.075,1
"Expectorants","Expectorants",0.077,1
"Antimalarials","Antimalarials",0.081,1
"GABA Modulators","GABA Modulators",0.085,1
"Urological Agents","Urological Agents",0.089,1
"Proton Pump Inhibitors","Proton Pump Inhibitors",0.093,1
"Antihypertensive Agents","Antihypertensive Agents",0.099,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.104,1
"Antidotes","Antidotes",0.104,1
"Sympatholytics","Sympatholytics",0.106,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.107,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.111,1
"Androgens","Androgens",0.113,1
"Dopamine Agents","Dopamine Agents",0.118,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.127,1
"Antiemetics","Antiemetics",0.134,1
"Adrenergic beta-Agonists","Adrenergic beta-Agonists",0.137,1
"Narcotic Antagonists","Narcotic Antagonists",0.138,1
"Histamine Agonists","Histamine Agonists",0.139,1
"Analgesics","Analgesics",0.141,1
"Hypolipidemic Agents","Hypolipidemic Agents",0.141,1
"Antitussive Agents","Antitussive Agents",0.151,1
"Tocolytic Agents","Tocolytic Agents",0.154,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.155,1
"Anabolic Agents","Anabolic Agents",0.157,1
"Anesthetics, Intravenous","Anesthetics, Intravenous",0.158,1
"Chelating Agents","Chelating Agents",0.159,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.161,1
"Carcinogens","Carcinogens",0.161,1
"Folic Acid Antagonists","Folic Acid Antagonists",0.161,1
"Anthelmintics","Anthelmintics",0.165,1
"Dopamine Uptake Inhibitors","Dopamine Uptake Inhibitors",0.165,1
"Estrogens, Non-Steroidal","Estrogens, Non-Steroidal",0.173,1
"Carbonic Anhydrase Inhibitors","Carbonic Anhydrase Inhibitors",0.174,1
"Solvents","Solvents",0.174,1
"Adrenergic beta-1 Receptor Agonists","Adrenergic beta-1 Receptor Agonists",0.175,1
"Neurotransmitter Uptake Inhibitors","Neurotransmitter Uptake Inhibitors",0.175,1
"Dopamine Agonists","Dopamine Agonists",0.18,1
"Anticoagulants","Anticoagulants",0.182,1
"Nasal Decongestants","Nasal Decongestants",0.186,1
"Anti-Infective Agents","Anti-Infective Agents",0.192,1
"Dopamine D2 Receptor Antagonists","Dopamine D2 Receptor Antagonists",0.199,1
"Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal",0.201,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.203,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.203,1
"Cyclooxygenase Inhibitors","Cyclooxygenase Inhibitors",0.215,1
"Oxytocics","Oxytocics",0.215,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.216,1
"Antitubercular Agents","Antitubercular Agents",0.217,1
"Immunologic Factors","Immunologic Factors",0.23,1
"Adjuvants, Anesthesia","Adjuvants, Anesthesia",0.231,1
"Protease Inhibitors","Protease Inhibitors",0.231,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.232,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.242,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.248,1
"Histamine H3 Antagonists","Histamine H3 Antagonists",0.249,1
"Nicotinic Antagonists","Nicotinic Antagonists",0.25,1
"Plant Growth Regulators","Plant Growth Regulators",0.251,1
"Convulsants","Convulsants",0.255,1
"Cardiotonic Agents","Cardiotonic Agents",0.258,1
"Free Radical Scavengers","Free Radical Scavengers",0.26,1
"Respiratory System Agents","Respiratory System Agents",0.267,1
"Antidepressive Agents","Antidepressive Agents",0.272,1
"Excitatory Amino Acid Antagonists","Excitatory Amino Acid Antagonists",0.274,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.284,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.285,1
"Hypnotics and Sedatives","Hypnotics and Sedatives",0.292,1
"Contraceptive Agents","Contraceptive Agents",0.294,1
"14-alpha Demethylase Inhibitors","14-alpha Demethylase Inhibitors",0.312,1
"Teratogens","Teratogens",0.32,1
"Antioxidants","Antioxidants",0.327,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.33,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.351,1
"Appetite Depressants","Appetite Depressants",0.363,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.364,1
"Cholagogues and Choleretics","Cholagogues and Choleretics",0.369,1
"Leprostatic Agents","Leprostatic Agents",0.381,1
"Parasympathomimetics","Parasympathomimetics",0.382,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.389,1
"Anti-Asthmatic Agents","Anti-Asthmatic Agents",0.392,1
"Bronchodilator Agents","Bronchodilator Agents",0.392,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.394,1
"Anti-HIV Agents","Anti-HIV Agents",0.404,1
"Calcium Channel Agonists","Calcium Channel Agonists",0.404,1
"Mydriatics","Mydriatics",0.412,1
"Keratolytic Agents","Keratolytic Agents",0.415,1
"Cyclooxygenase 2 Inhibitors","Cyclooxygenase 2 Inhibitors",0.42,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.423,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.437,1
"Antiviral Agents","Antiviral Agents",0.441,1
"Neuromuscular Nondepolarizing Agents","Neuromuscular Nondepolarizing Agents",0.448,1
"Cholinergic Antagonists","Cholinergic Antagonists",0.474,1
"Aromatase Inhibitors","Aromatase Inhibitors",0.475,1
"Cardiovascular Agents","Cardiovascular Agents",0.475,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.476,1
"Antipruritics","Antipruritics",0.479,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.491,1
"Coccidiostats","Coccidiostats",0.505,1
"Fibrinolytic Agents","Fibrinolytic Agents",0.516,1
"Muscarinic Agonists","Muscarinic Agonists",0.517,1
"Amebicides","Amebicides",0.518,1
"Estrogens","Estrogens",0.525,1
"Vasodilator Agents","Vasodilator Agents",0.526,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.532,1
"Myeloablative Agonists","Myeloablative Agonists",0.534,1
"Monoamine Oxidase Inhibitors","Monoamine Oxidase Inhibitors",0.535,1
"Serotonin Uptake Inhibitors","Serotonin Uptake Inhibitors",0.536,1
"Insecticides","Insecticides",0.537,1
"Radiation-Protective Agents","Radiation-Protective Agents",0.537,1
"Ganglionic Blockers","Ganglionic Blockers",0.569,1
"Vitamin B Complex","Vitamin B Complex",0.574,1
