"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"795","homoharringtonine","Launched","protein synthesis inhibitor","RPL3",-0.520042617335118,65,-0.547517893660532,0.204841288874389,-0.520042617335118
"1783","torin-2","Preclinical","mTOR inhibitor","MTOR",-0.508267674665949,61,-0.523253592544628,0.156055069074092,-0.508267674665949
"1905","YM-155","Phase 2","survivin inhibitor","BIRC5",-0.506881467991864,58,-0.525159267391253,0.213131622938589,-0.506881467991864
"1223","NVP-BEZ235","Phase 2","mTOR inhibitor|PI3K inhibitor","ATR|MTOR|PIK3CA|PIK3CD|PIK3CG",-0.485814702862062,85,-0.528539891113135,0.191685723712941,-0.485814702862062
"1323","peruvoside","Phase 1","cardiac glycoside","",-0.479899034215448,3,-0.414623158933217,0.125873351834719,-0.479899034215448
"1782","torin-1","Preclinical","mTOR inhibitor","MTOR",-0.47805401342263,67,-0.492704001542583,0.162260851742569,-0.47805401342263
"223","bortezomib","Launched","NFkB pathway inhibitor|proteasome inhibitor","PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA",-0.473915430402089,87,-0.515329257166304,0.177278954931109,-0.473915430402089
"569","emetine","Phase 2","protein synthesis inhibitor","RPS2",-0.47361242713199,115,-0.514795811291201,0.192048177729159,-0.47361242713199
"1890","WYE-125132","Preclinical","mTOR inhibitor","MTOR",-0.471467978364919,65,-0.476903899293094,0.149041218207958,-0.471467978364919
"439","dabrafenib","Launched","RAF inhibitor","BRAF|LIMK1|NEK11|RAF1|SIK1",-0.471314768078515,12,-0.314278355289024,0.258921343378744,-0.471314768078515
"610","etanidazole","Phase 3","bacterial cell wall synthesis inhibitor","",-0.467630252372254,8,-0.605940197861601,0.274678937774194,-0.467630252372254
"886","JTC-801","Phase 2","opioid receptor antagonist","OPRL1",-0.449246607429118,5,-0.427098981025353,0.0891589574246199,-0.449246607429118
"283","carbachol","Launched","cholinergic receptor agonist","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2",-0.440478326628625,1,-0.440478326628625,NA,-0.440478326628625
"1745","thonzonium","Launched","ATPase inhibitor","",-0.439806036240076,1,-0.439806036240076,NA,-0.439806036240076
"1754","tigecycline","Launched","bacterial 30S ribosomal subunit inhibitor","",-0.437724289088791,29,-0.433090801066252,0.211721039473412,-0.437724289088791
"103","anisomycin","Preclinical","DNA synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1",-0.435063003336943,24,-0.480784764826175,0.230595431094028,-0.435063003336943
"261","BVT-948","Preclinical","tyrosine phosphatase inhibitor","PTPN1|PTPN11|PTPN2",-0.434803355895375,10,-0.388414009940079,0.155955270742412,-0.434803355895375
"464","dequalinium","Launched","PKC inhibitor","KCNN1|KCNN3",-0.43366180981595,2,-0.43366180981595,0.147055435575138,-0.43366180981595
"1553","saclofen","Preclinical","GABA receptor antagonist","GABBR1|GABBR2|KCTD12|KCTD16|KCTD8",-0.432998776526375,1,-0.432998776526375,NA,-0.432998776526375
"1773","tolmetin","Launched","cyclooxygenase inhibitor","PTGS1|PTGS2",-0.427303480002858,1,-0.427303480002858,NA,-0.427303480002858
"1464","pyrvinium-pamoate","Launched","androgen receptor antagonist","AR",-0.425025086234155,64,-0.429221780901224,0.146857540561975,-0.425025086234155
"1833","tyloxapol","Launched","NFkB pathway inhibitor","LPL|NFKB2",-0.42467460921704,3,-0.41008691206544,0.0471014524365231,-0.42467460921704
"250","buparlisib","Phase 3","PI3K inhibitor","PIK3CA|PIK3CG",-0.423740105563415,30,-0.425857080489103,0.141439312266686,-0.423740105563415
"421","CS-110266","Preclinical","dopamine receptor agonist","SLC6A3",-0.419474209326582,4,-0.451338190184049,0.146322282518939,-0.419474209326582
"1938","ZM-39923","Preclinical","JAK inhibitor","JAK1|JAK3",-0.416293559455622,3,-0.405023316403676,0.0300531544722575,-0.416293559455622
"91","ampicillin","Launched","bacterial cell wall synthesis inhibitor","",-0.411367897180772,1,-0.411367897180772,NA,-0.411367897180772
"1552","ryuvidine","Preclinical","histone lysine methyltransferase inhibitor","CDK2|CDK4",-0.411006796217394,21,-0.413997457575302,0.174075802854044,-0.411006796217394
"1946","ZSTK-474","Phase 1/Phase 2","PI3K inhibitor","PIK3CB|PIK3CD|PIK3CG",-0.40894942515176,47,-0.431017692681794,0.187998999511904,-0.40894942515176
"1885","WAY-161503","Preclinical","serotonin receptor agonist","HTR2C",-0.40883691206544,1,-0.40883691206544,NA,-0.40883691206544
"1306","pelitinib","Phase 2","EGFR inhibitor","EGFR",-0.404306119189987,32,-0.440832055214724,0.244185272028222,-0.404306119189987
"1711","teniposide","Launched","topoisomerase inhibitor","TOP2A|TOP2B",-0.397171950221862,91,-0.445234676389208,0.231519545268849,-0.397171950221862
"831","IKK-16","Preclinical","IKK inhibitor","IKBKB",-0.396874854996495,16,-0.376840645931899,0.104222948024068,-0.396874854996495
"1395","ponatinib","Launched","Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor","ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK",-0.39102308832134,27,-0.429945244822788,0.229280926003573,-0.39102308832134
"1234","oleanolic-acid","Preclinical","G protein-coupled receptor agonist","GPBAR1",-0.389028940125557,1,-0.389028940125557,NA,-0.389028940125557
"1250","OSI-027","Phase 1","mTOR inhibitor","MTOR",-0.387073620956056,54,-0.393196574642126,0.182818650410351,-0.387073620956056
"1834","tyrphostin-A9","Preclinical","protein tyrosine kinase inhibitor|tyrosine kinase inhibitor","",-0.386813907116153,26,-0.417299490512677,0.264330613039295,-0.386813907116153
"435","CYT-997","Phase 2","tubulin polymerization inhibitor","TUBB",-0.386642856026844,40,-0.430027621174484,0.189585664248329,-0.386642856026844
"274","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.385800559550527,61,-0.401150306748466,0.171217773903104,-0.385800559550527
"560","edrophonium","Launched","acetylcholinesterase inhibitor","ACHE|BCHE",-0.385120298283637,2,-0.385120298283637,0.058491976650767,-0.385120298283637
"986","luteolin","Phase 2","glucosidase inhibitor","TOP1",-0.383851335020941,3,-0.392420756646217,0.0478144735754998,-0.383851335020941
"199","bimatoprost","Launched","prostanoid receptor agonist","AKR1C3|PTGER1|PTGER3|PTGFR",-0.38265864184192,2,-0.38265864184192,0.00830040942175832,-0.38265864184192
"833","IKK-2-inhibitor-V","Phase 1","IKK inhibitor|NFkB pathway inhibitor","IKBKB",-0.380461036747247,73,-0.393727304133737,0.158652858081249,-0.380461036747247
"379","clarithromycin","Launched","bacterial 50S ribosomal subunit inhibitor","CYP3A4",-0.380001588387316,2,-0.380001588387316,0.0639161628055666,-0.380001588387316
"1354","PI-828","Preclinical","PI3K inhibitor","",-0.379971894511767,18,-0.442150105769729,0.189186247012096,-0.379971894511767
"1077","miglitol","Launched","glucosidase inhibitor","GAA|GANAB|GANC|MGAM",-0.378870143149284,1,-0.378870143149284,NA,-0.378870143149284
"1629","SN-38","Launched","topoisomerase inhibitor","TOP1",-0.378394797253858,76,-0.427835647759351,0.231004968378735,-0.378394797253858
"849","iniparib","Phase 3","PARP inhibitor","PARP1",-0.372506740799653,10,-0.546336414630517,0.363528658359534,-0.372506740799653
"373","cisplatin","Launched","DNA alkylating agent|DNA synthesis inhibitor","XIAP",-0.372430995407613,5,-0.350840504610067,0.23469843832681,-0.372430995407613
"783","haloprogin","Launched","other antifungal","",-0.370618816252757,3,-0.400739062824944,0.0566209924371248,-0.370618816252757
"412","cotinine","Phase 2","nicotine metabolite","",-0.370030674846626,2,-0.370030674846626,0.132228245068815,-0.370030674846626
"1758","tioguanine","Phase 2","purine antagonist","",-0.3687407305531,3,-0.31213445807771,0.103704936586095,-0.3687407305531
"1410","prednicarbate","Launched","phospholipase activator","NR3C1|PLA2G1B",-0.368537688754597,7,-0.33354836752842,0.125481428400001,-0.368537688754597
"815","ibrutinib","Launched","Bruton's tyrosine kinase (BTK) inhibitor","BLK|BMX|BTK",-0.367258732321762,26,-0.432961893121335,0.250432274743772,-0.367258732321762
"1702","tegaserod","Withdrawn","serotonin receptor partial agonist","HTR2A|HTR2B|HTR2C|HTR4",-0.364291341580447,10,-0.348765337423313,0.0933064624972821,-0.364291341580447
"1311","penfluridol","Launched","T-type calcium channel blocker","CACNA1G",-0.363577503115707,23,-0.438193050555005,0.188593182426777,-0.363577503115707
"222","BNTX","Preclinical","opioid receptor antagonist","OPRD1|OPRK1|OPRM1",-0.36219245930017,13,-0.372267382413088,0.114180937940471,-0.36219245930017
"491","digitoxigenin","Preclinical","ATPase inhibitor","ATP1A1",-0.360960891526241,18,-0.360544478527608,0.135194189802304,-0.360960891526241
"1068","MG-132","Preclinical","proteasome inhibitor","PSMB1",-0.360015668791249,47,-0.357875766871166,0.22170476910246,-0.360015668791249
"1531","roxithromycin","Launched","bacterial 50S ribosomal subunit inhibitor","ABCB1|MLNR",-0.359765136444575,1,-0.359765136444575,NA,-0.359765136444575
"902","KI-8751","Preclinical","KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor","KDR",-0.359756164567335,19,-0.403752866505925,0.200934460257969,-0.359756164567335
"1699","targinine","Phase 3","nitric oxide synthase inhibitor","NOS3",-0.359439216199177,2,-0.359439216199177,0.0385456342249572,-0.359439216199177
"1609","sertindole","Withdrawn","dopamine receptor antagonist|serotonin receptor antagonist","ADRA1A|ADRA1B|ADRA1D|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|KCNH2",-0.358358147049351,3,-0.384744376278119,0.0954332456462325,-0.358358147049351
"299","CD-1530","Preclinical","retinoid receptor agonist","RARG",-0.358249417945053,44,-0.398662120084658,0.192348513639878,-0.358249417945053
