"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.001,0.123
"Antifungal Agents","Antifungal Agents",0.009,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.011,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.016,1
"Estrogens","Estrogens",0.045,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.046,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.062,1
"Amebicides","Amebicides",0.085,1
"Emetics","Emetics",0.085,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.086,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.103,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.119,1
"Sympatholytics","Sympatholytics",0.119,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.152,1
"Nasal Decongestants","Nasal Decongestants",0.152,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.152,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.154,1
"Anti-Infective Agents","Anti-Infective Agents",0.158,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.16,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.16,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.16,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.16,1
"Antitubercular Agents","Antitubercular Agents",0.189,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.2,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.21,1
"Uricosuric Agents","Uricosuric Agents",0.21,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.229,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.237,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.237,1
"Antioxidants","Antioxidants",0.249,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.251,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.258,1
"Cardiotonic Agents","Cardiotonic Agents",0.275,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.294,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.295,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.297,1
"Narcotic Antagonists","Narcotic Antagonists",0.299,1
"Cathartics","Cathartics",0.317,1
"Anthelmintics","Anthelmintics",0.335,1
"Insecticides","Insecticides",0.335,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.35,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.352,1
"Glucocorticoids","Glucocorticoids",0.354,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.358,1
"Antinematodal Agents","Antinematodal Agents",0.362,1
"Antineoplastic Agents","Antineoplastic Agents",0.364,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.374,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.378,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.378,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.378,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.384,1
"Analgesics","Analgesics",0.392,1
"Intercalating Agents","Intercalating Agents",0.397,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.402,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.41,1
"Serotonin Antagonists","Serotonin Antagonists",0.416,1
"Anticestodal Agents","Anticestodal Agents",0.439,1
"Keratolytic Agents","Keratolytic Agents",0.443,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.463,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.464,1
"Sympathomimetics","Sympathomimetics",0.464,1
"Tocolytic Agents","Tocolytic Agents",0.464,1
"Antitussive Agents","Antitussive Agents",0.49,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.493,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.506,1
"Nootropic Agents","Nootropic Agents",0.506,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.528,1
"Progestins","Progestins",0.549,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.562,1
"Antimalarials","Antimalarials",0.564,1
"Teratogens","Teratogens",0.564,1
"Immunologic Factors","Immunologic Factors",0.569,1
"Protease Inhibitors","Protease Inhibitors",0.569,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.583,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.606,1
"Neuroprotective Agents","Neuroprotective Agents",0.608,1
"Antidepressive Agents","Antidepressive Agents",0.609,1
"Diuretics","Diuretics",0.61,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.61,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.614,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.627,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.638,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.638,1
"Bronchodilator Agents","Bronchodilator Agents",0.641,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.649,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.657,1
"Alkylating Agents","Alkylating Agents",0.664,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.664,1
"Estrogen Antagonists","Estrogen Antagonists",0.667,1
"Myeloablative Agonists","Myeloablative Agonists",0.67,1
"Tubulin Modulators","Tubulin Modulators",0.673,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.688,1
"Coccidiostats","Coccidiostats",0.693,1
"Antimetabolites","Antimetabolites",0.699,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.699,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.722,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.725,1
"Coloring Agents","Coloring Agents",0.751,1
"Indicators and Reagents","Indicators and Reagents",0.756,1
"Anticonvulsants","Anticonvulsants",0.762,1
"Anti-HIV Agents","Anti-HIV Agents",0.79,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.8,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.801,1
"Urological Agents","Urological Agents",0.801,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.823,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.823,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.839,1
"Antiemetics","Antiemetics",0.843,1
"GABA Antagonists","GABA Antagonists",0.847,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.863,1
"Antirheumatic Agents","Antirheumatic Agents",0.866,1
"Antihypertensive Agents","Antihypertensive Agents",0.868,1
