"","log2FoldChange","logCPM","LR","pvalue","padj","Symbol","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","value","up_down"
"10618",-5.16851770992079,2.3587475045377,33.4861647490842,7.17727242967988e-09,0.000401991851513941,"CLEC4M",9606,10332,"NULL","19","19p13","C-type lectin domain family 4, member M","protein-coding","CLEC4M","C-type lectin domain family 4, member M","O","C-type lectin domain family 4 member M|C",-5.16851770992079,"down"
"3910",-4.83333619925054,-0.84192553777067,35.6669473656643,2.34102413863062e-09,0.000131696653942804,"SPRR3",9606,6707,"NULL","1","1q21-q22","small proline-rich protein 3","protein-coding","SPRR3","small proline-rich protein 3","O","22 kDa pancornulin|cornifin beta|esophag",-4.83333619925054,"down"
"28914",-4.52231541826366,-2.19008343218813,32.968034222052,9.36866497420324e-09,0.000524064381326981,"MYL2",9606,4633,"NULL","12","12q24.11","myosin, light chain 2, regulatory, cardiac, slow","protein-coding","MYL2","myosin, light chain 2, regulatory, cardiac, slow","O","MLC-2|MLC-2v|RLC of myosin|cardiac ventr",-4.52231541826366,"down"
"56399",-4.2919323961681,-3.56056729037026,34.5265963533086,4.20466702338666e-09,0.00023600375535567,"SPRR2E",9606,6704,"NULL","1","1q21-q22","small proline-rich protein 2E","protein-coding","SPRR2E","small proline-rich protein 2E","O","SPR-2E|SPR-II|small proline-rich protein",-4.2919323961681,"down"
"11739",-3.94343780480679,-3.27390585732651,33.6349611781363,6.6486924680906e-09,0.000372499644217244,"RP11-677O4.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.94343780480679,"down"
"43043",-3.87314029511229,-4.19452816391769,34.892890569958,3.48350528897911e-09,0.00019568939311369,"CSRP3",9606,8048,"NULL","11","11p15.1","cysteine and glycine-rich protein 3 (cardiac LIM protein)","protein-coding","CSRP3","cysteine and glycine-rich protein 3 (cardiac LIM protein)","O","LIM domain only 4|cardiac LIM domain pro",-3.87314029511229,"down"
"27842",-3.83311636479693,-4.33595006910327,35.1662536987659,3.0272417401305e-09,0.000170149149245775,"OR6L1P",9606,390012,"NULL","10","10q26.3","olfactory receptor, family 6, subfamily L, member 1 pseudogene","pseudo","OR6L1P","olfactory receptor, family 6, subfamily L, member 1 pseudogene","O","NULL",-3.83311636479693,"down"
"32123",-3.79539594746357,-4.15794154357806,31.7239891383174,1.77713463550164e-08,0.000991072443526553,"PRPF38AP1",9606,389935,"NULL","10","10p14","PRP38 domain containing A pseudogene 1","pseudo","PRPF38AP1","PRP38 domain containing A pseudogene 1","O","NULL",-3.79539594746357,"down"
"13088",-3.75720116129844,-3.65546817945499,35.9104024047437,2.06602728503673e-09,0.000116296675874718,"LINC00551",9606,283483,"NULL","13","13q33.3","long intergenic non-protein coding RNA 551","miscRNA","LINC00551","long intergenic non-protein coding RNA 551","O","NULL",-3.75720116129844,"down"
"58381",-3.72266572427387,-2.04408461602894,32.7078087600678,1.07106070863866e-08,0.000598615830058147,"SFTPA2",9606,729238,"RP11-589B3.4","10","10q22.3","surfactant protein A2","protein-coding","SFTPA2","surfactant protein A2","O","35 kDa pulmonary surfactant-associated p",-3.72266572427387,"down"
"30448",-3.64998466704948,-2.58648949072268,33.1701410955527,8.44372116283851e-09,0.00047256129859942,"RP11-439C15.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.64998466704948,"down"
"45223",-3.44555575129653,-1.70270576042861,35.5698618451375,2.46065249761492e-09,0.000138394478423356,"MCEMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.44555575129653,"down"
"52192",-3.40833144420127,-4.49831921035603,34.9187666010674,3.4375159047991e-09,0.000193119643531613,"RP11-556I13.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.40833144420127,"down"
"17582",-3.33891619910902,-4.50433719256073,32.3528825029702,1.28566353059511e-08,0.000717978798660841,"NEAT1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33891619910902,"down"
"13628",-3.337192204225,-4.10019694507542,33.125281114155,8.64079004367483e-09,0.000483547251634087,"SERPINB13",9606,5275,"NULL","18","18q21.33","serpin peptidase inhibitor, clade B (ovalbumin), member 13","protein-coding","SERPINB13","serpin peptidase inhibitor, clade B (ovalbumin), member 13","O","HURPIN|PI-13|UV-B repressed sequence, HU",-3.337192204225,"down"
"13418",-3.30561406235241,-2.17762582664968,32.8752824389614,9.82647531427512e-09,0.000549476846623636,"ACTC1",9606,70,"NULL","15","15q14","actin, alpha, cardiac muscle 1","protein-coding","ACTC1","actin, alpha, cardiac muscle 1","O","actin, alpha cardiac muscle 1",-3.30561406235241,"down"
"30721",-3.29840915770455,-4.46237062876081,34.5728091505956,4.10601913754755e-09,0.000230503702343644,"RP11-449O16.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.29840915770455,"down"
"39627",-3.29740409853547,-2.72617392714111,32.9162772458028,9.62143036723407e-09,0.000538068871857198,"KCTD9P4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.29740409853547,"down"
"46783",-3.29214127034835,-1.26389557662026,34.4891421381191,4.28635719857986e-09,0.000240563225055898,"RP11-392E22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.29214127034835,"down"
"50205",-3.19644256949993,-4.52584538751655,33.8371457064621,5.99237149077254e-09,0.000335932345772709,"CTD-2530N21.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.19644256949993,"down"
"35852",-3.1652189930748,5.63848119993972,33.8271191106594,6.02333464261488e-09,0.00033764404672642,"ASPG",9606,374569,"NULL","14","14q32.33","asparaginase homolog (S. cerevisiae)","protein-coding","ASPG","asparaginase homolog (S. cerevisiae)","O","60 kDa lysophospholipase|wild-type L-asp",-3.1652189930748,"down"
"23583",-3.16300867271969,-1.98082939660039,35.4706443226264,2.58923521795091e-09,0.000145600464011034,"RP11-325P15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.16300867271969,"down"
