"","target","p","padj"
"Antipyretics","Antipyretics",0.001,0.225
"Leukotriene Antagonists","Leukotriene Antagonists",0.002,0.448
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.003,0.669
"Dopamine Agents","Dopamine Agents",0.003,0.669
"Antiemetics","Antiemetics",0.006,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.009,1
"Histamine Agonists","Histamine Agonists",0.009,1
"Nicotinic Antagonists","Nicotinic Antagonists",0.01,1
"Appetite Depressants","Appetite Depressants",0.011,1
"Anti-HIV Agents","Anti-HIV Agents",0.015,1
"Antiparkinson Agents","Antiparkinson Agents",0.023,1
"Leprostatic Agents","Leprostatic Agents",0.025,1
"Angiotensin-Converting Enzyme Inhibitors","Angiotensin-Converting Enzyme Inhibitors",0.03,1
"Serotonin Receptor Agonists","Serotonin Receptor Agonists",0.032,1
"Antihypertensive Agents","Antihypertensive Agents",0.033,1
"Uricosuric Agents","Uricosuric Agents",0.033,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.039,1
"Insecticides","Insecticides",0.039,1
"Uncoupling Agents","Uncoupling Agents",0.04,1
"Anti-Infective Agents","Anti-Infective Agents",0.041,1
"Excitatory Amino Acid Antagonists","Excitatory Amino Acid Antagonists",0.043,1
"Serotonin Antagonists","Serotonin Antagonists",0.046,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.047,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.053,1
"Indicators and Reagents","Indicators and Reagents",0.057,1
"Anti-Asthmatic Agents","Anti-Asthmatic Agents",0.06,1
"Ganglionic Blockers","Ganglionic Blockers",0.06,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.061,1
"Diuretics","Diuretics",0.062,1
"Protease Inhibitors","Protease Inhibitors",0.064,1
"Solvents","Solvents",0.064,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.071,1
"Anesthetics, Local","Anesthetics, Local",0.072,1
"Adrenergic beta-Antagonists","Adrenergic beta-Antagonists",0.082,1
"Photosensitizing Agents","Photosensitizing Agents",0.082,1
"Anticonvulsants","Anticonvulsants",0.093,1
"Muscarinic Antagonists","Muscarinic Antagonists",0.095,1
"Muscarinic Agonists","Muscarinic Agonists",0.112,1
"Fibrinolytic Agents","Fibrinolytic Agents",0.114,1
"Antimalarials","Antimalarials",0.119,1
"Antitussive Agents","Antitussive Agents",0.12,1
"Central Nervous System Stimulants","Central Nervous System Stimulants",0.122,1
"Aromatase Inhibitors","Aromatase Inhibitors",0.123,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.129,1
