"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"1323","peruvoside","Phase 1","cardiac glycoside","",-0.911942897481713,3,-0.864913296098273,0.266863508403939,-0.911942897481713
"274","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.852492722199927,61,-0.929516488768093,0.294140566588644,-0.852492722199927
"1629","SN-38","Launched","topoisomerase inhibitor","TOP1",-0.844276331940107,76,-0.914364867022236,0.317947353811374,-0.844276331940107
"1711","teniposide","Launched","topoisomerase inhibitor","TOP2A|TOP2B",-0.834643529696195,91,-0.968929018978169,0.39293087449254,-0.834643529696195
"1681","suprofen","Withdrawn","cyclooxygenase inhibitor","PTGS1|PTGS2",-0.826303164875667,1,-0.826303164875667,NA,-0.826303164875667
"32","actinomycin-d","Launched","RNA polymerase inhibitor","",-0.824749626564182,3,-0.874695059279831,0.119464363063444,-0.824749626564182
"1460","pyrithyldione","Withdrawn","psychoactive drug","",-0.820409876160292,1,-0.820409876160292,NA,-0.820409876160292
"795","homoharringtonine","Launched","protein synthesis inhibitor","RPL3",-0.796674908662949,65,-0.801146903343293,0.257370462328136,-0.796674908662949
"215","BMS-387032","Phase 1","CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor","CDK2|CDK7|CDK9",-0.788122386421036,36,-0.902795054199998,0.363009671756905,-0.788122386421036
"1463","pyrvinium","Launched","androgen receptor antagonist","",-0.777070589208426,7,-0.773675404350251,0.231117149646452,-0.777070589208426
"439","dabrafenib","Launched","RAF inhibitor","BRAF|LIMK1|NEK11|RAF1|SIK1",-0.768776318210434,12,-0.895718385031339,0.447875182482621,-0.768776318210434
"1368","pipemidic-acid","Launched","topoisomerase inhibitor","",-0.764191248162523,2,-0.764191248162523,0.233967029030641,-0.764191248162523
"886","JTC-801","Phase 2","opioid receptor antagonist","OPRL1",-0.757574053600991,5,-0.773226384805022,0.103759760356197,-0.757574053600991
"1081","minocycline","Launched","bacterial 30S ribosomal subunit inhibitor","ALOX5|CASP1|CASP3|CYCS|IL1B|MMP9|VEGFA",-0.753095370886782,1,-0.753095370886782,NA,-0.753095370886782
"856","iopromide","Launched","radiopaque medium","",-0.73121114033579,1,-0.73121114033579,NA,-0.73121114033579
"223","bortezomib","Launched","NFkB pathway inhibitor|proteasome inhibitor","PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA",-0.724927227503426,87,-0.936915633590551,0.406502382406476,-0.724927227503426
"1464","pyrvinium-pamoate","Launched","androgen receptor antagonist","AR",-0.718457975623612,64,-0.726740049054882,0.310626890299031,-0.718457975623612
"932","latamoxef","Launched","bacterial cell wall synthesis inhibitor","",-0.716022443552001,1,-0.716022443552001,NA,-0.716022443552001
"1745","thonzonium","Launched","ATPase inhibitor","",-0.712062599714856,1,-0.712062599714856,NA,-0.712062599714856
"1359","PIK-75","Preclinical","DNA protein kinase inhibitor|PI3K inhibitor","PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC",-0.700362471886798,65,-0.8417864274184,0.417496451155171,-0.700362471886798
"824","idarubicin","Launched","topoisomerase inhibitor","TOP2A",-0.700350484015469,86,-0.822583557998679,0.415571390451529,-0.700350484015469
"1451","puromycin","Preclinical","protein synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1",-0.696736783693227,30,-0.792869002032554,0.313687367930242,-0.696736783693227
"1077","miglitol","Launched","glucosidase inhibitor","GAA|GANAB|GANC|MGAM",-0.69659788064696,1,-0.69659788064696,NA,-0.69659788064696
"946","levocetirizine","Launched","histamine receptor antagonist","HRH1",-0.693501089781206,2,-0.693501089781206,0.0657699060207145,-0.693501089781206
"878","ivermectin","Launched","benzodiazepine receptor agonist","CHRNA7|GABRB3|GLRA3|P2RX7",-0.691383267511185,14,-0.692638036809816,0.134264062566421,-0.691383267511185
"1087","mitoxantrone","Launched","topoisomerase inhibitor","TOP2A",-0.677731186529831,77,-0.722173009799704,0.357629485892931,-0.677731186529831
"132","ataluren","Launched","CFTR channel agonist|dystrophin stimulant","DMD",-0.676687116564417,1,-0.676687116564417,NA,-0.676687116564417
"22","acefylline","Launched","adenosine receptor agonist","ADORA1",-0.675348577802566,1,-0.675348577802566,NA,-0.675348577802566
"830","ifosfamide","Launched","DNA alkylating agent","CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1",-0.675029693970294,1,-0.675029693970294,NA,-0.675029693970294
"300","CD-437","Preclinical","retinoid receptor agonist","RARG",-0.671984875176041,67,-0.796148861101731,0.352402952875306,-0.671984875176041
"220","BMY-45778","Preclinical","IP1 prostacyclin receptor agonist","PTGIR",-0.665508327019294,9,-0.67224107154977,0.239869512907407,-0.665508327019294
"440","dacarbazine","Launched","DNA alkylating agent","PGD|POLA2",-0.663636363636364,1,-0.663636363636364,NA,-0.663636363636364
"1439","propylthiouracil","Launched","thyroid peroxidase inhibitor","DIO1|TPO",-0.658651184953748,1,-0.658651184953748,NA,-0.658651184953748
"401","closantel","Launched","chitinase inhibitor|NFkB pathway inhibitor","",-0.658282208588957,1,-0.658282208588957,NA,-0.658282208588957
"92","amsacrine","Launched","topoisomerase inhibitor","KCNH2|TOP2A",-0.655973579156828,22,-0.69972759320807,0.269940799650672,-0.655973579156828
"306","cefepime","Launched","bacterial cell wall synthesis inhibitor","",-0.648054419755756,1,-0.648054419755756,NA,-0.648054419755756
"869","isoprenaline","Launched","adrenergic receptor agonist","ADRB1|ADRB2|ADRB3|MAPK1|PIK3R1|PIK3R2|PIK3R3",-0.647868511594388,1,-0.647868511594388,NA,-0.647868511594388
"884","JNJ-7706621","Preclinical","CDK inhibitor","AURKA|AURKB|CDK1|CDK2",-0.646197883182345,14,-0.708903580950568,0.23635975619454,-0.646197883182345
"1661","sulfachlorpyridazine","Launched","bacterial antifolate","",-0.645377342232053,1,-0.645377342232053,NA,-0.645377342232053
"1758","tioguanine","Phase 2","purine antagonist","",-0.643179322294492,3,-0.670756646216769,0.0839677072822483,-0.643179322294492
"1260","oxiconazole","Launched","bacterial cell wall synthesis inhibitor","",-0.641100008323711,5,-0.60178187839119,0.149770400434611,-0.641100008323711
"857","ioversol","Launched","radiopaque medium","",-0.640543730036478,1,-0.640543730036478,NA,-0.640543730036478
"60","alvocidib","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM",-0.637554098137094,96,-0.682473818886301,0.376159188418635,-0.637554098137094
"130","AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9",-0.636720219645766,52,-0.72837454392813,0.360300285951394,-0.636720219645766
"743","GR-103691","Preclinical","dopamine receptor antagonist","DRD3",-0.636314060853938,3,-0.58159509202454,0.139596329382697,-0.636314060853938
"1662","sulfadoxine","Launched","dihydropteroate synthase inhibitor","",-0.631694501555347,1,-0.631694501555347,NA,-0.631694501555347
"261","BVT-948","Preclinical","tyrosine phosphatase inhibitor","PTPN1|PTPN11|PTPN2",-0.628609562059812,10,-0.708624718708516,0.334977848479021,-0.628609562059812
"1699","targinine","Phase 3","nitric oxide synthase inhibitor","NOS3",-0.625829099064178,2,-0.625829099064178,0.226066468043596,-0.625829099064178
"1311","penfluridol","Launched","T-type calcium channel blocker","CACNA1G",-0.625379338181975,23,-0.702934508991674,0.246958778526601,-0.625379338181975
"585","epirubicin","Launched","topoisomerase inhibitor","CHD1|TOP2A",-0.622739085870916,4,-0.663012151316807,0.227936982808033,-0.622739085870916
"44","alexidine","Preclinical","phosphatidylglycerophosphatase inhibitor","PTPMT1",-0.621227085113005,4,-0.64746093361835,0.378252421613305,-0.621227085113005
"572","enilconazole","Launched","sterol demethylase inhibitor","CYP19A1|CYP1A2|CYP2B6|CYP2C9|CYP2J2|CYP3A4|CYP3A5|NR1I2|PPARA|PTGER2",-0.617993070062505,1,-0.617993070062505,NA,-0.617993070062505
"1275","palbociclib","Launched","CDK inhibitor","CDK4|CDK6",-0.61677071201668,47,-0.622191600615841,0.391798428929268,-0.61677071201668
"1779","topotecan","Launched","topoisomerase inhibitor","TOP1|TOP1MT",-0.614657935118003,26,-0.668635873198198,0.256006080574108,-0.614657935118003
"1287","paromomycin","Launched","bacterial 30S ribosomal subunit inhibitor","",-0.614312088467413,1,-0.614312088467413,NA,-0.614312088467413
"1658","sulconazole","Launched","sterol demethylase inhibitor","",-0.611975683488939,13,-0.749430140149882,0.376630198548207,-0.611975683488939
"1702","tegaserod","Withdrawn","serotonin receptor partial agonist","HTR2A|HTR2B|HTR2C|HTR4",-0.611628710600433,10,-0.634771281625992,0.325937806540287,-0.611628710600433
"1104","monensin","Launched","bacterial permeability inducer","",-0.601617401003904,1,-0.601617401003904,NA,-0.601617401003904
"1190","NNC-55-0396","Preclinical","T-type calcium channel blocker","CATSPER1|CATSPER2|CATSPER3|CATSPER4",-0.601553568999329,14,-0.64412388212179,0.233041867766561,-0.601553568999329
"986","luteolin","Phase 2","glucosidase inhibitor","TOP1",-0.600052916710032,3,-0.612360052773046,0.0540297944591498,-0.600052916710032
"1048","methotrexate","Launched","dihydrofolate reductase inhibitor","DHFR",-0.599901887649421,10,-0.783203197620375,0.437937999649632,-0.599901887649421
"1402","pralidoxime","Launched","acetylcholinesterase inhibitor","ACHE|BCHE",-0.598918892706119,1,-0.598918892706119,NA,-0.598918892706119
"391","clofilium","Phase 2","potassium channel blocker","KCNA5|KCNH1",-0.597879700307753,3,-0.614556609035137,0.0994108561135635,-0.597879700307753
"402","clotrimazole","Launched","cytochrome P450 inhibitor|imidazoline receptor ligand","CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8",-0.597600648735171,5,-0.616174010039041,0.126739788063129,-0.597600648735171
"1176","nifurtimox","Launched","DNA inhibitor","",-0.595163547846479,1,-0.595163547846479,NA,-0.595163547846479
