"","target","p","padj"
"Contrast Media","Contrast Media",0,0
"Ganglionic Blockers","Ganglionic Blockers",0,0
"Antihypertensive Agents","Antihypertensive Agents",0.001,0.223
"Uncoupling Agents","Uncoupling Agents",0.001,0.223
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.003,0.663
"Cholagogues and Choleretics","Cholagogues and Choleretics",0.006,1
"Antitussive Agents","Antitussive Agents",0.007,1
"Antiparkinson Agents","Antiparkinson Agents",0.01,1
"Anticonvulsants","Anticonvulsants",0.011,1
"Leukotriene Antagonists","Leukotriene Antagonists",0.012,1
"Muscarinic Antagonists","Muscarinic Antagonists",0.016,1
"Nicotinic Antagonists","Nicotinic Antagonists",0.024,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.028,1
"Photosensitizing Agents","Photosensitizing Agents",0.03,1
"Analgesics","Analgesics",0.031,1
"Parasympatholytics","Parasympatholytics",0.031,1
"Sympathomimetics","Sympathomimetics",0.031,1
"Adrenergic beta-1 Receptor Agonists","Adrenergic beta-1 Receptor Agonists",0.032,1
"Antidiarrheals","Antidiarrheals",0.035,1
"Adrenergic beta-Antagonists","Adrenergic beta-Antagonists",0.037,1
"Adrenergic alpha-Agonists","Adrenergic alpha-Agonists",0.039,1
"Diuretics","Diuretics",0.049,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.054,1
"Nasal Decongestants","Nasal Decongestants",0.059,1
"Carbonic Anhydrase Inhibitors","Carbonic Anhydrase Inhibitors",0.06,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.061,1
"Cyclooxygenase 2 Inhibitors","Cyclooxygenase 2 Inhibitors",0.061,1
"Proton Pump Inhibitors","Proton Pump Inhibitors",0.072,1
"Aromatase Inhibitors","Aromatase Inhibitors",0.078,1
"Cardiotonic Agents","Cardiotonic Agents",0.079,1
"Gout Suppressants","Gout Suppressants",0.08,1
"GABA Modulators","GABA Modulators",0.082,1
"Anesthetics, Local","Anesthetics, Local",0.083,1
"Anti-HIV Agents","Anti-HIV Agents",0.084,1
"Sympatholytics","Sympatholytics",0.086,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.087,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.089,1
"Central Nervous System Stimulants","Central Nervous System Stimulants",0.1,1
"Coccidiostats","Coccidiostats",0.103,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.106,1
"Nicotinic Agonists","Nicotinic Agonists",0.11,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.111,1
"Serotonin Receptor Agonists","Serotonin Receptor Agonists",0.111,1
"Cannabinoid Receptor Agonists","Cannabinoid Receptor Agonists",0.112,1
"Vasodilator Agents","Vasodilator Agents",0.113,1
"Serotonin Antagonists","Serotonin Antagonists",0.116,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.119,1
"Hypolipidemic Agents","Hypolipidemic Agents",0.121,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.126,1
"Bronchodilator Agents","Bronchodilator Agents",0.132,1
"Anti-Asthmatic Agents","Anti-Asthmatic Agents",0.136,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.143,1
"Schistosomicides","Schistosomicides",0.149,1
"Antidotes","Antidotes",0.153,1
"Hypnotics and Sedatives","Hypnotics and Sedatives",0.154,1
"Anthelmintics","Anthelmintics",0.156,1
"Lipoxygenase Inhibitors","Lipoxygenase Inhibitors",0.158,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.16,1
"Narcotic Antagonists","Narcotic Antagonists",0.184,1
"Urological Agents","Urological Agents",0.187,1
"Dopamine Agonists","Dopamine Agonists",0.192,1
"Neurotransmitter Uptake Inhibitors","Neurotransmitter Uptake Inhibitors",0.193,1
"Antimalarials","Antimalarials",0.194,1
"Nootropic Agents","Nootropic Agents",0.203,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.209,1
"Angiotensin-Converting Enzyme Inhibitors","Angiotensin-Converting Enzyme Inhibitors",0.21,1
"Vitamin B Complex","Vitamin B Complex",0.21,1
"Antidepressive Agents","Antidepressive Agents",0.22,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.223,1
"Tocolytic Agents","Tocolytic Agents",0.226,1
"Anticoagulants","Anticoagulants",0.233,1
