"","log2FoldChange","logCPM","LR","pvalue","padj","Symbol","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","value","up_down"
"39783",-15.4781469390585,5.54740879936304,226.044701590262,4.34469341572183e-51,2.54516484986401e-46,"GP1BB",9606,2812,"NULL","22","22q11.21","glycoprotein Ib (platelet), beta polypeptide","protein-coding","GP1BB","glycoprotein Ib (platelet), beta polypeptide","O","GP-Ib beta|antigen CD42b-beta|nuclear lo",-15.4781469390585,"down"
"39273",-10.6885165875187,0.796702957969015,113.628883749825,1.57128766809846e-26,9.20460315972078e-22,"ABHD16B",9606,140701,"NULL","20","20q13.33","abhydrolase domain containing 16B","protein-coding","ABHD16B","abhydrolase domain containing 16B","O","abhydrolase domain-containing protein 16",-10.6885165875187,"down"
"30012",-10.2719266897265,0.399442428006255,33.0141796053115,9.14891831511554e-09,0.000534617041743776,"TBC1D3",9606,729873,"NULL","17","17q12","TBC1 domain family, member 3","protein-coding","TBC1D3","TBC1 domain family, member 3","O","Rab GTPase-activating protein PRC17|TBC1",-10.2719266897265,"down"
"53582",-10.184604908631,0.309132840879576,91.3393696712152,1.21028546707782e-21,7.08973123759519e-17,"AC010649.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.184604908631,"down"
"56141",-9.07075669003612,-0.754248465856818,33.2507239625964,8.10095894411986e-09,0.000473436242612253,"TBC1D3H",9606,729877,"NULL","17","17q12","TBC1 domain family, member 3H","protein-coding","TBC1D3H","TBC1 domain family, member 3H","O","TBC1 domain family member 3-like protein",-9.07075669003612,"down"
"45641",-9.05541055206111,-0.768239618312473,34.3532223731419,4.59638716385232e-09,0.00026870938998597,"PRSS2",9606,5645,"NULL","7","7q34","protease, serine, 2 (trypsin 2)","protein-coding","PRSS2","protease, serine, 2 (trypsin 2)","O","anionic trypsinogen|protease serine 2 pr",-9.05541055206111,"down"
"22566",-8.73338323120412,-1.05339326119087,78.6567200573056,7.38969294713795e-19,4.328660437645e-14,"RP1-138B7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.73338323120412,"down"
"17519",-8.68286101574806,0.2140508320775,32.5380992972101,1.16878638036951e-08,0.0006828985063223,"KRT13",9606,3860,"NULL","17","17q12-q21.2","keratin 13","protein-coding","KRT13","keratin 13","O","CK-13|cytokeratin 13|cytokeratin-13|kera",-8.68286101574806,"down"
"40339",-8.60475862807499,0.868820077483006,51.3593189768125,7.69160161327183e-13,4.50335582855453e-08,"MUC7",9606,4589,"NULL","4","4q13.3","mucin 7, secreted","protein-coding","MUC7","mucin 7, secreted","O","MUC-7|apo-MG2|mucin 7, salivary|mucin-7|",-8.60475862807499,"down"
"20450",-8.43985858935686,-1.32687798999855,45.1263643767078,1.84721736742623e-11,1.08119479732825e-06,"GH1",9606,2688,"NULL","17","17q24.2","growth hormone 1","protein-coding","GH1","growth hormone 1","O","pituitary growth hormone|somatotropin",-8.43985858935686,"down"
"54269",-8.28901975320949,-1.44558339840451,51.5928621737745,6.82894084932082e-13,3.99834486727734e-08,"CTD-2510F5.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.28901975320949,"down"
"35070",-8.12951239397444,-1.58688062801849,44.0713688620795,3.16618413117473e-11,1.85310424829395e-06,"RP11-259G18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.12951239397444,"down"
