"","pert_iname","mean","n","median","sd","sRGES"
"172","PD-0325901",-0.917270868191114,1,-0.917270868191114,NA,-0.917270868191114
"82","entinostat",-0.904815021379439,1,-0.904815021379439,NA,-0.904815021379439
"151","neratinib",-0.841017537336556,1,-0.841017537336556,NA,-0.841017537336556
"61","CYT387",-0.831815083348825,1,-0.831815083348825,NA,-0.831815083348825
"128","loratadine",-0.831660159881019,1,-0.831660159881019,NA,-0.831660159881019
"206","rucaparib",-0.817066369213608,1,-0.817066369213608,NA,-0.817066369213608
"135","metitepine",-0.806748466257669,1,-0.806748466257669,NA,-0.806748466257669
"208","ryuvidine",-0.770310466629485,1,-0.770310466629485,NA,-0.770310466629485
"119","kenpaullone",-0.76907107888703,1,-0.76907107888703,NA,-0.76907107888703
"96","ezetimibe",-0.742889012827663,1,-0.742889012827663,NA,-0.742889012827663
"79","DR-2313",-0.739635620003718,1,-0.739635620003718,NA,-0.739635620003718
"85","epothilone-a",-0.730619074177356,1,-0.730619074177356,NA,-0.730619074177356
"78","doxycycline",-0.728481130321621,1,-0.728481130321621,NA,-0.728481130321621
"95","EX-527",-0.718442089607734,1,-0.718442089607734,NA,-0.718442089607734
"215","selamectin",-0.712493028443949,1,-0.712493028443949,NA,-0.712493028443949
"212","SB-216763",-0.711191671314371,1,-0.711191671314371,NA,-0.711191671314371
"117","irinotecan",-0.691764268451385,1,-0.691764268451385,NA,-0.691764268451385
"136","MG-132",-0.691469913862552,2,-0.691469913862552,0.140636996605207,-0.691469913862552
"23","azacitidine",-0.68311953894776,1,-0.68311953894776,NA,-0.68311953894776
"132","mephenytoin",-0.678285926752184,1,-0.678285926752184,NA,-0.678285926752184
"10","amlodipine",-0.674010039040714,1,-0.674010039040714,NA,-0.674010039040714
"241","torin-1",-0.668401809506104,1,-0.668401809506104,NA,-0.668401809506104
"234","tetrindole",-0.665086447295036,1,-0.665086447295036,NA,-0.665086447295036
"197","pyrvinium-pamoate",-0.658393753485778,2,-0.658393753485778,0.0382539641801975,-0.658393753485778
"250","triciribine",-0.653188324967466,1,-0.653188324967466,NA,-0.653188324967466
"173","perhexiline",-0.64900539133668,1,-0.64900539133668,NA,-0.64900539133668
"64","dacinostat",-0.629670942554378,1,-0.629670942554378,NA,-0.629670942554378
"279","zuclopenthixol",-0.624372559955382,1,-0.624372559955382,NA,-0.624372559955382
"36","butein",-0.623721881390593,1,-0.623721881390593,NA,-0.623721881390593
"189","prochlorperazine",-0.599367912251348,1,-0.599367912251348,NA,-0.599367912251348
"103","fluvastatin",-0.595417363822272,2,-0.595417363822272,0.0391084341704777,-0.595417363822272
"246","trametinib",-0.591745677635248,1,-0.591745677635248,NA,-0.591745677635248
"21","auranofin",-0.586261386874884,1,-0.586261386874884,NA,-0.586261386874884
"125","lapatinib",-0.586261386874884,1,-0.586261386874884,NA,-0.586261386874884
"22","AZ-628",-0.583658672615728,1,-0.583658672615728,NA,-0.583658672615728
"222","STAT3-inhibitor-VI",-0.583565718535044,1,-0.583565718535044,NA,-0.583565718535044
"67","daunorubicin",-0.581427774679308,1,-0.581427774679308,NA,-0.581427774679308
"193","purmorphamine",-0.569204313069343,2,-0.569204313069343,0.0727614060953251,-0.569204313069343
"261","vemurafenib",-0.552952841296399,1,-0.552952841296399,NA,-0.552952841296399
"209","saclofen",-0.550752928053542,1,-0.550752928053542,NA,-0.550752928053542
"17","asiatic-acid",-0.541457519985127,1,-0.541457519985127,NA,-0.541457519985127
"137","MGCD-265",-0.541426535291566,1,-0.541426535291566,NA,-0.541426535291566
"167","PAC-1",-0.541364565904443,1,-0.541364565904443,NA,-0.541364565904443
"100","fenretinide",-0.540992749581707,1,-0.540992749581707,NA,-0.540992749581707
"110","GSK-3-inhibitor-IX",-0.540435025097602,1,-0.540435025097602,NA,-0.540435025097602
"48","chenodeoxycholic-acid",-0.539319576129392,1,-0.539319576129392,NA,-0.539319576129392
"45","cefixime",-0.535787321063395,1,-0.535787321063395,NA,-0.535787321063395
"74","dipyridamole",-0.534578918014501,1,-0.534578918014501,NA,-0.534578918014501
"58","crizotinib",-0.527421453801822,1,-0.527421453801822,NA,-0.527421453801822
"161","NVP-TAE684",-0.522634318646588,2,-0.522634318646588,0.0548832647602501,-0.522634318646588
"225","tacrolimus",-0.515430377393567,2,-0.515430377393567,0.0863671974790041,-0.515430377393567
"255","tyrphostin-AG-1478",-0.513338910578174,2,-0.513338910578174,0.0162349298153074,-0.513338910578174
"37","BX-795",-0.512455846811675,1,-0.512455846811675,NA,-0.512455846811675
"194","puromycin",-0.509853132552519,1,-0.509853132552519,NA,-0.509853132552519
