"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"118","kenpaullone","Preclinical","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B",-1.44503846528386,1,-1.44503846528386,NA,-1.44503846528386
"238","torin-1","Preclinical","mTOR inhibitor","MTOR",-1.34524296426137,1,-1.34524296426137,NA,-1.34524296426137
"258","vemurafenib","Launched","RAF inhibitor","BRAF|RAF1",-1.32371214334405,1,-1.32371214334405,NA,-1.32371214334405
"184","podophyllotoxin","Launched","microtubule inhibitor|tubulin polymerization inhibitor","IGF1R|TOP2A|TUBA4A|TUBB",-1.28146849741942,1,-1.28146849741942,NA,-1.28146849741942
"18","AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9",-1.16370630051612,1,-1.16370630051612,NA,-1.16370630051612
"77","doxycycline","Launched","metalloproteinase inhibitor","MMP8",-1.04230207420391,1,-1.04230207420391,NA,-1.04230207420391
"264","WYE-125132","Preclinical","mTOR inhibitor","MTOR",-1.03922485149479,1,-1.03922485149479,NA,-1.03922485149479
"168","parbendazole","Preclinical","tubulin polymerization inhibitor","TUBB",-1.03209660142176,1,-1.03209660142176,NA,-1.03209660142176
"22","AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1",-0.984516505988899,1,-0.984516505988899,NA,-0.984516505988899
"13","amsacrine","Launched","topoisomerase inhibitor","KCNH2|TOP2A",-0.979579316389132,1,-0.979579316389132,NA,-0.979579316389132
"154","norethisterone","Launched","progesterone receptor agonist","PGR",-0.97589833479404,1,-0.97589833479404,NA,-0.97589833479404
"268","YM-155","Phase 2","survivin inhibitor","BIRC5",-0.97407732008959,1,-0.97407732008959,NA,-0.97407732008959
"81","entinostat","Phase 3","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9",-0.971048787613205,1,-0.971048787613205,NA,-0.971048787613205
"190","promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C",-0.96774758983348,1,-0.96774758983348,NA,-0.96774758983348
"66","daunorubicin","Launched","RNA synthesis inhibitor|topoisomerase inhibitor","TOP2A|TOP2B",-0.96555652936021,1,-0.96555652936021,NA,-0.96555652936021
"115","immepip","Preclinical","histamine receptor agonist","HRH3|HRH4",-0.962985685071575,1,-0.962985685071575,NA,-0.962985685071575
"127","loratadine","Launched","histamine receptor antagonist","HRH1",-0.9359918200409,1,-0.9359918200409,NA,-0.9359918200409
"6","alvocidib","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM",-0.89152789950336,1,-0.89152789950336,NA,-0.89152789950336
"29","bisacodyl","Launched","laxative","",-0.877826468010517,1,-0.877826468010517,NA,-0.877826468010517
"23","azacitidine","Launched","DNA methyltransferase inhibitor","DNMT1|DNMT3A",-0.874992696465089,1,-0.874992696465089,NA,-0.874992696465089
"84","epothilone-a","Preclinical","microtubule stabilizing agent","",-0.871282500730354,1,-0.871282500730354,NA,-0.871282500730354
"160","NVP-TAE684","Preclinical","ALK tyrosine kinase receptor inhibitor","ALK|INSR",-0.868083552439381,2,-0.868083552439381,0.0169185058075308,-0.868083552439381
"163","olvanil","Preclinical","TRPV agonist","CNR1|GPR119|TRPV1",-0.865965527315221,1,-0.865965527315221,NA,-0.865965527315221
"20","ATPA","Preclinical","glutamate receptor agonist","GRIA2|GRIK1",-0.862313759859772,1,-0.862313759859772,NA,-0.862313759859772
"5","AG-14361","Preclinical","PARP inhibitor","PARP1",-0.860560911481157,1,-0.860560911481157,NA,-0.860560911481157
"134","metitepine","Preclinical","anti-HCVE2","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7",-0.856704645048203,1,-0.856704645048203,NA,-0.856704645048203
"34","bromperidol","Launched","dopamine receptor antagonist","DRD2",-0.85471808355244,1,-0.85471808355244,NA,-0.85471808355244
"212","selamectin","Launched","nematocide","",-0.848232544551563,1,-0.848232544551563,NA,-0.848232544551563
"209","SB-216763","Preclinical","glycogen synthase kinase inhibitor","CCNA2|CDK2|GSK3A|GSK3B",-0.847852760736196,1,-0.847852760736196,NA,-0.847852760736196
"95","ezetimibe","Launched","cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist","ANPEP|NPC1L1|SOAT1",-0.840403155127082,1,-0.840403155127082,NA,-0.840403155127082
"206","saclofen","Preclinical","GABA receptor antagonist","GABBR1|GABBR2|KCTD12|KCTD16|KCTD8",-0.836546888694128,1,-0.836546888694128,NA,-0.836546888694128
"159","NVP-AUY922","Phase 2","HSP inhibitor","HSP90AA1|HSP90AB1",-0.831531794721979,2,-0.831531794721979,0.299093291923448,-0.831531794721979
"164","OSI-027","Phase 1","mTOR inhibitor","MTOR",-0.827208102054728,2,-0.827208102054728,0.650188438083149,-0.827208102054728
"126","lonidamine","Launched","glucokinase inhibitor","GCK",-0.822056675430909,1,-0.822056675430909,NA,-0.822056675430909
"113","IKK-2-inhibitor-V","Phase 1","IKK inhibitor|NFkB pathway inhibitor","IKBKB",-0.804440549225825,1,-0.804440549225825,NA,-0.804440549225825
"175","PHA-793887","Phase 1","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK7|CDK9",-0.797575226409582,1,-0.797575226409582,NA,-0.797575226409582
"75","doramapimod","Phase 2","p38 MAPK inhibitor","MAPK11|MAPK12|MAPK13|MAPK14",-0.784652838640569,1,-0.784652838640569,NA,-0.784652838640569
"171","PD-0325901","Phase 2","MEK inhibitor","MAP2K1",-0.783026584867076,1,-0.783026584867076,NA,-0.783026584867076
"48","chenodeoxycholic-acid","Launched","11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist","NR1H4",-0.78086473853345,1,-0.78086473853345,NA,-0.78086473853345
