"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.006,0.738
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.013,1
"Antifungal Agents","Antifungal Agents",0.015,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.03,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.033,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.037,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.061,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.084,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.089,1
"Amebicides","Amebicides",0.099,1
"Emetics","Emetics",0.099,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.099,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.112,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.114,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.158,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.158,1
"Nasal Decongestants","Nasal Decongestants",0.158,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.158,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.164,1
"Antitussive Agents","Antitussive Agents",0.178,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.184,1
"Estrogen Antagonists","Estrogen Antagonists",0.186,1
"Immunologic Factors","Immunologic Factors",0.207,1
"Protease Inhibitors","Protease Inhibitors",0.207,1
"Estrogens","Estrogens",0.22,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.232,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.235,1
"Antineoplastic Agents","Antineoplastic Agents",0.252,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.253,1
"Sympathomimetics","Sympathomimetics",0.253,1
"Tocolytic Agents","Tocolytic Agents",0.253,1
"Anti-Infective Agents","Anti-Infective Agents",0.257,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.261,1
"Alkylating Agents","Alkylating Agents",0.268,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.268,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.281,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.285,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.289,1
"Cathartics","Cathartics",0.319,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.326,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.348,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.351,1
"Antimalarials","Antimalarials",0.358,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.365,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.365,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.369,1
"Cardiovascular Agents","Cardiovascular Agents",0.373,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.389,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.389,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.39,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.402,1
"Uricosuric Agents","Uricosuric Agents",0.402,1
"Keratolytic Agents","Keratolytic Agents",0.421,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.429,1
"Sympatholytics","Sympatholytics",0.429,1
