"","log2FoldChange","logCPM","LR","pvalue","padj","Symbol","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","value","up_down"
"20450",-8.64262998242049,-1.58687991091813,222.875210564231,2.13424816656944e-50,1.24977304137973e-45,"GH1",9606,2688,"NULL","17","17q24.2","growth hormone 1","protein-coding","GH1","growth hormone 1","O","pituitary growth hormone|somatotropin",-8.64262998242049,"down"
"50492",-7.3333978432946,-2.98840034560147,178.382883175512,1.09272568317028e-40,6.39681614927882e-36,"C20orf85",9606,128602,"NULL","20","20q13.32","chromosome 20 open reading frame 85","protein-coding","C20orf85","chromosome 20 open reading frame 85","O","low in lung cancer 1|uncharacterized pro",-7.3333978432946,"down"
"36889",-7.25033345873172,-2.17577447223097,179.19689154474,7.25727525026466e-41,4.24848150425744e-36,"PRL",9606,5617,"RP3-404K8.1","6","6p22.2-p21.3","prolactin","protein-coding","PRL","prolactin","O","decidual prolactin",-7.25033345873172,"down"
"55014",-7.20775071314616,0.659021142256837,133.067072229527,8.7408284524635e-31,5.112860194984e-26,"TTR",9606,7276,"NULL","18","18q12.1","transthyretin","protein-coding","TTR","transthyretin","O","ATTR|carpal tunnel syndrome 1|prealbumin",-7.20775071314616,"down"
"28914",-6.92376047007052,-2.08324056059831,366.163191885955,1.28114352395647e-81,7.50493876333702e-77,"MYL2",9606,4633,"NULL","12","12q24.11","myosin, light chain 2, regulatory, cardiac, slow","protein-coding","MYL2","myosin, light chain 2, regulatory, cardiac, slow","O","MLC-2|MLC-2v|RLC of myosin|cardiac ventr",-6.92376047007052,"down"
"14279",-6.77767423331844,-2.09033767479346,50.0370915950268,1.50867008321546e-12,8.64452870981629e-08,"GP2",9606,2813,"NULL","16","16p12","glycoprotein 2 (zymogen granule membrane)","protein-coding","GP2","glycoprotein 2 (zymogen granule membrane)","O","pancreatic secretory granule membrane ma",-6.77767423331844,"down"
"11892",-6.44342207881547,-3.64123434364082,149.04397367787,2.80497277090438e-34,1.64116151852844e-29,"PRM2",9606,5620,"NULL","16","16p13.2","protamine 2","protein-coding","PRM2","protamine 2","O","cancer/testis antigen family 94, member ",-6.44342207881547,"down"
"57213",-6.34640439163234,-3.34489173226593,79.1938960017745,5.63037678634549e-19,3.27642885951017e-14,"PNLIPRP1",9606,5407,"NULL","10","10q25.3","pancreatic lipase-related protein 1","protein-coding","PNLIPRP1","pancreatic lipase-related protein 1","O","PL-RP1|inactive pancreatic lipase-relate",-6.34640439163234,"down"
"11748",-6.3247984171332,-3.58336540571511,84.2355652919992,4.39198398320558e-20,2.55855026941641e-15,"ADAM2",9606,2515,"NULL","8","8p11.2","ADAM metallopeptidase domain 2","protein-coding","ADAM2","ADAM metallopeptidase domain 2","O","cancer/testis antigen 15|disintegrin and",-6.3247984171332,"down"
"40086",-6.29069594242422,-2.58603798139805,36.0426958268795,1.93041034450803e-09,0.000108216873502776,"CELA3A",9606,10136,"RP11-26H16.2","1","1p36.12","chymotrypsin-like elastase family, member 3A","protein-coding","CELA3A","chymotrypsin-like elastase family, member 3A","O","chymotrypsin-like elastase family member",-6.29069594242422,"down"
"28917",-6.27095670870498,-3.20474964002025,259.439716512127,2.27323879154929e-58,1.33150415737416e-53,"MYL1",9606,4632,"NULL","2","2q33-q34","myosin, light chain 1, alkali; skeletal, fast","protein-coding","MYL1","myosin, light chain 1, alkali; skeletal, fast","O","A1 catalytic|A2 catalytic|MLC1/MLC3|MLC1",-6.27095670870498,"down"
"56067",-6.12520487011027,-3.50463023731498,179.854387436301,5.21451014426443e-41,3.05267852865528e-36,"CYP11B1",9606,1584,"NULL","8","8q21","cytochrome P450, family 11, subfamily B, polypeptide 1","protein-coding","CYP11B1","cytochrome P450, family 11, subfamily B, polypeptide 1","O","CYPXIB1|cytochrome P-450c11|cytochrome P",-6.12520487011027,"down"
"3910",-6.09071563879927,-3.24420859678215,99.1602849015185,2.32870495937997e-23,1.35961439053399e-18,"SPRR3",9606,6707,"NULL","1","1q21-q22","small proline-rich protein 3","protein-coding","SPRR3","small proline-rich protein 3","O","22 kDa pancornulin|cornifin beta|esophag",-6.09071563879927,"down"
"40339",-5.99151429861671,-2.12557683573015,32.1135103547277,1.45422501101989e-08,0.000806687698112953,"MUC7",9606,4589,"NULL","4","4q13.3","mucin 7, secreted","protein-coding","MUC7","mucin 7, secreted","O","MUC-7|apo-MG2|mucin 7, salivary|mucin-7|",-5.99151429861671,"down"
"22247",-5.89364797077842,2.45353673550069,353.405130393545,7.68483101471599e-79,4.50169716011048e-74,"SYTL1",9606,84958,"RP11-4K3__A.6","1","1p36.11","synaptotagmin-like 1","protein-coding","SYTL1","synaptotagmin-like 1","O","NADPH oxidase-related, C2 domain-contain",-5.89364797077842,"down"
"38304",-5.88653799475475,-2.02777440830317,171.846793732588,2.92294573123528e-39,1.71088782486394e-34,"CCDC60",9606,160777,"NULL","12","12q24.23","coiled-coil domain containing 60","protein-coding","CCDC60","coiled-coil domain containing 60","O","coiled-coil domain-containing protein 60",-5.88653799475475,"down"
"48124",-5.86155136765353,-0.659647541341841,367.725505560964,5.85364147477281e-82,3.42912171233666e-77,"CKM",9606,1158,"NULL","19","19q13.32","creatine kinase, muscle","protein-coding","CKM","creatine kinase, muscle","O","creatine kinase M chain|creatine kinase ",-5.86155136765353,"down"
"20435",-5.83523401871117,-3.87922046235171,73.5520174083862,9.80186981639246e-18,5.69488636332402e-13,"RPL23AP4",9606,54029,"NULL","21","21q22.3","ribosomal protein L23a pseudogene 4","pseudo","RPL23AP4","ribosomal protein L23a pseudogene 4","O","NULL",-5.83523401871117,"down"
"16214",-5.82341956791034,-2.85815739955511,58.3372779976263,2.20819993657224e-14,1.27424177339901e-09,"KRT4",9606,3851,"NULL","12","12q13.13","keratin 4","protein-coding","KRT4","keratin 4","O","cytokeratin 4|keratin, type II cytoskele",-5.82341956791034,"down"
"57148",-5.82017408250459,-2.3466332198889,188.211524239684,7.81135088355433e-43,4.57331160179455e-38,"MYH1",9606,4619,"NULL","17","17p13.1","myosin, heavy chain 1, skeletal muscle, adult","protein-coding","MYH1","myosin, heavy chain 1, skeletal muscle, adult","O","myHC-IIx/d|myosin heavy chain 1|myosin h",-5.82017408250459,"down"
"14230",-5.78614640936681,-3.35861664280663,104.235406899963,1.79651327922245e-24,1.04937933665942e-19,"CRNN",9606,49860,"NULL","1","1q21","cornulin","protein-coding","CRNN","cornulin","O","53 kDa putative calcium-binding protein|",-5.78614640936681,"down"
"11890",-5.73460562694965,-3.92269710194709,113.129215750707,2.02161303800809e-26,1.18161260458535e-21,"PRM1",9606,5619,"NULL","16","16p13.2","protamine 1","protein-coding","PRM1","protamine 1","O","cancer/testis antigen family 94, member ",-5.73460562694965,"down"
"1488",-5.59538404087891,-3.84014339594543,66.8896452511366,2.8713917875702e-16,1.66468938884382e-11,"RP11-804A23.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.59538404087891,"down"
"7345",-5.55046305615597,-2.46632064283287,56.4183701228139,5.85805130847135e-14,3.37529200291502e-09,"FSHB",9606,2488,"NULL","11","11p13","follicle stimulating hormone, beta polypeptide","protein-coding","FSHB","follicle stimulating hormone, beta polypeptide","O","FSH-B|FSH-beta|follicle-stimulating horm",-5.55046305615597,"down"
