"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"118","kenpaullone","Preclinical","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B",-1.12906157691434,1,-1.12906157691434,NA,-1.12906157691434
"10","amlodipine","Launched","calcium channel blocker","CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1",-1.10395364689843,1,-1.10395364689843,NA,-1.10395364689843
"74","donepezil","Launched","acetylcholinesterase inhibitor","ACHE|HTR2A",-1.06407634628494,1,-1.06407634628494,NA,-1.06407634628494
"203","rucaparib","Phase 3","PARP inhibitor","PARP1|PARP2",-1.01908657123381,1,-1.01908657123381,NA,-1.01908657123381
"102","fluvastatin","Launched","HMGCR inhibitor","HMGCR",-0.981765507839129,2,-0.981765507839129,0.133275408996649,-0.981765507839129
"22","AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1",-0.972051806407634,1,-0.972051806407634,NA,-0.972051806407634
"171","PD-0325901","Phase 2","MEK inhibitor","MAP2K1",-0.965235173824131,1,-0.965235173824131,NA,-0.965235173824131
"190","promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C",-0.955351056578051,1,-0.955351056578051,NA,-0.955351056578051
"231","tetrindole","Phase 3","monoamine oxidase inhibitor","MAOA",-0.952965235173824,1,-0.952965235173824,NA,-0.952965235173824
"166","PAC-1","Phase 1","caspase activator","CASP3",-0.940695296523517,1,-0.940695296523517,NA,-0.940695296523517
"124","lapatinib","Launched","EGFR inhibitor","EGFR|ERBB2",-0.916155419222904,1,-0.916155419222904,NA,-0.916155419222904
"258","vemurafenib","Launched","RAF inhibitor","BRAF|RAF1",-0.909225176096342,1,-0.909225176096342,NA,-0.909225176096342
"194","PX-12","Phase 2","thioredoxin inhibitor","TXN|TXNRD1",-0.905930470347648,1,-0.905930470347648,NA,-0.905930470347648
"17","asiatic-acid","Preclinical","apoptosis stimulant","PYGM",-0.895364689843217,1,-0.895364689843217,NA,-0.895364689843217
"191","PSB-06126","Preclinical","NTPDase inhibitor","ENTPD3",-0.874573960463531,1,-0.874573960463531,NA,-0.874573960463531
"78","DR-2313","Preclinical","PARP inhibitor","PARP1|PARP3",-0.871506475800954,1,-0.871506475800954,NA,-0.871506475800954
"168","parbendazole","Preclinical","tubulin polymerization inhibitor","TUBB",-0.86184957964099,1,-0.86184957964099,NA,-0.86184957964099
"116","irinotecan","Launched","topoisomerase inhibitor","TOP1|TOP1MT",-0.839127471029312,1,-0.839127471029312,NA,-0.839127471029312
"215","sildenafil","Launched","phosphodiesterase inhibitor","PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3",-0.838673028857078,1,-0.838673028857078,NA,-0.838673028857078
"131","mephenytoin","Launched","hydantoin antiepileptic","SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A",-0.832992501704158,1,-0.832992501704158,NA,-0.832992501704158
"238","torin-1","Preclinical","mTOR inhibitor","MTOR",-0.832538059531924,1,-0.832538059531924,NA,-0.832538059531924
"100","FGIN-1-43","Preclinical","benzodiazepine receptor agonist","TSPO",-0.822085889570552,1,-0.822085889570552,NA,-0.822085889570552
"39","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.810838445807771,1,-0.810838445807771,NA,-0.810838445807771
"84","epothilone-a","Preclinical","microtubule stabilizing agent","",-0.808452624403545,1,-0.808452624403545,NA,-0.808452624403545
"127","loratadine","Launched","histamine receptor antagonist","HRH1",-0.806066802999318,1,-0.806066802999318,NA,-0.806066802999318
"134","metitepine","Preclinical","anti-HCVE2","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7",-0.802999318336742,1,-0.802999318336742,NA,-0.802999318336742
