"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.004,0.492
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.007,0.854
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.023,1
"Antifungal Agents","Antifungal Agents",0.032,1
"Estrogens","Estrogens",0.043,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.051,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.052,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.064,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.067,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.067,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.081,1
"Amebicides","Amebicides",0.098,1
"Emetics","Emetics",0.098,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.1,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.127,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.141,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.141,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.141,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.141,1
"Neuroprotective Agents","Neuroprotective Agents",0.146,1
"Cardiotonic Agents","Cardiotonic Agents",0.164,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.166,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.17,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.173,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.175,1
"Immunologic Factors","Immunologic Factors",0.188,1
"Protease Inhibitors","Protease Inhibitors",0.188,1
"Antitussive Agents","Antitussive Agents",0.194,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.195,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.213,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.233,1
"Nasal Decongestants","Nasal Decongestants",0.233,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.233,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.243,1
"Sympatholytics","Sympatholytics",0.243,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.252,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.288,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.299,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.306,1
"Uricosuric Agents","Uricosuric Agents",0.306,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.311,1
"Cathartics","Cathartics",0.313,1
"Indicators and Reagents","Indicators and Reagents",0.327,1
"Serotonin Antagonists","Serotonin Antagonists",0.329,1
"Analgesics","Analgesics",0.333,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.336,1
"Estrogen Antagonists","Estrogen Antagonists",0.343,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.343,1
"Cardiovascular Agents","Cardiovascular Agents",0.352,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.359,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.368,1
"Narcotic Antagonists","Narcotic Antagonists",0.377,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.384,1
"Glucocorticoids","Glucocorticoids",0.388,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.39,1
"Teratogens","Teratogens",0.391,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.396,1
"Antirheumatic Agents","Antirheumatic Agents",0.405,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.423,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.459,1
"Coloring Agents","Coloring Agents",0.463,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.466,1
"Anti-HIV Agents","Anti-HIV Agents",0.481,1
"Antimalarials","Antimalarials",0.533,1
"Vasodilator Agents","Vasodilator Agents",0.549,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.552,1
"Anticestodal Agents","Anticestodal Agents",0.557,1
"Progestins","Progestins",0.562,1
"Antiparasitic Agents","Antiparasitic Agents",0.594,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.594,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.601,1
"Myeloablative Agonists","Myeloablative Agonists",0.606,1
"Anti-Infective Agents","Anti-Infective Agents",0.615,1
"Antihypertensive Agents","Antihypertensive Agents",0.64,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.64,1
"Antineoplastic Agents","Antineoplastic Agents",0.656,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.661,1
"Antitubercular Agents","Antitubercular Agents",0.666,1
"Bronchodilator Agents","Bronchodilator Agents",0.673,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.685,1
"Diuretics","Diuretics",0.721,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.721,1
"Antinematodal Agents","Antinematodal Agents",0.733,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.734,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.74,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.74,1
"Antidepressive Agents","Antidepressive Agents",0.767,1
"Coccidiostats","Coccidiostats",0.773,1
"Alkylating Agents","Alkylating Agents",0.787,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.787,1
"Antimetabolites","Antimetabolites",0.796,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.796,1
"Antioxidants","Antioxidants",0.799,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.806,1
"Trypanocidal Agents","Trypanocidal Agents",0.808,1
"Anticonvulsants","Anticonvulsants",0.809,1
"Anthelmintics","Anthelmintics",0.814,1
"Insecticides","Insecticides",0.814,1
"Keratolytic Agents","Keratolytic Agents",0.835,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.838,1
"Antiemetics","Antiemetics",0.842,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.856,1
"Sympathomimetics","Sympathomimetics",0.856,1
"Tocolytic Agents","Tocolytic Agents",0.856,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.866,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.866,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.866,1
"Antipsychotic Agents","Antipsychotic Agents",0.88,1
"Intercalating Agents","Intercalating Agents",0.88,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.886,1
"GABA Antagonists","GABA Antagonists",0.893,1
"Antipruritics","Antipruritics",0.91,1
"Tubulin Modulators","Tubulin Modulators",0.911,1
"Dopamine Antagonists","Dopamine Antagonists",0.92,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.926,1
"Urological Agents","Urological Agents",0.926,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.934,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.937,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.942,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.945,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.983,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.986,1
"Nootropic Agents","Nootropic Agents",0.986,1
