"","database","category","pval","qval","genes"
"86","GO_Biological_Process_2017","response to hypoxia (GO:0001666)",0.00816756896890107,0.224677502737218,"MYOCD,CLDN3,NOS1"
"87","GO_Biological_Process_2017","antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)",0.0287494500274334,0.224677502737218,"MUC7,DEFA1"
"90","GO_Biological_Process_2017","biomineral tissue development (GO:0031214)",0.0303770944371513,0.224677502737218,"AMELX"
"93","GO_Biological_Process_2017","arginine catabolic process (GO:0006527)",0.0303770944371513,0.224677502737218,"NOS1"
"97","GO_Biological_Process_2017","catecholamine biosynthetic process (GO:0042423)",0.0303770944371513,0.224677502737218,"PNMT"
"103","GO_Biological_Process_2017","cellular ion homeostasis (GO:0006873)",0.0303770944371513,0.224677502737218,"SLC4A1"
"144","GO_Biological_Process_2017","positive regulation of the force of heart contraction (GO:0098735)",0.0303770944371513,0.224677502737218,"NOS1"
"92","GO_Biological_Process_2017","muscle cell differentiation (GO:0042692)",0.0363417664741884,0.224677502737218,"ANKRD1"
"94","GO_Biological_Process_2017","opsonization (GO:0008228)",0.0363417664741884,0.224677502737218,"SFTPA1"
"100","GO_Biological_Process_2017","positive regulation of G-protein coupled receptor protein signaling pathway (GO:0045745)",0.0363417664741884,0.224677502737218,"KLK5"
"101","GO_Biological_Process_2017","body fluid secretion (GO:0007589)",0.0363417664741884,0.224677502737218,"NPPB"
"102","GO_Biological_Process_2017","sexual reproduction (GO:0019953)",0.0363417664741884,0.224677502737218,"RHOXF1"
"109","GO_Biological_Process_2017","zinc II ion transport (GO:0006829)",0.0363417664741884,0.224677502737218,"SLC30A8"
"110","GO_Biological_Process_2017","smooth muscle cell differentiation (GO:0051145)",0.0363417664741884,0.224677502737218,"MYOCD"
"165","GO_Biological_Process_2017","myoblast fusion (GO:0007520)",0.0363417664741884,0.224677502737218,"NOS1"
"194","GO_Biological_Process_2017","positive regulation of cardiac muscle cell differentiation (GO:2000727)",0.0363417664741884,0.224677502737218,"MYOCD"
"204","GO_Biological_Process_2017","regulation of blood vessel diameter (GO:0097746)",0.0363417664741884,0.224677502737218,"NPPB"
"88","GO_Biological_Process_2017","antimicrobial humoral response (GO:0019730)",0.039328666541463,0.224677502737218,"DEFA1,ELANE"
"96","GO_Biological_Process_2017","cellular response to copper ion (GO:0071280)",0.0422700430906647,0.224677502737218,"MT1G"
"98","GO_Biological_Process_2017","negative regulation of DNA biosynthetic process (GO:2000279)",0.0422700430906647,0.224677502737218,"ANKRD1"
"108","GO_Biological_Process_2017","positive regulation of macrophage chemotaxis (GO:0010759)",0.0422700430906647,0.224677502737218,"RARRES2"
"143","GO_Biological_Process_2017","positive regulation of urine volume (GO:0035810)",0.0422700430906647,0.224677502737218,"NPPB"
"147","GO_Biological_Process_2017","regulation of vascular permeability (GO:0043114)",0.0422700430906647,0.224677502737218,"NPPB"
"223","GO_Biological_Process_2017","epithelial cell morphogenesis (GO:0003382)",0.0422700430906647,0.224677502737218,"CLDN3"
"227","GO_Biological_Process_2017","glycerophospholipid biosynthetic process (GO:0046474)",0.0422700430906647,0.224677502737218,"CPNE7"
"253","GO_Biological_Process_2017","response to muscle stretch (GO:0035994)",0.0422700430906647,0.224677502737218,"ANKRD1"
"258","GO_Biological_Process_2017","internal protein amino acid acetylation (GO:0006475)",0.0422700430906647,0.224677502737218,"PCK1"
"99","GO_Biological_Process_2017","negative regulation of calcium ion transport (GO:0051926)",0.0481621445640342,0.224677502737218,"NOS1"
"235","GO_Biological_Process_2017","monocyte activation (GO:0042117)",0.0481621445640342,0.224677502737218,"MT1G"
"247","GO_Biological_Process_2017","neurotransmitter biosynthetic process (GO:0042136)",0.0481621445640342,0.224677502737218,"NOS1"
"254","GO_Biological_Process_2017","regulation of vesicle-mediated transport (GO:0060627)",0.0481621445640342,0.224677502737218,"SLC30A8"
"265","GO_Biological_Process_2017","positive regulation of glucose import in response to insulin stimulus (GO:2001275)",0.0481621445640342,0.224677502737218,"RARRES2"
"268","GO_Biological_Process_2017","positive regulation of interleukin-8 biosynthetic process (GO:0045416)",0.0481621445640342,0.224677502737218,"ELANE"
"89","GO_Biological_Process_2017","glucose homeostasis (GO:0042593)",0.0496012240438593,0.224677502737218,"SLC30A8,PCK1"
"113","GO_Biological_Process_2017","plasminogen activation (GO:0031639)",0.054018289832235,0.224677502737218,"F11"
"252","GO_Biological_Process_2017","response to insulin (GO:0032868)",0.054018289832235,0.224677502737218,"PCK1"
"256","GO_Biological_Process_2017","cardiac muscle tissue morphogenesis (GO:0055008)",0.054018289832235,0.224677502737218,"ANKRD1"
"263","GO_Biological_Process_2017","regulation of sequestering of zinc ion (GO:0061088)",0.054018289832235,0.224677502737218,"SLC30A8"
"264","GO_Biological_Process_2017","negative regulation of blood pressure (GO:0045776)",0.054018289832235,0.224677502737218,"NOS1"
"132","GO_Biological_Process_2017","receptor guanylyl cyclase signaling pathway (GO:0007168)",0.0598386965318518,0.224677502737218,"NPPB"
"234","GO_Biological_Process_2017","positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)",0.0598386965318518,0.224677502737218,"ANKRD1"
"242","GO_Biological_Process_2017","cardiac muscle cell differentiation (GO:0055007)",0.0598386965318518,0.224677502737218,"MYOCD"
"266","GO_Biological_Process_2017","thyroid hormone generation (GO:0006590)",0.0598386965318518,0.224677502737218,"IYD"
"107","GO_Biological_Process_2017","embryonic digestive tract development (GO:0048566)",0.065623580990314,0.224677502737218,"RARRES2"
"112","GO_Biological_Process_2017","anion transport (GO:0006820)",0.065623580990314,0.224677502737218,"SLC4A1"
"115","GO_Biological_Process_2017","negative regulation of blood coagulation (GO:0030195)",0.065623580990314,0.224677502737218,"PROZ"
"149","GO_Biological_Process_2017","lens development in camera-type eye (GO:0002088)",0.065623580990314,0.224677502737218,"CRYGD"
"156","GO_Biological_Process_2017","nitric oxide biosynthetic process (GO:0006809)",0.065623580990314,0.224677502737218,"NOS1"
"161","GO_Biological_Process_2017","positive regulation of smooth muscle contraction (GO:0045987)",0.065623580990314,0.224677502737218,"MYOCD"
"167","GO_Biological_Process_2017","peptidyl-glutamic acid carboxylation (GO:0017187)",0.065623580990314,0.224677502737218,"PROZ"
"262","GO_Biological_Process_2017","exogenous drug catabolic process (GO:0042738)",0.065623580990314,0.224677502737218,"NOS1"
"267","GO_Biological_Process_2017","monocyte differentiation (GO:0030224)",0.065623580990314,0.224677502737218,"MT1G"
"269","GO_Biological_Process_2017","sperm-egg recognition (GO:0035036)",0.065623580990314,0.224677502737218,"CATSPERD"
"173","GO_Biological_Process_2017","sperm capacitation (GO:0048240)",0.0713731582358992,0.224677502737218,"CATSPERD"
"244","GO_Biological_Process_2017","cell activation (GO:0001775)",0.0713731582358992,0.224677502737218,"SLURP1"
"248","GO_Biological_Process_2017","positive regulation of chemotaxis (GO:0050921)",0.0713731582358992,0.224677502737218,"RARRES2"
"151","GO_Biological_Process_2017","positive regulation of collagen biosynthetic process (GO:0032967)",0.0770876420016575,0.224677502737218,"AMELX"
"158","GO_Biological_Process_2017","insulin secretion (GO:0030073)",0.0770876420016575,0.224677502737218,"SLC30A8"
"170","GO_Biological_Process_2017","negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)",0.0770876420016575,0.224677502737218,"MYOCD"
"236","GO_Biological_Process_2017","regulation of cardiac muscle contraction (GO:0055117)",0.0770876420016575,0.224677502737218,"NOS1"
"155","GO_Biological_Process_2017","positive regulation of histone acetylation (GO:0035066)",0.0827672447502532,0.224677502737218,"NOS1"
"160","GO_Biological_Process_2017","response to progesterone (GO:0032570)",0.0827672447502532,0.224677502737218,"CATSPERD"
"162","GO_Biological_Process_2017","regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)",0.0827672447502532,0.224677502737218,"NOS1"
"232","GO_Biological_Process_2017","negative regulation of growth (GO:0045926)",0.0827672447502532,0.224677502737218,"MT1G"
"239","GO_Biological_Process_2017","NAD metabolic process (GO:0019674)",0.0827672447502532,0.224677502737218,"NMRK2"
"257","GO_Biological_Process_2017","response to zinc ion (GO:0010043)",0.0827672447502532,0.224677502737218,"SLC30A8"
"260","GO_Biological_Process_2017","regulation of sodium ion transport (GO:0002028)",0.0827672447502532,0.224677502737218,"NOS1"
"95","GO_Biological_Process_2017","regulation of lipid metabolic process (GO:0019216)",0.0870033357995624,0.224677502737218,"PSAPL1,ANKRD1"
"174","GO_Biological_Process_2017","cellular zinc ion homeostasis (GO:0006882)",0.0884121776418514,0.224677502737218,"SLC30A8"
"185","GO_Biological_Process_2017","cellular response to zinc ion (GO:0071294)",0.0884121776418514,0.224677502737218,"MT1G"
"251","GO_Biological_Process_2017","positive regulation of monocyte chemotaxis (GO:0090026)",0.0884121776418514,0.224677502737218,"S100A14"
"261","GO_Biological_Process_2017","toll-like receptor 4 signaling pathway (GO:0034142)",0.0884121776418514,0.224677502737218,"S100A14"
"184","GO_Biological_Process_2017","nitric oxide mediated signal transduction (GO:0007263)",0.0940226506019879,0.224677502737218,"NOS1"
"246","GO_Biological_Process_2017","innate immune response in mucosa (GO:0002227)",0.0940226506019879,0.224677502737218,"DEFA1"
"250","GO_Biological_Process_2017","intracellular steroid hormone receptor signaling pathway (GO:0030518)",0.0940226506019879,0.224677502737218,"RHOXF1"
"255","GO_Biological_Process_2017","phosphatidylinositol acyl-chain remodeling (GO:0036149)",0.0940226506019879,0.224677502737218,"PLA2G4D"
"259","GO_Biological_Process_2017","odontogenesis of dentin-containing tooth (GO:0042475)",0.0940226506019879,0.224677502737218,"AMELX"
"240","GO_Biological_Process_2017","phosphatidylglycerol acyl-chain remodeling (GO:0036148)",0.0995988722787083,0.23197712024408,"PLA2G4D"
"243","GO_Biological_Process_2017","calcium ion homeostasis (GO:0055074)",0.0995988722787083,0.23197712024408,"S100A14"
"186","GO_Biological_Process_2017","blood coagulation, intrinsic pathway (GO:0007597)",0.105141050062548,0.238838928537147,"F11"
"249","GO_Biological_Process_2017","response to heat (GO:0009408)",0.105141050062548,0.238838928537147,"NOS1"
"91","GO_Biological_Process_2017","cellular protein metabolic process (GO:0044267)",0.107186187233898,0.240076785503819,"SFTPB,SFTPA1,AMELX"
"238","GO_Biological_Process_2017","intracellular estrogen receptor signaling pathway (GO:0030520)",0.110649390122228,0.240076785503819,"DEFA1"
"190","GO_Biological_Process_2017","response to glucose (GO:0009749)",0.116124097336087,0.240076785503819,"SLC30A8"
"192","GO_Biological_Process_2017","signal peptide processing (GO:0006465)",0.116124097336087,0.240076785503819,"PROZ"
"228","GO_Biological_Process_2017","cellular response to growth factor stimulus (GO:0071363)",0.116124097336087,0.240076785503819,"NOS1"
"233","GO_Biological_Process_2017","cellular response to vascular endothelial growth factor stimulus (GO:0035924)",0.116124097336087,0.240076785503819,"MT1G"
"241","GO_Biological_Process_2017","positive regulation of insulin secretion (GO:0032024)",0.116124097336087,0.240076785503819,"SLC30A8"
"245","GO_Biological_Process_2017","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)",0.116124097336087,0.240076785503819,"CLDN10"
"231","GO_Biological_Process_2017","phosphatidylserine acyl-chain remodeling (GO:0036150)",0.121565375419322,0.245802517331377,"PLA2G4D"
"237","GO_Biological_Process_2017","striated muscle contraction (GO:0006941)",0.121565375419322,0.245802517331377,"NOS1"
"271","GO_Cellular_Component_2017","lamellar body (GO:0042599)",0.000772106758795582,0.0339726973870056,"SFTPB,SFTPA1"
"270","GO_Cellular_Component_2017","clathrin-coated endocytic vesicle (GO:0045334)",0.00279935303084365,0.0615857666785603,"SFTPB,SFTPA1"
