"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"118","kenpaullone","Preclinical","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B",-1.14485344239945,1,-1.14485344239945,NA,-1.14485344239945
"150","neratinib","Phase 3","EGFR inhibitor","EGFR|ERBB2|KDR",-1.0947511929107,1,-1.0947511929107,NA,-1.0947511929107
"174","PF-562271","Phase 1","focal adhesion kinase inhibitor","PTK2|PTK2B",-1.015081799591,1,-1.015081799591,NA,-1.015081799591
"17","asiatic-acid","Preclinical","apoptosis stimulant","PYGM",-0.909253578732106,1,-0.909253578732106,NA,-0.909253578732106
"215","sildenafil","Launched","phosphodiesterase inhibitor","PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3",-0.896131561008862,1,-0.896131561008862,NA,-0.896131561008862
"238","torin-1","Preclinical","mTOR inhibitor","MTOR",-0.884117246080436,1,-0.884117246080436,NA,-0.884117246080436
"98","fenoterol","Withdrawn","adrenergic receptor agonist","ADRB1|ADRB2|ADRB3",-0.861196319018405,1,-0.861196319018405,NA,-0.861196319018405
"55","CMPD-1","Preclinical","p38 MAPK inhibitor","GNRHR|MAPK14",-0.854550102249489,1,-0.854550102249489,NA,-0.854550102249489
"190","promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C",-0.845347648261759,1,-0.845347648261759,NA,-0.845347648261759
"102","fluvastatin","Launched","HMGCR inhibitor","HMGCR",-0.845092024539877,2,-0.845092024539877,0.17569217569359,-0.845092024539877
"131","mephenytoin","Launched","hydantoin antiepileptic","SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A",-0.83282208588957,1,-0.83282208588957,NA,-0.83282208588957
"78","DR-2313","Preclinical","PARP inhibitor","PARP1|PARP3",-0.830777096114519,1,-0.830777096114519,NA,-0.830777096114519
"124","lapatinib","Launched","EGFR inhibitor","EGFR|ERBB2",-0.82719836400818,1,-0.82719836400818,NA,-0.82719836400818
"191","PSB-06126","Preclinical","NTPDase inhibitor","ENTPD3",-0.811605316973415,1,-0.811605316973415,NA,-0.811605316973415
"7","AM-404","Preclinical","cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist","CNR1|CNR2|FAAH|TRPV1",-0.801891615541922,1,-0.801891615541922,NA,-0.801891615541922
"116","irinotecan","Launched","topoisomerase inhibitor","TOP1|TOP1MT",-0.789877300613497,1,-0.789877300613497,NA,-0.789877300613497
"95","ezetimibe","Launched","cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist","ANPEP|NPC1L1|SOAT1",-0.789621676891616,1,-0.789621676891616,NA,-0.789621676891616
"23","azacitidine","Launched","DNA methyltransferase inhibitor","DNMT1|DNMT3A",-0.789110429447853,1,-0.789110429447853,NA,-0.789110429447853
"155","norgestimate","Launched","progesterone receptor agonist","ESR1|PGR",-0.776840490797546,1,-0.776840490797546,NA,-0.776840490797546
"85","erlotinib","Launched","EGFR inhibitor","EGFR|NR1I2",-0.754004771642809,1,-0.754004771642809,NA,-0.754004771642809
"158","nutlin-3","Preclinical","MDM inhibitor","MDM2|TP53",-0.744759713701431,2,-0.744759713701431,0.117308870396235,-0.744759713701431
"272","ZM-336372","Preclinical","RAF inhibitor","BRAF|LCK|MAPK14|RAF1",-0.744120654396728,2,-0.744120654396728,0.033620107694452,-0.744120654396728
"276","zuclopenthixol","Launched","dopamine receptor antagonist","ADRA1A|ADRA2A|DRD1|DRD2|DRD5|HRH1|HTR2A",-0.737985685071575,1,-0.737985685071575,NA,-0.737985685071575
"182","piromidic-acid","Phase 2","bacterial DNA gyrase inhibitor","",-0.732106339468303,1,-0.732106339468303,NA,-0.732106339468303
"203","rucaparib","Phase 3","PARP inhibitor","PARP1|PARP2",-0.723415132924335,1,-0.723415132924335,NA,-0.723415132924335
"206","saclofen","Preclinical","GABA receptor antagonist","GABBR1|GABBR2|KCTD12|KCTD16|KCTD8",-0.713701431492842,1,-0.713701431492842,NA,-0.713701431492842
"104","fostamatinib","Phase 3","SYK inhibitor","RET|SYK",-0.713531015678255,2,-0.713531015678255,0.107849449414103,-0.713531015678255
"21","auranofin","Launched","NFkB pathway inhibitor","IKBKB|PRDX5|TRPA1",-0.712678936605317,1,-0.712678936605317,NA,-0.712678936605317
"240","tosedostat","Phase 2","peptidase inhibitor","ANPEP|LAP3|NPEPPS",-0.710378323108384,1,-0.710378323108384,NA,-0.710378323108384
