"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0,0
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0,0
"Antifungal Agents","Antifungal Agents",0.005,0.605
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.045,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.049,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.065,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.069,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.07,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.085,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.093,1
"Amebicides","Amebicides",0.094,1
"Emetics","Emetics",0.094,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.095,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.108,1
"Cathartics","Cathartics",0.121,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.123,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.134,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.134,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.134,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.134,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.158,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.174,1
"Estrogens","Estrogens",0.181,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.186,1
"Antitussive Agents","Antitussive Agents",0.193,1
"Serotonin Antagonists","Serotonin Antagonists",0.195,1
"Antitubercular Agents","Antitubercular Agents",0.203,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.204,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.206,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.216,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.231,1
"Indicators and Reagents","Indicators and Reagents",0.263,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.279,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.29,1
"Antinematodal Agents","Antinematodal Agents",0.3,1
"Cardiotonic Agents","Cardiotonic Agents",0.307,1
"Antipruritics","Antipruritics",0.313,1
"Anthelmintics","Anthelmintics",0.339,1
"Anticestodal Agents","Anticestodal Agents",0.339,1
"Insecticides","Insecticides",0.339,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.341,1
"Tubulin Modulators","Tubulin Modulators",0.365,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.368,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.385,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.385,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.387,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.389,1
"Antineoplastic Agents","Antineoplastic Agents",0.389,1
"Neuroprotective Agents","Neuroprotective Agents",0.392,1
"Antimalarials","Antimalarials",0.408,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.412,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.414,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.415,1
"Intercalating Agents","Intercalating Agents",0.417,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.43,1
"Glucocorticoids","Glucocorticoids",0.434,1
"Antidepressive Agents","Antidepressive Agents",0.466,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.469,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.478,1
"Anticonvulsants","Anticonvulsants",0.49,1
"Antiemetics","Antiemetics",0.49,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.491,1
"Analgesics","Analgesics",0.493,1
"Anti-Infective Agents","Anti-Infective Agents",0.505,1
"Antiparasitic Agents","Antiparasitic Agents",0.518,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.518,1
"Progestins","Progestins",0.524,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.55,1
"Trypanocidal Agents","Trypanocidal Agents",0.565,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.599,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.608,1
"Nasal Decongestants","Nasal Decongestants",0.608,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.608,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.617,1
"Sympatholytics","Sympatholytics",0.617,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.619,1
"Myeloablative Agonists","Myeloablative Agonists",0.624,1
"Immunologic Factors","Immunologic Factors",0.633,1
"Protease Inhibitors","Protease Inhibitors",0.633,1
"Antioxidants","Antioxidants",0.637,1
"Teratogens","Teratogens",0.682,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.694,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.701,1
"Nootropic Agents","Nootropic Agents",0.701,1
"Diuretics","Diuretics",0.712,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.712,1
"Coloring Agents","Coloring Agents",0.729,1
"Narcotic Antagonists","Narcotic Antagonists",0.729,1
"Coccidiostats","Coccidiostats",0.742,1
"Antipsychotic Agents","Antipsychotic Agents",0.744,1
"Keratolytic Agents","Keratolytic Agents",0.755,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.763,1
"Uricosuric Agents","Uricosuric Agents",0.763,1
"Bronchodilator Agents","Bronchodilator Agents",0.795,1
"Vasodilator Agents","Vasodilator Agents",0.796,1
"Alkylating Agents","Alkylating Agents",0.802,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.802,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.81,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.812,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.812,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.828,1
"Antimetabolites","Antimetabolites",0.83,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.83,1
"Cardiovascular Agents","Cardiovascular Agents",0.832,1
"Antihypertensive Agents","Antihypertensive Agents",0.85,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.853,1
"Estrogen Antagonists","Estrogen Antagonists",0.857,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.857,1
"Anti-HIV Agents","Anti-HIV Agents",0.874,1
"Dopamine Antagonists","Dopamine Antagonists",0.885,1
"Antirheumatic Agents","Antirheumatic Agents",0.898,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.908,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.908,1
"GABA Antagonists","GABA Antagonists",0.916,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.934,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.951,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.954,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.967,1
"Sympathomimetics","Sympathomimetics",0.967,1
"Tocolytic Agents","Tocolytic Agents",0.967,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.979,1
"Urological Agents","Urological Agents",0.979,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.995,1
