"","target","p","padj"
"Anti-Anxiety Agents","Anti-Anxiety Agents",0,0
"Leukotriene Antagonists","Leukotriene Antagonists",0,0
"Ganglionic Blockers","Ganglionic Blockers",0.001,0.223
"Antipyretics","Antipyretics",0.003,0.666
"Nicotinic Antagonists","Nicotinic Antagonists",0.003,0.666
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.004,0.88
"Appetite Depressants","Appetite Depressants",0.004,0.88
"Anti-HIV Agents","Anti-HIV Agents",0.01,1
"Antihypertensive Agents","Antihypertensive Agents",0.015,1
"Antiemetics","Antiemetics",0.016,1
"Leprostatic Agents","Leprostatic Agents",0.021,1
"Antiparkinson Agents","Antiparkinson Agents",0.03,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.033,1
"Insecticides","Insecticides",0.034,1
"Parasympatholytics","Parasympatholytics",0.036,1
"Photosensitizing Agents","Photosensitizing Agents",0.036,1
"Serotonin Receptor Agonists","Serotonin Receptor Agonists",0.037,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.039,1
"Antitussive Agents","Antitussive Agents",0.041,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.042,1
"Dopamine Agents","Dopamine Agents",0.044,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.047,1
"Solvents","Solvents",0.047,1
"Serotonin Antagonists","Serotonin Antagonists",0.051,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.055,1
"Anti-Asthmatic Agents","Anti-Asthmatic Agents",0.064,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.065,1
"Diuretics","Diuretics",0.066,1
"Anticonvulsants","Anticonvulsants",0.069,1
"Contraceptive Agents","Contraceptive Agents",0.076,1
"Protease Inhibitors","Protease Inhibitors",0.079,1
"Excitatory Amino Acid Antagonists","Excitatory Amino Acid Antagonists",0.083,1
"Angiotensin-Converting Enzyme Inhibitors","Angiotensin-Converting Enzyme Inhibitors",0.084,1
"Uricosuric Agents","Uricosuric Agents",0.085,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.087,1
"Adrenergic beta-Antagonists","Adrenergic beta-Antagonists",0.1,1
"Central Nervous System Stimulants","Central Nervous System Stimulants",0.1,1
"Anesthetics, Intravenous","Anesthetics, Intravenous",0.101,1
"Urological Agents","Urological Agents",0.106,1
"GABA Modulators","GABA Modulators",0.108,1
"Antidiarrheals","Antidiarrheals",0.113,1
"Vasodilator Agents","Vasodilator Agents",0.121,1
"Hypnotics and Sedatives","Hypnotics and Sedatives",0.123,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.132,1
"Antidepressive Agents","Antidepressive Agents",0.137,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.137,1
"Adrenergic beta-Agonists","Adrenergic beta-Agonists",0.139,1
"Immunologic Factors","Immunologic Factors",0.141,1
"Indicators and Reagents","Indicators and Reagents",0.144,1
"Contrast Media","Contrast Media",0.147,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.148,1
"Sympathomimetics","Sympathomimetics",0.153,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.161,1
"Neuroprotective Agents","Neuroprotective Agents",0.164,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.165,1
"Anti-Infective Agents","Anti-Infective Agents",0.168,1
"Vitamin B Complex","Vitamin B Complex",0.172,1
"Histamine Agonists","Histamine Agonists",0.177,1
"Muscarinic Antagonists","Muscarinic Antagonists",0.181,1
"Monoamine Oxidase Inhibitors","Monoamine Oxidase Inhibitors",0.183,1
"Cyclooxygenase Inhibitors","Cyclooxygenase Inhibitors",0.192,1
"Neurotransmitter Uptake Inhibitors","Neurotransmitter Uptake Inhibitors",0.192,1
"Catechol O-Methyltransferase Inhibitors","Catechol O-Methyltransferase Inhibitors",0.196,1
"Fibrinolytic Agents","Fibrinolytic Agents",0.207,1
"Antitubercular Agents","Antitubercular Agents",0.211,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.216,1
"Hypolipidemic Agents","Hypolipidemic Agents",0.221,1
"GABA Antagonists","GABA Antagonists",0.224,1
"Mydriatics","Mydriatics",0.229,1
"Miotics","Miotics",0.232,1
"Histamine Antagonists","Histamine Antagonists",0.244,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.245,1
"Sympatholytics","Sympatholytics",0.248,1
"Carcinogens","Carcinogens",0.259,1
"Anesthetics, Local","Anesthetics, Local",0.262,1
"Dopamine Uptake Inhibitors","Dopamine Uptake Inhibitors",0.266,1
"Gout Suppressants","Gout Suppressants",0.267,1
"Schistosomicides","Schistosomicides",0.271,1
"Antimalarials","Antimalarials",0.272,1
"Cyclooxygenase 2 Inhibitors","Cyclooxygenase 2 Inhibitors",0.274,1
"Anthelmintics","Anthelmintics",0.277,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.308,1
"Amebicides","Amebicides",0.321,1
"Anticoagulants","Anticoagulants",0.324,1
"Cholinergic Antagonists","Cholinergic Antagonists",0.334,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.336,1
"Neuromuscular Nondepolarizing Agents","Neuromuscular Nondepolarizing Agents",0.341,1
"Adjuvants, Anesthesia","Adjuvants, Anesthesia",0.347,1
"Convulsants","Convulsants",0.353,1
"Sodium Potassium Chloride Symporter Inhibitors","Sodium Potassium Chloride Symporter Inhibitors",0.356,1
"Serotonin Uptake Inhibitors","Serotonin Uptake Inhibitors",0.362,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.365,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.366,1
"Plant Growth Regulators","Plant Growth Regulators",0.373,1
"Folic Acid Antagonists","Folic Acid Antagonists",0.379,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.385,1
"Cholagogues and Choleretics","Cholagogues and Choleretics",0.386,1
"Parasympathomimetics","Parasympathomimetics",0.386,1
"Adrenergic beta-1 Receptor Antagonists","Adrenergic beta-1 Receptor Antagonists",0.392,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.392,1
"Tocolytic Agents","Tocolytic Agents",0.393,1
"Carbonic Anhydrase Inhibitors","Carbonic Anhydrase Inhibitors",0.404,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.405,1
"Mineralocorticoid Receptor Antagonists","Mineralocorticoid Receptor Antagonists",0.421,1
"Anti-Infective Agents, Urinary","Anti-Infective Agents, Urinary",0.426,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.44,1
"Muscarinic Agonists","Muscarinic Agonists",0.445,1
"Teratogens","Teratogens",0.45,1
"Cardiovascular Agents","Cardiovascular Agents",0.451,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.451,1
"Lipoxygenase Inhibitors","Lipoxygenase Inhibitors",0.453,1
"Myeloablative Agonists","Myeloablative Agonists",0.453,1
"Nasal Decongestants","Nasal Decongestants",0.46,1
"Cannabinoid Receptor Agonists","Cannabinoid Receptor Agonists",0.484,1
"Uncoupling Agents","Uncoupling Agents",0.485,1
"Aromatase Inhibitors","Aromatase Inhibitors",0.488,1
"Nicotinic Agonists","Nicotinic Agonists",0.502,1
"Adrenergic alpha-Agonists","Adrenergic alpha-Agonists",0.503,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.504,1
"Dopamine D2 Receptor Antagonists","Dopamine D2 Receptor Antagonists",0.507,1
"Antinematodal Agents","Antinematodal Agents",0.508,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.512,1
"Angiogenesis Inhibitors","Angiogenesis Inhibitors",0.517,1
"Adrenergic Agents","Adrenergic Agents",0.518,1
"Vitamins","Vitamins",0.527,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.528,1
"Estrogens","Estrogens",0.534,1
"Expectorants","Expectorants",0.535,1
