"","target","p","padj"
"GRIN2C","GRIN2C",0.004,1
"GRIN2D","GRIN2D",0.004,1
"GRIN3A","GRIN3A",0.004,1
"GRIN3B","GRIN3B",0.004,1
"CYSLTR2","CYSLTR2",0.006,1
"CYSLTR1","CYSLTR1",0.01,1
"MTNR1A","MTNR1A",0.011,1
"MTNR1B","MTNR1B",0.011,1
"GRIN2B","GRIN2B",0.012,1
"MMP14","MMP14",0.021,1
"HSD17B3","HSD17B3",0.023,1
"EDNRB","EDNRB",0.03,1
"HTR4","HTR4",0.035,1
"MMP8","MMP8",0.036,1
"HTR1A","HTR1A",0.038,1
"MMP1","MMP1",0.038,1
"MMP3","MMP3",0.04,1
"HTR1D","HTR1D",0.041,1
"TAAR1","TAAR1",0.041,1
"HTR3A","HTR3A",0.046,1
"GRIN2A","GRIN2A",0.054,1
"PABPC1","PABPC1",0.056,1
"HTR1F","HTR1F",0.061,1
"ITGB3","ITGB3",0.064,1
"HTR5A","HTR5A",0.065,1
"SIRT2","SIRT2",0.07,1
"HTR1B","HTR1B",0.072,1
"SIRT1","SIRT1",0.073,1
"CTSL1","CTSL1",0.074,1
"FNTA","FNTA",0.074,1
"PGGT1B","PGGT1B",0.074,1
"FFAR1","FFAR1",0.075,1
"FNTB","FNTB",0.079,1
"EDNRA","EDNRA",0.083,1
"CYP2B6","CYP2B6",0.084,1
"CYP2B7P1","CYP2B7P1",0.084,1
"GRIN1","GRIN1",0.096,1
"GUCY1A3","GUCY1A3",0.096,1
"HRH4","HRH4",0.097,1
"REN","REN",0.097,1
"GPR17","GPR17",0.102,1
"PPARD","PPARD",0.108,1
"CHRNA7","CHRNA7",0.114,1
"CXCR4","CXCR4",0.119,1
"PPARG","PPARG",0.128,1
"HTR7","HTR7",0.133,1
"MMP13","MMP13",0.134,1
"PDE11A","PDE11A",0.139,1
"PDE6A","PDE6A",0.139,1
"PDE6B","PDE6B",0.139,1
"PDE6C","PDE6C",0.139,1
"PDE6D","PDE6D",0.139,1
"PDE6G","PDE6G",0.139,1
"PDE6H","PDE6H",0.139,1
"PRKACB","PRKACB",0.16,1
"PRKACG","PRKACG",0.16,1
"GABRB2","GABRB2",0.168,1
"BCHE","BCHE",0.173,1
"GABRA1","GABRA1",0.177,1
"GABRB3","GABRB3",0.177,1
"GRM5","GRM5",0.177,1
"CHRNA4","CHRNA4",0.192,1
"CHRNB2","CHRNB2",0.192,1
"OXER1","OXER1",0.198,1
"PHOSPHO1","PHOSPHO1",0.204,1
"SLC22A11","SLC22A11",0.204,1
"SLC22A6","SLC22A6",0.204,1
"CTDSP1","CTDSP1",0.205,1
"PRKD1","PRKD1",0.208,1
"NTSR1","NTSR1",0.211,1
"PTGS1","PTGS1",0.211,1
"PDE7A","PDE7A",0.218,1
"ACE","ACE",0.223,1
"HCAR2","HCAR2",0.225,1
"AVPR1A","AVPR1A",0.233,1
"APOBEC3G","APOBEC3G",0.242,1
"MPI","MPI",0.243,1
"PMM2","PMM2",0.243,1
"GABRA2","GABRA2",0.246,1
"GABRG2","GABRG2",0.246,1
"PDE4B","PDE4B",0.249,1
"PDE4C","PDE4C",0.249,1
"TYMS","TYMS",0.25,1
"GLO1","GLO1",0.252,1
"PDE4D","PDE4D",0.26,1
"LTA4H","LTA4H",0.263,1
"SIGMAR1","SIGMAR1",0.266,1
"HCRTR1","HCRTR1",0.268,1
"PDE5A","PDE5A",0.269,1
"ADRB2","ADRB2",0.28,1
"ABCC8","ABCC8",0.282,1
"SENP7","SENP7",0.282,1
"PLAU","PLAU",0.284,1
"ABCC9","ABCC9",0.285,1
"NISCH","NISCH",0.289,1
"HMGCR","HMGCR",0.29,1
"CHRNA1","CHRNA1",0.295,1
"CHRNB1","CHRNB1",0.295,1
"CHRND","CHRND",0.295,1
"CHRNG","CHRNG",0.295,1
"NOX1","NOX1",0.297,1
"MMP12","MMP12",0.3,1
"PPARA","PPARA",0.3,1
"CHRNB4","CHRNB4",0.306,1
"CTSB","CTSB",0.31,1
"ALPL","ALPL",0.318,1
"MMP9","MMP9",0.318,1
"SLC22A8","SLC22A8",0.319,1
"ADRA1A","ADRA1A",0.321,1
"AVPR2","AVPR2",0.321,1
"PDE3A","PDE3A",0.326,1
"ATG4B","ATG4B",0.327,1
"PRKCI","PRKCI",0.33,1
"HPGD","HPGD",0.332,1
"ABCC1","ABCC1",0.336,1
"PDE3B","PDE3B",0.337,1
"PCSK7","PCSK7",0.34,1
"PLA2G1B","PLA2G1B",0.34,1
"CHRNA3","CHRNA3",0.345,1
"DHFR","DHFR",0.345,1
"DHFRP1","DHFRP1",0.345,1
"TRPA1","TRPA1",0.354,1
"SLC22A1","SLC22A1",0.365,1
"SCN2A","SCN2A",0.37,1
"NQO2","NQO2",0.375,1
"PARP2","PARP2",0.376,1
"PDE4A","PDE4A",0.377,1
"HRH3","HRH3",0.384,1
"EPHX2","EPHX2",0.387,1
"KCNJ11","KCNJ11",0.389,1
"AGTR1","AGTR1",0.392,1
"HTR2C","HTR2C",0.394,1
"PDE10A","PDE10A",0.394,1
"SCN1A","SCN1A",0.401,1
"SCN3A","SCN3A",0.401,1
"AURKC","AURKC",0.406,1
"MMP2","MMP2",0.407,1
"ADRA1B","ADRA1B",0.41,1
"GRM1","GRM1",0.411,1
"KCNA3","KCNA3",0.411,1
"PTGS2","PTGS2",0.415,1
"DPP4","DPP4",0.417,1
"SLC10A1","SLC10A1",0.418,1
"EBP","EBP",0.421,1
"SCN5A","SCN5A",0.423,1
"DRD5","DRD5",0.424,1
"DRD5P1","DRD5P1",0.424,1
"CXCR2","CXCR2",0.44,1
"FAAH","FAAH",0.442,1
"SCNN1A","SCNN1A",0.443,1
"SLC22A2","SLC22A2",0.443,1
"PDE2A","PDE2A",0.45,1
"CACNA1C","CACNA1C",0.452,1
"CSK","CSK",0.453,1
"PRKCE","PRKCE",0.458,1
"GABRA3","GABRA3",0.459,1
"PKN1","PKN1",0.46,1
"SCN9A","SCN9A",0.467,1
"FABP2","FABP2",0.47,1
"RARA","RARA",0.47,1
"RARB","RARB",0.47,1
"CYP1A2","CYP1A2",0.472,1
"CACNA1S","CACNA1S",0.474,1
"PRKCA","PRKCA",0.475,1
"PRKCH","PRKCH",0.475,1
"SCN4A","SCN4A",0.476,1
"SHBG","SHBG",0.478,1
"ACE2","ACE2",0.482,1
"HTR3B","HTR3B",0.484,1
"HTR3C","HTR3C",0.484,1
"HTR3D","HTR3D",0.484,1
"HTR3E","HTR3E",0.484,1
"CYP1A1","CYP1A1",0.486,1
"CYP1B1","CYP1B1",0.486,1
"GPER","GPER",0.486,1
"GPBAR1","GPBAR1",0.487,1
"TRPM8","TRPM8",0.489,1
"GABRB1","GABRB1",0.492,1
"NR1H3","NR1H3",0.492,1
"PRKACA","PRKACA",0.492,1
"MAOA","MAOA",0.494,1
"ESRRG","ESRRG",0.496,1
"CYP2C8","CYP2C8",0.499,1
"TGFBR2","TGFBR2",0.5,1
"ABCC4","ABCC4",0.506,1
"CTSK","CTSK",0.513,1
"TNF","TNF",0.513,1
"SLCO4C1","SLCO4C1",0.514,1
"ATP4A","ATP4A",0.515,1
"ATP4B","ATP4B",0.515,1
"PGR","PGR",0.517,1
"G6PD","G6PD",0.525,1
"CYP19A1","CYP19A1",0.533,1
"TGFBR1","TGFBR1",0.547,1
"CA3","CA3",0.551,1
"CA2","CA2",0.553,1
"ABL2","ABL2",0.555,1
"NR1I2","NR1I2",0.56,1
"AGTR2","AGTR2",0.561,1
"MKNK1","MKNK1",0.565,1
"CXCR1","CXCR1",0.569,1
"PRKCZ","PRKCZ",0.576,1
"DRD4","DRD4",0.577,1
"AKT3","AKT3",0.588,1
"HTR2B","HTR2B",0.594,1
"NR3C1","NR3C1",0.599,1
"PTK2B","PTK2B",0.6,1
"GABRA4","GABRA4",0.601,1
"EBPL","EBPL",0.606,1
"NOS2","NOS2",0.607,1
"ADCY1","ADCY1",0.613,1
"RXRA","RXRA",0.621,1
"ADRA1D","ADRA1D",0.625,1
"PRKCG","PRKCG",0.626,1
"TEC","TEC",0.629,1
"TXK","TXK",0.629,1
"PARP1","PARP1",0.63,1
"XDH","XDH",0.631,1
"CCR2","CCR2",0.633,1
"F2","F2",0.636,1
"NR1H2","NR1H2",0.641,1
"RPS6KA5","RPS6KA5",0.646,1
"AKR1C3","AKR1C3",0.653,1
"NR3C2","NR3C2",0.653,1
"RPS6KA1","RPS6KA1",0.657,1
