"","log2FoldChange","logCPM","LR","pvalue","padj","Symbol","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","value","up_down"
"5310",-4.24559247459,-3.67510954484098,35.2842911555252,2.84920945359123e-09,0.000160869214959215,"RP11-697M17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.24559247459,"down"
"58018",-4.2016912025784,-3.05477827549439,32.4810871559068,1.2035815395793e-08,0.000675293494411757,"UCMA",9606,221044,"NULL","10","10p13","upper zone of growth plate and cartilage matrix associated","protein-coding","UCMA","upper zone of growth plate and cartilage matrix associated","O","Gla-rich protein|unique cartilage matrix",-4.2016912025784,"down"
"50266",-4.19483264678911,-3.47289462060989,33.5298403864812,7.01789973790281e-09,0.000394735806557819,"PNLIPRP2",9606,5408,"NULL","10","10q25.3","pancreatic lipase-related protein 2","protein-coding","PNLIPRP2","pancreatic lipase-related protein 2","O","PL-RP2|galactolipase",-4.19483264678911,"down"
"55254",-3.91752377070863,-4.09428124662547,36.0355459241077,1.93750657458417e-09,0.000109614434457099,"RP11-334E6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.91752377070863,"down"
"28057",-3.87482896879912,-4.15466840976615,35.366012269728,2.73213150844165e-09,0.000154291662676225,"FAM224B",9606,401629,"NULL","Y","Yq11.221","family with sequence similarity 224, member B (non-protein coding)","miscRNA","FAM224B","family with sequence similarity 224, member B (non-protein coding)","O","NULL",-3.87482896879912,"down"
"30135",-3.8634536780787,-1.62977346296923,33.8231084226473,6.03576487536574e-09,0.000339759240599213,"TTC6",9606,319089,"hCG_20713","14","14q21.1","tetratricopeptide repeat domain 6","protein-coding","TTC6","tetratricopeptide repeat domain 6","O","TPR repeat protein 6|tetratricopeptide r",-3.8634536780787,"down"
"50905",-3.70362535044754,-3.87181900041435,34.5689169745326,4.1142373993785e-09,0.000231948361864762,"GKN1",9606,56287,"UNQ489/PRO1005","2","2p13.3","gastrokine 1","protein-coding","GKN1","gastrokine 1","O","18 kDa antrum mucosa protein|AMP-18|BRIC",-3.70362535044754,"down"
"32611",-3.67641129482204,-3.66273047163176,32.328651806045,1.30179579318996e-08,0.000730216314274045,"CRP",9606,1401,"RP11-419N10.4","1","1q23.2","C-reactive protein, pentraxin-related","protein-coding","CRP","C-reactive protein, pentraxin-related","O","C-reactive protein|pentraxin 1",-3.67641129482204,"down"
"42157",-3.57013744726591,-3.40802923070102,32.8381393506373,1.00160317589821e-08,0.00056243023136212,"IYD",9606,389434,"NULL","6","6q25.1","iodotyrosine deiodinase","protein-coding","IYD","iodotyrosine deiodinase","O","IYD-1|iodotyrosine dehalogenase 1",-3.57013744726591,"down"
"53711",-3.55353861645574,-2.80050245561738,34.8098278786916,3.63533710443301e-09,0.000205025742015813,"DSC3",9606,1825,"NULL","18","18q12.1","desmocollin 3","protein-coding","DSC3","desmocollin 3","O","cadherin family member 3|desmocollin-3|d",-3.55353861645574,"down"
"53371",-3.52342608238783,0.33985923714107,33.2818207049408,7.97244558149599e-09,0.00044813116613589,"RP11-295M3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.52342608238783,"down"
"23534",-3.48419621962128,-4.16577194499922,34.4653068605422,4.33916920669514e-09,0.000244554101051573,"MTRNR2L10",9606,100463488,"NULL","X","Xp11.21","MT-RNR2-like 10","protein-coding","MTRNR2L10","MT-RNR2-like 10","O","MT-RNR2-like protein 10|MTRNR2-like 10|h",-3.48419621962128,"down"
"10801",-3.466994011389,-4.08278496368292,33.390658724468,7.53851839500523e-09,0.000423830581203984,"RP5-908M14.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.466994011389,"down"
"49128",-3.431589265682,-2.96219153635349,32.6957589017486,1.07772117823981e-08,0.000605000337828484,"CTD-3193K9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.431589265682,"down"
"14809",-3.41211591113299,-4.22146592915843,32.0179196046753,1.52756958152468e-08,0.000856324956011106,"KIRREL3-AS2",9606,100874251,"NULL","11","NULL","KIRREL3 antisense RNA 2","miscRNA","KIRREL3-AS2","KIRREL3 antisense RNA 2","O","NULL",-3.41211591113299,"down"
