"","database","category","pval","qval","genes"
"171","GO_Biological_Process_2017","sister chromatid cohesion (GO:0007062)",4.06238049804853e-15,3.52208389180808e-12,"CDCA5,BUB1B,CDCA8,CENPA,NDC80,SKA1,CDC20,CENPE,KIF18A,CENPF,CENPI,CENPK,NUF2,BIRC5,CENPM,KIF2C,BUB1,SPC24"
"175","GO_Biological_Process_2017","chromosome segregation (GO:0007059)",3.83007800593915e-12,1.66033881557462e-09,"TOP2A,CDT1,CENPE,CENPF,NUF2,HJURP,NEK2,OIP5,KIF11,SKA3,NDC80,SKA1"
"174","GO_Biological_Process_2017","mitotic cell cycle (GO:0000278)",3.10914610752331e-11,6.91086844136252e-09,"CDT1,CDCA5,BUB1B,KIF11,SKA3,SKA1,NDC80,KIF15,CENPE,TPX2,CENPF,PBK,KIF2C,NEK2"
"173","GO_Biological_Process_2017","skeletal system development (GO:0001501)",3.18840527859862e-11,6.91086844136252e-09,"POSTN,SHOX2,EN1,HOXA13,HAPLN1,DLL3,HOXA11,PAX1,COL1A1,BCAN,ACAN,VCAN,BMP2,PITX1,SOX4"
"170","GO_Biological_Process_2017","positive regulation of transcription from RNA polymerase II promoter (GO:0045944)",2.51677629530339e-08,4.36409009605608e-06,"ONECUT2,SERPINE1,SIX1,FOXM1,EGFR,HEY1,MYC,MYBL2,SOX8,HOXA7,WNT2,SOX4,E2F8,TFAP2A,EGR2,GSX1,OSR1,TCF12,NME2,GRHL3,ETV1,TBX5,BMP4,AR,BMP2,SFRP2,NR5A2,LMX1A,HAND2,MYOD1,HOXD4,TP53"
"172","GO_Biological_Process_2017","positive regulation of transcription, DNA-templated (GO:0045893)",1.23008393954231e-07,1.77747129263863e-05,"RET,TFAP2A,EGR2,MSTN,SIX1,FOXN4,FOXM1,TBX5,BRCA2,EGFR,GDF7,HOXA11,COL1A1,BMP4,AR,BMP2,NR5A2,MYCN,MYC,HAND2,CD38,SOX8,TP53,SOX4"
"178","GO_Biological_Process_2017","extracellular matrix organization (GO:0030198)",1.98796680280885e-07,2.46223888290753e-05,"FBN2,VCAM1,SPARC,SERPINE1,TNC,HAPLN1,COL1A1,BCAN,ACAN,VCAN,COL3A1,MFAP2,CD44"
"181","GO_Biological_Process_2017","microtubule-based movement (GO:0007018)",3.07885123685153e-07,3.33670502793784e-05,"CENPE,KIF18A,KIF4A,KIF14,KIF23,KIF2C,KIF20A,KIF11,KIF15"
"180","GO_Biological_Process_2017","mitotic metaphase plate congression (GO:0007080)",1.23415688780604e-06,0.000118890446858649,"CENPE,KIF18A,CDCA5,KIF14,CDCA8,KIF2C,CEP55"
"183","GO_Biological_Process_2017","G2/M transition of mitotic cell cycle (GO:0000086)",2.78757142370819e-06,0.0002416824424355,"TPX2,CCNB2,MELK,CDK1,USH1C,NEK2,HMMR,CDC25C,FOXM1,PHLDA1,NES"
"185","GO_Biological_Process_2017","regulation of cell cycle (GO:0051726)",3.12350229659146e-06,0.000246188771922255,"CCNB2,CENPF,MYBL2,CDC25C,FOXM1,PRR11,DTL,GADD45G"
"184","GO_Biological_Process_2017","CENP-A containing nucleosome assembly (GO:0034080)",3.56294609924162e-06,0.000257422855670207,"CENPI,CENPK,HJURP,CENPM,OIP5,CENPA"
"186","GO_Biological_Process_2017","mitotic cytokinesis (GO:0000281)",4.3986009921258e-06,0.000293352850782543,"KIF4A,NUSAP1,KIF23,KIF20A,CENPA,CEP55"
"188","GO_Biological_Process_2017","branching involved in ureteric bud morphogenesis (GO:0001658)",5.02222657431942e-06,0.00031101931713821,"BMP4,BMP2,MYC,SIX1,HOXA11"
"208","GO_Biological_Process_2017","attachment of mitotic spindle microtubules to kinetochore (GO:0051315)",5.58747434387907e-06,0.00032295601707621,"CENPE,CDT1,KIF2C,NDC80"
"176","GO_Biological_Process_2017","negative regulation of apoptotic process (GO:0043066)",7.0729904843614e-06,0.000383267671871333,"TNFSF18,TFAP2A,OSR1,NME2,KIF14,DHRS2,EGFR,BMP4,MYC,CDK1,CD38,DPEP1,BIRC5,SOX8,TP53,CD44,LTF"
"205","GO_Biological_Process_2017","metaphase plate congression (GO:0051310)",1.42947870268802e-05,0.000729034138370892,"CENPE,CENPF,KIF2C,NDC80"
"190","GO_Biological_Process_2017","extracellular matrix disassembly (GO:0022617)",1.65091531874755e-05,0.00079519087853007,"FBN2,BCAN,ACAN,ADAMTS5,MMP14,MMP2,MMP19,CD44"
"189","GO_Biological_Process_2017","heart development (GO:0007507)",2.19832849875557e-05,0.000967961363489477,"BMP2,COL3A1,OSR1,HAND2,SHOX2,TBX5,SOX4,STRA6"
"182","GO_Biological_Process_2017","cellular protein metabolic process (GO:0044267)",2.23289818567353e-05,0.000967961363489477,"C3,BMP4,BPIFB2,VCAN,EVA1A,MMP2,STC2,IGFBP2,TNC,TGFBI,SNCAIP,LTF"
"194","GO_Biological_Process_2017","mitotic chromosome condensation (GO:0007076)",3.02550566237114e-05,0.00124910162346466,"CDCA5,NUSAP1,NCAPG,NCAPH"
"192","GO_Biological_Process_2017","kidney development (GO:0001822)",3.34771058980727e-05,0.00131930230971041,"BMP4,TFAP2A,CENPF,SIX1,SULF1,STRA6"
"177","GO_Biological_Process_2017","negative regulation of transcription, DNA-templated (GO:0045892)",4.08273418405288e-05,0.00151234718805632,"TFAP2A,MSX2,FOXM1,LOXL2,BMP4,CENPF,BMP2,SFRP2,HEY1,DEPDC1,BIRC5,ID3,CD38,SOX8,HOXA7,TP53,MDFI,EZH2"
"206","GO_Biological_Process_2017","inner ear morphogenesis (GO:0042472)",4.18642820223203e-05,0.00151234718805632,"TFAP2A,USH1C,SIX1,ATP6V1B1"
"191","GO_Biological_Process_2017","osteoblast differentiation (GO:0001649)",5.34709187151179e-05,0.00185437146104029,"BMP4,VCAN,BMP2,MSX2,LRRC17,TNC,SOX8"
"655","GO_Biological_Process_2017","midbrain dopaminergic neuron differentiation (GO:1904948)",6.20982754391133e-05,0.00199404462243375,"LMX1A,WNT9B,WNT2"
"669","GO_Biological_Process_2017","positive regulation of osteoblast proliferation (GO:0033690)",6.20982754391133e-05,0.00199404462243375,"BMP2,SOX8,LTF"
"195","GO_Biological_Process_2017","positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)",6.44047853167611e-05,0.00199424817391542,"BMP4,BMP2,MSTN,TTK,LEFTY2,GDF7"
"196","GO_Biological_Process_2017","positive regulation of bone mineralization (GO:0030501)",7.22158723012438e-05,0.00215900556155787,"BMP4,TFAP2A,FBN2,BMP2,OSR1"
"203","GO_Biological_Process_2017","positive regulation of epithelial cell proliferation (GO:0050679)",9.96082849044685e-05,0.00287867943373914,"BMP4,OSR1,MYC,NME2,EGFR"
"179","GO_Biological_Process_2017","positive regulation of cell proliferation (GO:0008284)",0.000112560592601586,0.0031480656059863,"KIF14,TTK,FOXM1,EGFR,PGF,TSHR,AR,ESM1,SFRP2,CDK4,MYC,BIRC5,FOLR2,WNT2,SOX4"
"227","GO_Biological_Process_2017","positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)",0.000170083993546155,0.00446857037589443,"BMP4,MYCN,EGFR"
"250","GO_Biological_Process_2017","kinetochore assembly (GO:0051382)",0.000170083993546155,0.00446857037589443,"CENPE,CENPF,CENPA"
"197","GO_Biological_Process_2017","retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",0.000182885590038816,0.00466358254598982,"CENPE,KIF18A,KIF4A,KIF23,KIF2C,KIF11,KIF15"
"414","GO_Biological_Process_2017","negative regulation of myoblast differentiation (GO:0045662)",0.000252332253158696,0.00591275847266458,"BMP4,MSTN,SOX8"
"466","GO_Biological_Process_2017","embryonic forelimb morphogenesis (GO:0035115)",0.000252332253158696,0.00591275847266458,"TFAP2A,OSR1,TBX5"
"535","GO_Biological_Process_2017","regulation of chromosome segregation (GO:0051983)",0.000252332253158696,0.00591275847266458,"KIF2C,MKI67,BUB1"
"200","GO_Biological_Process_2017","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",0.000306291813528438,0.00684935740394127,"CDK1,CDC25C,TP53,GTSE1,SOX4,E2F8"
"198","GO_Biological_Process_2017","G1/S transition of mitotic cell cycle (GO:0000082)",0.00030810258218421,0.00684935740394127,"CDT1,CDC45,ORC1,CDK4,MYC,MCM10,MCM2"
"229","GO_Biological_Process_2017","microtubule depolymerization (GO:0007019)",0.00035653011333301,0.00753930751852975,"KIF18A,KIF14,KIF2C"
"392","GO_Biological_Process_2017","pulmonary valve morphogenesis (GO:0003184)",0.00035653011333301,0.00753930751852975,"BMP4,HEY1,STRA6"
"202","GO_Biological_Process_2017","antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)",0.000379395863372372,0.00779209320225567,"CENPE,KIF18A,KIF4A,KIF23,KIF2C,KIF11,KIF15"
"215","GO_Biological_Process_2017","cellular response to BMP stimulus (GO:0071773)",0.000395446483159457,0.00779209320225567,"TMEM100,BMP4,BMP2,ADAMTS12"
"223","GO_Biological_Process_2017","DNA replication initiation (GO:0006270)",0.000395446483159457,0.00779209320225567,"CDC45,ORC1,MCM10,MCM2"
"204","GO_Biological_Process_2017","angiogenesis (GO:0001525)",0.000463316014694218,0.00875793476504673,"ESM1,CALCRL,HEY1,SERPINE1,TGFBI,HOXA7,PGF"
"213","GO_Biological_Process_2017","cell fate commitment (GO:0045165)",0.000465320956499607,0.00875793476504673,"BMP2,WNT9B,SOX8,WNT2"
"472","GO_Biological_Process_2017","positive regulation of cartilage development (GO:0061036)",0.000484868360694629,0.00875793476504673,"BMP4,BMP2,SOX6"
"489","GO_Biological_Process_2017","positive regulation of chondrocyte differentiation (GO:0032332)",0.000484868360694629,0.00875793476504673,"SOX6,HOXA11,LOXL2"
"199","GO_Biological_Process_2017","central nervous system development (GO:0007417)",0.000527042163432056,0.00932541950399168,"BCAN,ACAN,VCAN,DCX,NMUR2,NES,HAPLN1"
"210","GO_Biological_Process_2017","SMAD protein signal transduction (GO:0060395)",0.000572619526604767,0.00992922259132666,"BMP4,BMP2,MSTN,LEFTY2,GDF7"
"207","GO_Biological_Process_2017","cell-matrix adhesion (GO:0007160)",0.000638629740512905,0.0106612153314703,"COL3A1,VCAM1,SIGLEC1,HOXD3,ADAMTS12,CD44"
"485","GO_Biological_Process_2017","dermatan sulfate biosynthetic process (GO:0030208)",0.000639426986431899,0.0106612153314703,"BCAN,VCAN,UST"
"187","GO_Biological_Process_2017","negative regulation of transcription from RNA polymerase II promoter (GO:0000122)",0.000730698759195916,0.0119531287589219,"TFAP2A,MSX2,OSR1,EN1,FOXM1,BMP4,AR,BMP2,HEY1,MYC,HOXA7,HOXD9,TP53,RCOR2,MDFI,EZH2,E2F8"
"329","GO_Biological_Process_2017","mitotic spindle assembly checkpoint (GO:0007094)",0.0008221785653533,0.0131462455137751,"CENPF,BUB1B,TTK"
"224","GO_Biological_Process_2017","cell development (GO:0048468)",0.000833960211369814,0.0131462455137751,"BMP2,MSTN,LEFTY2,GDF7"
"193","GO_Biological_Process_2017","cell-cell signaling (GO:0007267)",0.00100332505274442,0.0155336217987395,"TNFSF18,AR,BMP2,SFRP2,VIPR2,WNT9B,NMUR2,TRH,TBX5,WNT2,PGF,TSHR"
"300","GO_Biological_Process_2017","ureteric bud development (GO:0001657)",0.0010349915517078,0.0157079777641386,"BMP4,OSR1,SIX1"
"212","GO_Biological_Process_2017","negative regulation of cell migration (GO:0030336)",0.00105082204189162,0.0157079777641386,"SFRP2,SERPINE1,DPEP1,TBX5,SULF1,FAM60A"
"222","GO_Biological_Process_2017","positive regulation of Wnt signaling pathway (GO:0030177)",0.00107946039428775,0.0158625790143641,"BMP2,DEPDC1B,SULF1,SOX4"
"241","GO_Biological_Process_2017","positive regulation of p38MAPK cascade (GO:1900745)",0.00127963349259417,0.0184907039679858,"BMP2,HAND2,GADD45G"
"221","GO_Biological_Process_2017","positive regulation of osteoblast differentiation (GO:0045669)",0.00153661240386972,0.0218400484287712,"BMP4,FBN2,BMP2,LTF"
"219","GO_Biological_Process_2017","mitotic spindle assembly (GO:0090307)",0.00171490370318188,0.0239809921073982,"TPX2,BIRC5,MYBL2,KIF11"
"295","GO_Biological_Process_2017","mitotic sister chromatid segregation (GO:0000070)",0.00187098861375674,0.0257483671131284,"ESPL1,NUSAP1,NDC80"
"813","GO_Biological_Process_2017","amacrine cell differentiation (GO:0035881)",0.0021196219717989,0.0258832711204175,"NEUROD4,FOXN4"
"844","GO_Biological_Process_2017","positive regulation of mitotic metaphase/anaphase transition (GO:0045842)",0.0021196219717989,0.0258832711204175,"ESPL1,DLGAP5"
"848","GO_Biological_Process_2017","membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)",0.0021196219717989,0.0258832711204175,"KCNJ5,KCNN2"
"857","GO_Biological_Process_2017","telencephalon development (GO:0021537)",0.0021196219717989,0.0258832711204175,"BMP4,BMP2"
"937","GO_Biological_Process_2017","negative regulation of cardiac muscle cell differentiation (GO:2000726)",0.0021196219717989,0.0258832711204175,"BMP2,SOX6"
"947","GO_Biological_Process_2017","middle ear morphogenesis (GO:0042474)",0.0021196219717989,0.0258832711204175,"GSC,OSR1"
"951","GO_Biological_Process_2017","noradrenergic neuron differentiation (GO:0003357)",0.0021196219717989,0.0258832711204175,"HAND2,SOX4"
"1012","GO_Biological_Process_2017","regulation of mitotic centrosome separation (GO:0046602)",0.0021196219717989,0.0258832711204175,"NEK2,KIF11"
"201","GO_Biological_Process_2017","positive regulation of apoptotic process (GO:0043065)",0.00241207371511121,0.0290453876527975,"TOP2A,BMP4,BMP2,SFRP2,MELK,TNFRSF8,BMF,TP53,SOX4,GADD45G"
"327","GO_Biological_Process_2017","spindle organization (GO:0007051)",0.00260848329475995,0.0309802057062586,"ASPM,TTK,KIF11"
"225","GO_Biological_Process_2017","cellular response to retinoic acid (GO:0071300)",0.00282502365680014,0.0330985879789962,"RET,PTK7,WNT9B,WNT2"
"302","GO_Biological_Process_2017","cartilage development (GO:0051216)",0.00303546647769128,0.0345525161039022,"HOXD3,SULF1,CD44"
"325","GO_Biological_Process_2017","chondroitin sulfate biosynthetic process (GO:0030206)",0.00303546647769128,0.0345525161039022,"CHST9,BCAN,VCAN"
"710","GO_Biological_Process_2017","negative regulation of stress-activated MAPK cascade (GO:0032873)",0.00314838382030943,0.0345525161039022,"MYC,FOXM1"
"716","GO_Biological_Process_2017","regulation of G2/M transition of mitotic cell cycle (GO:0010389)",0.00314838382030943,0.0345525161039022,"CENPF,KIF14"
"870","GO_Biological_Process_2017","regulation of microtubule polymerization or depolymerization (GO:0031110)",0.00314838382030943,0.0345525161039022,"SKA3,SKA1"
"313","GO_Biological_Process_2017","protein localization to nucleus (GO:0034504)",0.00350293494148354,0.0374943777069905,"BMP4,COL1A1,SIX1"
"335","GO_Biological_Process_2017","regulation of mitotic nuclear division (GO:0007088)",0.00350293494148354,0.0374943777069905,"NEK2,MKI67,CDC25C"
"216","GO_Biological_Process_2017","sensory perception of sound (GO:0007605)",0.00356332119507597,0.0376756033674496,"COL1A1,TFAP2A,USH1C,BIRC5,ATP6V1B1"
"228","GO_Biological_Process_2017","cytokinesis (GO:0000910)",0.00368497417569442,0.0384924410882779,"ESPL1,KIF23,KIF20A,BRCA2"
"304","GO_Biological_Process_2017","sprouting angiogenesis (GO:0002040)",0.00401203335796892,0.0406906894323143,"ESM1,LOXL2,E2F8"
"323","GO_Biological_Process_2017","regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)",0.00401203335796892,0.0406906894323143,"CDT1,CDC45,ORC1"
"626","GO_Biological_Process_2017","positive regulation of ossification (GO:0045778)",0.00436474523322403,0.0406906894323143,"BMP4,BMP2"
"635","GO_Biological_Process_2017","metanephric mesenchyme development (GO:0072075)",0.00436474523322403,0.0406906894323143,"OSR1,SIX1"
"643","GO_Biological_Process_2017","positive regulation of protein localization to plasma membrane (GO:1903078)",0.00436474523322403,0.0406906894323143,"TREM2,EGFR"
"651","GO_Biological_Process_2017","developmental growth (GO:0048589)",0.00436474523322403,0.0406906894323143,"HOXA11,STRA6"
"674","GO_Biological_Process_2017","chromosome organization (GO:0051276)",0.00436474523322403,0.0406906894323143,"MYC,CDCA8"
"757","GO_Biological_Process_2017","regulation of receptor activity (GO:0010469)",0.00436474523322403,0.0406906894323143,"PLAU,SERPINE1"
"806","GO_Biological_Process_2017","thyroid gland development (GO:0030878)",0.00436474523322403,0.0406906894323143,"SIX1,HOXD3"
"810","GO_Biological_Process_2017","embryonic eye morphogenesis (GO:0048048)",0.00436474523322403,0.0406906894323143,"FBN2,MFAP2"
"324","GO_Biological_Process_2017","chondrocyte differentiation (GO:0002062)",0.0045638284603833,0.042094034842046,"BMP4,BMP2,OSR1"
"230","GO_Biological_Process_2017","Notch signaling pathway (GO:0007219)",0.00470704424425365,0.0427120357073569,"BMP2,HEY1,MYC,HOXD3"
"209","GO_Biological_Process_2017","positive regulation of gene expression (GO:0010628)",0.00472936035513986,0.0427120357073569,"TFAP2A,AR,BMP2,MYCN,MYC,OSR1,HAND2,HOXD3,TP53"
"220","GO_Biological_Process_2017","BMP signaling pathway (GO:0030509)",0.00481182136392479,0.0430087538404412,"BMP4,TMEM100,BMP2,LEFTY2,GDF7"
"217","GO_Biological_Process_2017","DNA replication (GO:0006260)",0.00495374712950698,0.0438254975641077,"CDC45,ORC1,CDK1,MCM10,CDC25C,MCM2"
"330","GO_Biological_Process_2017","collagen fibril organization (GO:0030199)",0.00515931159950402,0.0451830621895958,"COL1A1,COL3A1,LOXL2"
"214","GO_Biological_Process_2017","positive regulation of cell migration (GO:0030335)",0.00569093349368028,0.0471367095803521,"COL1A1,RET,BMP2,MMP14,PLAU,GTSE1,EGFR"
"602","GO_Biological_Process_2017","eyelid development in camera-type eye (GO:0061029)",0.00576296564650211,0.0471367095803521,"TFAP2A,STRA6"
"619","GO_Biological_Process_2017","DNA replication checkpoint (GO:0000076)",0.00576296564650211,0.0471367095803521,"CDT1,CDC45"
"624","GO_Biological_Process_2017","phospholipid homeostasis (GO:0055091)",0.00576296564650211,0.0471367095803521,"CETP,LIPG"
"660","GO_Biological_Process_2017","ventricular septum development (GO:0003281)",0.00576296564650211,0.0471367095803521,"TBX5,STRA6"
"785","GO_Biological_Process_2017","protein localization to kinetochore (GO:0034501)",0.00576296564650211,0.0471367095803521,"CDK1,BUB1B"
"793","GO_Biological_Process_2017","epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)",0.00576296564650211,0.0471367095803521,"BMP4,HEY1"
"236","GO_Biological_Process_2017","canonical Wnt signaling pathway (GO:0060070)",0.00634420356532257,0.0514058363657446,"PTK7,MYC,WNT2,SOX4"
