"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.003,0.369
"Antifungal Agents","Antifungal Agents",0.005,0.61
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.011,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.019,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.038,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.045,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.055,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.056,1
"Amebicides","Amebicides",0.071,1
"Emetics","Emetics",0.071,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.079,1
"Estrogens","Estrogens",0.079,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.109,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.11,1
"Immunologic Factors","Immunologic Factors",0.11,1
"Protease Inhibitors","Protease Inhibitors",0.11,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.113,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.139,1
"Anti-Infective Agents","Anti-Infective Agents",0.151,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.161,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.202,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.209,1
"Sympathomimetics","Sympathomimetics",0.209,1
"Tocolytic Agents","Tocolytic Agents",0.209,1
"Neuroprotective Agents","Neuroprotective Agents",0.211,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.227,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.235,1
"Estrogen Antagonists","Estrogen Antagonists",0.243,1
"Antitussive Agents","Antitussive Agents",0.247,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.262,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.289,1
"Cathartics","Cathartics",0.297,1
"Anticonvulsants","Anticonvulsants",0.302,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.308,1
"Antineoplastic Agents","Antineoplastic Agents",0.331,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.348,1
"Keratolytic Agents","Keratolytic Agents",0.36,1
"Anti-HIV Agents","Anti-HIV Agents",0.365,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.381,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.389,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.414,1
"Sympatholytics","Sympatholytics",0.414,1
"Antidepressive Agents","Antidepressive Agents",0.417,1
"Antitubercular Agents","Antitubercular Agents",0.427,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.432,1
"Nasal Decongestants","Nasal Decongestants",0.432,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.432,1
"Antimalarials","Antimalarials",0.436,1
"Alkylating Agents","Alkylating Agents",0.439,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.439,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.443,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.446,1
"Myeloablative Agonists","Myeloablative Agonists",0.455,1
"Glucocorticoids","Glucocorticoids",0.456,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.469,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.473,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.473,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.477,1
"Serotonin Antagonists","Serotonin Antagonists",0.486,1
"Coccidiostats","Coccidiostats",0.49,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.506,1
"Uricosuric Agents","Uricosuric Agents",0.506,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.515,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.516,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.516,1
"Bronchodilator Agents","Bronchodilator Agents",0.52,1
"Indicators and Reagents","Indicators and Reagents",0.52,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.533,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.54,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.55,1
"Progestins","Progestins",0.564,1
