"","database","category","pval","qval","genes"
"145","GO_Biological_Process_2017","sister chromatid cohesion (GO:0007062)",1.05825929520476e-12,8.89996067267204e-10,"CDCA5,PLK1,BUB1B,CDCA8,NDC80,REC8,CDC20,CENPE,CENPF,CENPH,NUF2,BIRC5,CENPM,KIF2C,MAD2L1,SPC25"
"146","GO_Biological_Process_2017","mitotic cell cycle (GO:0000278)",2.34781889853043e-12,9.87257846832044e-10,"CDT1,CDCA5,PLK1,BUB1B,CDC6,KIF11,PKMYT1,NDC80,KIF15,AURKA,CENPE,TPX2,CENPF,KIF2C,NEK2"
"147","GO_Biological_Process_2017","extracellular matrix organization (GO:0030198)",4.20716797553479e-11,1.17940942247492e-08,"FBN2,LUM,ELN,TNC,LAMB1,NID1,HSPG2,NID2,HAPLN1,COL1A1,BCAN,ACAN,COL1A2,COL5A1,COL4A2,PXDN,COL6A3"
"148","GO_Biological_Process_2017","G2/M transition of mitotic cell cycle (GO:0000086)",6.46471033597187e-11,1.35920534813809e-08,"PLK4,PLK1,HMMR,PKMYT1,FOXM1,CDC25A,AURKA,CCNA2,TPX2,CCNB2,CCNB1,WEE1,HAUS8,NEK2,PHLDA1,NES"
"149","GO_Biological_Process_2017","regulation of cell cycle (GO:0051726)",8.72136245791334e-11,1.46693316542102e-08,"CCNB2,CENPF,WEE1,CCNB1,PLK1,MYBL2,PKMYT1,FOXM1,PRR11,DTL,CDC25A,GADD45G"
"150","GO_Biological_Process_2017","collagen catabolic process (GO:0030574)",5.48772751423058e-10,7.69196473244653e-08,"COL1A1,MRC2,MMP14,COL1A2,COL5A1,COL4A2,MMP15,MMP2,CTSK,COL6A3,MMP9"
"151","GO_Biological_Process_2017","extracellular matrix disassembly (GO:0022617)",1.27280194757276e-09,1.52918062558384e-07,"FBN2,BCAN,ACAN,ADAMTS5,MMP14,MMP15,MMP2,ELN,CTSK,NID1,MMP9,HSPG2"
"154","GO_Biological_Process_2017","chromosome segregation (GO:0007059)",1.84022830575615e-09,1.93454000642615e-07,"TOP2A,CDT1,CENPE,CENPF,NUF2,HJURP,NEK2,KIF11,NDC80,SPC25"
"153","GO_Biological_Process_2017","G1/S transition of mitotic cell cycle (GO:0000082)",6.28946155706099e-09,5.32925703257748e-07,"CDT1,WEE1,CDKN2C,DBF4,CDK4,MYC,MCM4,MCM5,CDC6,CDC25A,MCM2,CDKN3"
"152","GO_Biological_Process_2017","DNA replication (GO:0006260)",6.33680978903387e-09,5.32925703257748e-07,"RNASEH2A,CDC6,CDC25A,TICRR,RECQL4,BRIP1,DBF4,CHEK1,TIMELESS,MCM4,MCM5,CLSPN,MCM2"
"156","GO_Biological_Process_2017","microtubule-based movement (GO:0007018)",2.51664696560457e-08,1.92409099824859e-06,"CENPE,RACGAP1,KIF26A,KIF4A,KIF14,KIF23,KIF2C,KIF11,KIF20B,KIF15"
"164","GO_Biological_Process_2017","metaphase plate congression (GO:0051310)",3.04896282483786e-07,2.13681477974054e-05,"CENPE,CENPF,KIF2C,FAM83D,NDC80"
"155","GO_Biological_Process_2017","skeletal system development (GO:0001501)",3.95273204074147e-07,2.5571135740489e-05,"COL1A1,BCAN,ACAN,POSTN,BMP2,COL1A2,IGF2,ALX4,SOX4,HAPLN1,DLL3"
"158","GO_Biological_Process_2017","endodermal cell differentiation (GO:0035987)",1.8639202976186e-06,0.000111968355021232,"MMP14,COL4A2,MMP15,MMP2,LAMB1,MMP9"
"160","GO_Biological_Process_2017","mitotic cytokinesis (GO:0000281)",4.57205787329144e-06,0.00025634004476254,"RACGAP1,KIF4A,PLK1,CKAP2,NUSAP1,KIF23"
"159","GO_Biological_Process_2017","mitotic spindle organization (GO:0007052)",5.59877151959565e-06,0.000283886606829911,"CCNB1,KIF11,WDR62,NDC80,SPC25,AURKA"
"194","GO_Biological_Process_2017","attachment of mitotic spindle microtubules to kinetochore (GO:0051315)",5.73849264697798e-06,0.000283886606829911,"CENPE,CDT1,KIF2C,NDC80"
"166","GO_Biological_Process_2017","regulation of mitotic nuclear division (GO:0007088)",1.18814967467785e-05,0.000555129931335595,"NEK2,FBXO5,PKMYT1,MKI67,KIF20B"
"165","GO_Biological_Process_2017","double-strand break repair (GO:0006302)",1.47753979697375e-05,0.000654005773292066,"BRIP1,EME1,CDCA5,MND1,TRIP13,BRCA2,REC8"
"167","GO_Biological_Process_2017","mitotic metaphase plate congression (GO:0007080)",1.92316937180085e-05,0.000808692720842257,"CENPE,CCNB1,CDCA5,KIF14,CDCA8,KIF2C"
"173","GO_Biological_Process_2017","collagen fibril organization (GO:0030199)",2.39241785904405e-05,0.000958106390217165,"COL1A1,COL1A2,COL5A1,LUM,LOXL2"
"168","GO_Biological_Process_2017","retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",2.53044292782477e-05,0.000967319319227559,"CENPE,RACGAP1,KIF26A,KIF4A,KIF23,KIF2C,KIF11,KIF15"
"177","GO_Biological_Process_2017","mitotic chromosome condensation (GO:0007076)",3.10627923328857e-05,0.00112244224053221,"CDCA5,NUSAP1,NCAPG,NCAPH"
"810","GO_Biological_Process_2017","regulation of mitotic centrosome separation (GO:0046602)",3.20316453897419e-05,0.00112244224053221,"CHEK1,NEK2,KIF11"
