"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"238","torin-1","Preclinical","mTOR inhibitor","MTOR",-1.32856737105203,1,-1.32856737105203,NA,-1.32856737105203
"118","kenpaullone","Preclinical","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B",-1.2450295387412,1,-1.2450295387412,NA,-1.2450295387412
"184","podophyllotoxin","Launched","microtubule inhibitor|tubulin polymerization inhibitor","IGF1R|TOP2A|TUBA4A|TUBB",-1.19509770506703,1,-1.19509770506703,NA,-1.19509770506703
"258","vemurafenib","Launched","RAF inhibitor","BRAF|RAF1",-1.19189388775278,1,-1.19189388775278,NA,-1.19189388775278
"264","WYE-125132","Preclinical","mTOR inhibitor","MTOR",-1.14080322653942,1,-1.14080322653942,NA,-1.14080322653942
"168","parbendazole","Preclinical","tubulin polymerization inhibitor","TUBB",-1.0366791638264,1,-1.0366791638264,NA,-1.0366791638264
"18","AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9",-1.03068052715292,1,-1.03068052715292,NA,-1.03068052715292
"81","entinostat","Phase 3","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9",-0.968302658486708,1,-0.968302658486708,NA,-0.968302658486708
"77","doxycycline","Launched","metalloproteinase inhibitor","MMP8",-0.923585548738923,1,-0.923585548738923,NA,-0.923585548738923
"22","AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1",-0.921915473755964,1,-0.921915473755964,NA,-0.921915473755964
"13","amsacrine","Launched","topoisomerase inhibitor","KCNH2|TOP2A",-0.918609406952965,1,-0.918609406952965,NA,-0.918609406952965
"164","OSI-027","Phase 1","mTOR inhibitor","MTOR",-0.916090093160646,2,-0.916090093160646,0.618758600930935,-0.916090093160646
"29","bisacodyl","Launched","laxative","",-0.89052488070893,1,-0.89052488070893,NA,-0.89052488070893
"190","promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C",-0.883162917518746,1,-0.883162917518746,NA,-0.883162917518746
"160","NVP-TAE684","Preclinical","ALK tyrosine kinase receptor inhibitor","ALK|INSR",-0.875460122699387,2,-0.875460122699387,0.0114718073566734,-0.875460122699387
"171","PD-0325901","Phase 2","MEK inhibitor","MAP2K1",-0.855691888207226,1,-0.855691888207226,NA,-0.855691888207226
"84","epothilone-a","Preclinical","microtubule stabilizing agent","",-0.855623721881391,1,-0.855623721881391,NA,-0.855623721881391
"127","loratadine","Launched","histamine receptor antagonist","HRH1",-0.850170415814588,1,-0.850170415814588,NA,-0.850170415814588
"74","donepezil","Launched","acetylcholinesterase inhibitor","ACHE|HTR2A",-0.837286980231766,1,-0.837286980231766,NA,-0.837286980231766
"95","ezetimibe","Launched","cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist","ANPEP|NPC1L1|SOAT1",-0.830879345603272,1,-0.830879345603272,NA,-0.830879345603272
"134","metitepine","Preclinical","anti-HCVE2","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7",-0.818609406952965,1,-0.818609406952965,NA,-0.818609406952965
"113","IKK-2-inhibitor-V","Phase 1","IKK inhibitor|NFkB pathway inhibitor","IKBKB",-0.789911383776414,1,-0.789911383776414,NA,-0.789911383776414
"211","SDM25N","Preclinical","opioid receptor antagonist","OPRD1",-0.781356509884117,1,-0.781356509884117,NA,-0.781356509884117
"125","lasalocid","Launched","bacterial permeability inducer","",-0.770381731424676,1,-0.770381731424676,NA,-0.770381731424676
"205","ryuvidine","Preclinical","histone lysine methyltransferase inhibitor","CDK2|CDK4",-0.769870483980913,1,-0.769870483980913,NA,-0.769870483980913
"193","puromycin","Preclinical","protein synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1",-0.76278118609407,1,-0.76278118609407,NA,-0.76278118609407
"159","NVP-AUY922","Phase 2","HSP inhibitor","HSP90AA1|HSP90AB1",-0.762511361054306,2,-0.762511361054306,0.408265396197352,-0.762511361054306
"191","PSB-06126","Preclinical","NTPDase inhibitor","ENTPD3",-0.760224948875255,1,-0.760224948875255,NA,-0.760224948875255
