"","database","category","pval","qval","genes"
"144","GO_Biological_Process_2017","chemical synaptic transmission (GO:0007268)",4.27276382003457e-05,0.0232865628191884,"UNC13C,CPNE6,KIF5A,KCNC4,KCNQ3,CRH,KCNN1,HTR2C,MYCBPAP,LPAR3,GRIK1"
"145","GO_Biological_Process_2017","calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)",0.000138485829393493,0.0320412588453863,"RIMS2,RIMS1,SYTL1,SYTL5,SYTL2"
"146","GO_Biological_Process_2017","muscle contraction (GO:0006936)",0.000230742195500526,0.0320412588453863,"CKMT2,ACTA1,TRIM72,DES,MYH11,TRDN,SNTA1"
"148","GO_Biological_Process_2017","negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315)",0.000235165202534945,0.0320412588453863,"FKBP1B,CASQ2,TRDN"
"147","GO_Biological_Process_2017","cilium movement (GO:0003341)",0.000576559868799176,0.0541724894596455,"MAATS1,CCDC114,DNAI1,WDR66"
"151","GO_Biological_Process_2017","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)",0.000596394379372244,0.0541724894596455,"FKBP1B,CASQ2,TRDN"
"149","GO_Biological_Process_2017","positive regulation of dendrite extension (GO:1903861)",0.00145445758150279,0.0735206415531204,"RIMS2,RIMS1,CPNE6"
"150","GO_Biological_Process_2017","regulation of membrane potential (GO:0042391)",0.00161095150675169,0.0735206415531204,"RIMS2,KCNH3,RIMS1,SLC26A8,CNGB1"
"152","GO_Biological_Process_2017","calcium-mediated signaling using intracellular calcium source (GO:0035584)",0.00174735348866798,0.0735206415531204,"GPR143,DMTN,FKBP1B"
"157","GO_Biological_Process_2017","positive regulation of excitatory postsynaptic potential (GO:2000463)",0.00174735348866798,0.0735206415531204,"RIMS2,RIMS1,SHANK1"
"154","GO_Biological_Process_2017","microtubule-based movement (GO:0007018)",0.00201045720601767,0.0735206415531204,"KIFC2,KIF5C,KIF5A,KIF1C,KIF12"
"308","GO_Biological_Process_2017","behavioral fear response (GO:0001662)",0.00202181436917983,0.0735206415531204,"HTR2C,MAPK8IP2"
"348","GO_Biological_Process_2017","cellular ion homeostasis (GO:0006873)",0.00202181436917983,0.0735206415531204,"P2RY2,RHCG"
"418","GO_Biological_Process_2017","regulation of cell communication by electrical coupling (GO:0010649)",0.00202181436917983,0.0735206415531204,"CASQ2,TRDN"
"159","GO_Biological_Process_2017","cytoskeleton-dependent intracellular transport (GO:0030705)",0.00207455127872909,0.0735206415531204,"KIF5C,KIF5A,KIF1C"
"156","GO_Biological_Process_2017","potassium ion transport (GO:0006813)",0.00215840415568794,0.0735206415531204,"KCNH3,KCNC4,KCNQ3,KCNN1,KCNK4"
"155","GO_Biological_Process_2017","positive regulation of insulin secretion (GO:0032024)",0.00283709062124321,0.0909537875633854,"RBP4,NNAT,MYRIP"
"277","GO_Biological_Process_2017","glycerophospholipid biosynthetic process (GO:0046474)",0.00416528469046816,0.126115564239175,"CPNE7,CPNE6"
"169","GO_Biological_Process_2017","regulation of calcium-mediated signaling (GO:0050848)",0.00550088931436975,0.142761175063405,"GPR143,RGN"
"170","GO_Biological_Process_2017","calcium ion regulated exocytosis (GO:0017156)",0.00550088931436975,0.142761175063405,"RIMS2,RIMS1"
"171","GO_Biological_Process_2017","serotonin receptor signaling pathway (GO:0007210)",0.00550088931436975,0.142761175063405,"HTR2C,HTR3A"
"162","GO_Biological_Process_2017","regulation of synaptic vesicle exocytosis (GO:2000300)",0.00700538191794788,0.165997093273113,"RIMS2,RIMS1"
"168","GO_Biological_Process_2017","zymogen activation (GO:0031638)",0.00700538191794788,0.165997093273113,"PRSS3,KLKB1"
"160","GO_Biological_Process_2017","cilium-dependent cell motility (GO:0060285)",0.00867363700940075,0.17507896926383,"DNAH2,DRC1"
"166","GO_Biological_Process_2017","heart contraction (GO:0060047)",0.00867363700940075,0.17507896926383,"MYL2,TRDN"
"167","GO_Biological_Process_2017","creatine metabolic process (GO:0006600)",0.00867363700940075,0.17507896926383,"CKMT2,CKM"
"221","GO_Biological_Process_2017","negative regulation of phosphoprotein phosphatase activity (GO:0032515)",0.00867363700940075,0.17507896926383,"FKBP1B,PPP1R1B"
