"","id","cmap_score","p","padj","sig_id","cell_id","pert_desc","pert_id","pert_type","pert_dose","pert_time","pert_time_unit","brew_prefix","is_gold","pert_mfc_id","pert_iname","pool_id","zmad_ref"
"141","32248",-1.11656441717791,0,0,"CPC006_SKLU1_6H:BRD-K28907958-001-02-7:11.1","SKLU1","-666","BRD-K28907958","trt_cp",11.1,"6","h","CPC006_SKLU1_6H","1","NULL","CD-437","epsilon","population"
"162","326013",-0.983268265476854,0,0,"LJP001_MCF10A_24H:BRD-K94294671-003-02-1:0.4","MCF10A","OSI-027","BRD-K94294671","trt_cp",0.4,"24","h","LJP001_MCF10A_24H","1","NULL","OSI-027","epsilon","population"
"95","21732",-0.974623535973229,0,0,"CPC006_HA1E_24H:BRD-A19037878:10","HA1E","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC006_HA1E_24H","1","NULL","trichostatin-a","epsilon","population"
"388","96423",-0.966164714630972,0,0,"CPC018_HT29_6H:BRD-K03015355-003-01-5:10","HT29","-666","BRD-K03015355","trt_cp",10,"6","h","CPC018_HT29_6H","1","NULL","forskolin","epsilon","population"
"277","56955",-0.938315672058003,0,0,"CPC013_A549_24H:BRD-K47832606-001-13-7:10","A549","S1299","BRD-K47832606","trt_cp",10,"24","h","CPC013_A549_24H","1","NULL","floxuridine","epsilon","population"
"282","59185",-0.93329615170106,0,0,"CPC012_HA1E_6H:BRD-A59985574-003-01-9:10","HA1E","T542500","BRD-A59985574","trt_cp",10,"6","h","CPC012_HA1E_6H","1","NULL","topotecan","epsilon","population"
"39","13906",-0.926268823201339,0,0,"CPC004_PC3_24H:BRD-A35588707-001-03-0:10","PC3","TENIPOSIDE","BRD-A35588707","trt_cp",10,"24","h","CPC004_PC3_24H","1","NULL","teniposide","epsilon","population"
"206","35683",-0.896672243911508,0,0,"CPC007_A375_6H:BRD-K03067624-003-19-3:10","A375","EMETINE HYDROCHLORIDE","BRD-K03067624","trt_cp",10,"6","h","CPC007_A375_6H","1","NULL","emetine","epsilon","population"
"77","18016",-0.888287785833798,0,0,"CPC006_A549_6H:BRD-A12230535-001-02-6:44.4","A549","Nutlin-3","BRD-A12230535","trt_cp",44.4,"6","h","CPC006_A549_6H","1","NULL","nutlin-3","epsilon","population"
"223","434321",-0.872281093139989,0.002,0.0564285714285714,"HOG001_A549_24H:BRD-A45889380-300-04-8:10","A549","quinacrine","BRD-A45889380","trt_cp",10,"24","h","HOG001_A549_24H","1","NULL","mepacrine","epsilon","population"
"201","340084",-0.864603086075479,0.002,0.0564285714285714,"MUC.CP002_NKDBA_24H:BRD-K60230970-001-10-0:1.1111","NKDBA","SA2688462","BRD-K60230970","trt_cp",1.1111,"24","h","MUC.CP002_NKDBA_24H","1","NULL","MG-132","epsilon","population"
"92","20916",-0.853597322922476,0.002,0.0564285714285714,"CPC006_EFO27_6H:BRD-A19633847-050-20-6:10","EFO27","PERHEXILINE MALEATE","BRD-A19633847","trt_cp",10,"6","h","CPC006_EFO27_6H","1","NULL","perhexiline","epsilon","population"
"32","11866",-0.849228481130322,0.002,0.0564285714285714,"CPC004_PC3_6H:BRD-A48237631-001-03-0:10","PC3","MITOMYCIN C","BRD-A48237631","trt_cp",10,"6","h","CPC004_PC3_6H","1","NULL","mitomycin-c","epsilon","population"
"57","166122",-0.845789180145008,0.002,0.0564285714285714,"ERG011_VCAP_6H:BRD-K82261406-001-03-8:2","VCAP","EWS-FLI-Inhibitor","BRD-K82261406","trt_cp",2,"6","h","ERG011_VCAP_6H","1","NULL","anisomycin","epsilon","population"
