"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"150","neratinib","Phase 3","EGFR inhibitor","EGFR|ERBB2|KDR",-1.25782053665489,1,-1.25782053665489,NA,-1.25782053665489
"43","CD-437","Preclinical","retinoid receptor agonist","RARG",-1.11656441717791,1,-1.11656441717791,NA,-1.11656441717791
"18","AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9",-1.0738272293487,1,-1.0738272293487,NA,-1.0738272293487
"264","WYE-125132","Preclinical","mTOR inhibitor","MTOR",-1.05984693561381,1,-1.05984693561381,NA,-1.05984693561381
"101","floxuridine","Launched","DNA synthesis inhibitor","TYMS",-0.938315672058003,1,-0.938315672058003,NA,-0.938315672058003
"258","vemurafenib","Launched","RAF inhibitor","BRAF|RAF1",-0.937073185846192,1,-0.937073185846192,NA,-0.937073185846192
"164","OSI-027","Phase 1","mTOR inhibitor","MTOR",-0.919540496994484,2,-0.919540496994484,0.68862612896089,-0.919540496994484
"172","perhexiline","Launched","carnitine palmitoyltransferase inhibitor","CPT1A|CPT2",-0.853597322922476,1,-0.853597322922476,NA,-0.853597322922476
"118","kenpaullone","Preclinical","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B",-0.833633884860879,1,-0.833633884860879,NA,-0.833633884860879
"75","doramapimod","Phase 2","p38 MAPK inhibitor","MAPK11|MAPK12|MAPK13|MAPK14",-0.793663630166698,1,-0.793663630166698,NA,-0.793663630166698
"173","PF-04217903","Phase 1","c-Met inhibitor","MET",-0.789833922042511,1,-0.789833922042511,NA,-0.789833922042511
"39","camptothecin","Phase 3","topoisomerase inhibitor","TOP1",-0.788287785833798,1,-0.788287785833798,NA,-0.788287785833798
"168","parbendazole","Preclinical","tubulin polymerization inhibitor","TUBB",-0.778846749705645,1,-0.778846749705645,NA,-0.778846749705645
"272","ZM-336372","Preclinical","RAF inhibitor","BRAF|LCK|MAPK14|RAF1",-0.769427402862985,2,-0.769427402862985,0.097738221195798,-0.769427402862985
"158","nutlin-3","Preclinical","MDM inhibitor","MDM2|TP53",-0.769204313069344,2,-0.769204313069344,0.168409462237979,-0.769204313069344
"109","GSK-3-inhibitor-IX","Preclinical","glycogen synthase kinase inhibitor|lipoxygenase inhibitor","GSK3A|GSK3B",-0.760085517754229,1,-0.760085517754229,NA,-0.760085517754229
"125","lasalocid","Launched","bacterial permeability inducer","",-0.749953522959658,1,-0.749953522959658,NA,-0.749953522959658
"237","topotecan","Launched","topoisomerase inhibitor","TOP1|TOP1MT",-0.743849538328066,3,-0.691931585796616,0.169557697652485,-0.743849538328066
"66","daunorubicin","Launched","RNA synthesis inhibitor|topoisomerase inhibitor","TOP2A|TOP2B",-0.743353783231084,1,-0.743353783231084,NA,-0.743353783231084
"221","suloctidil","Withdrawn","adrenergic receptor antagonist","",-0.740369957241123,2,-0.740369957241123,0.11004258905582,-0.740369957241123
"58","crizotinib","Launched","ALK tyrosine kinase receptor inhibitor","ALK|MET",-0.732571109871723,1,-0.732571109871723,NA,-0.732571109871723
"133","methylene-blue","Launched","guanylyl cyclase inhibitor|nitric oxide production inhibitor","ACHE",-0.71881390593047,1,-0.71881390593047,NA,-0.71881390593047
"126","lonidamine","Launched","glucokinase inhibitor","GCK",-0.712864844766685,1,-0.712864844766685,NA,-0.712864844766685
"116","irinotecan","Launched","topoisomerase inhibitor","TOP1|TOP1MT",-0.711191671314371,1,-0.711191671314371,NA,-0.711191671314371
"175","PHA-793887","Phase 1","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK7|CDK9",-0.708663320319762,1,-0.708663320319762,NA,-0.708663320319762
"6","alvocidib","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM",-0.707938278490426,1,-0.707938278490426,NA,-0.707938278490426
"135","MG-132","Preclinical","proteasome inhibitor","PSMB1",-0.704547003780132,2,-0.704547003780132,0.824854936795734,-0.704547003780132
"220","stavudine","Launched","DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor","",-0.703327756088492,1,-0.703327756088492,NA,-0.703327756088492
"85","erlotinib","Launched","EGFR inhibitor","EGFR|NR1I2",-0.694054037305571,1,-0.694054037305571,NA,-0.694054037305571
"22","AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1",-0.686819111358989,1,-0.686819111358989,NA,-0.686819111358989
"240","tosedostat","Phase 2","peptidase inhibitor","ANPEP|LAP3|NPEPPS",-0.678397471649006,1,-0.678397471649006,NA,-0.678397471649006
"76","doxorubicin","Launched","topoisomerase inhibitor","TOP2A",-0.675841234430192,2,-0.675841234430192,0.116431395444678,-0.675841234430192
"268","YM-155","Phase 2","survivin inhibitor","BIRC5",-0.671391832434777,1,-0.671391832434777,NA,-0.671391832434777
"127","loratadine","Launched","histamine receptor antagonist","HRH1",-0.668339840118981,1,-0.668339840118981,NA,-0.668339840118981
"273","zolantidine","Preclinical","histamine receptor antagonist","",-0.66623907789552,1,-0.66623907789552,NA,-0.66623907789552
"108","granisetron","Launched","serotonin receptor antagonist","HTR3A",-0.665644171779141,1,-0.665644171779141,NA,-0.665644171779141
"142","mitoxantrone","Launched","topoisomerase inhibitor","TOP2A",-0.664686744748094,2,-0.664686744748094,0.0882470314576183,-0.664686744748094
"205","ryuvidine","Preclinical","histone lysine methyltransferase inhibitor","CDK2|CDK4",-0.6640081799591,1,-0.6640081799591,NA,-0.6640081799591
"275","zoxazolamine","Phase 2","myorelaxant","",-0.663450455474995,1,-0.663450455474995,NA,-0.663450455474995
"95","ezetimibe","Launched","cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist","ANPEP|NPC1L1|SOAT1",-0.662223461609965,1,-0.662223461609965,NA,-0.662223461609965
"54","closantel","Launched","chitinase inhibitor|NFkB pathway inhibitor","",-0.658282208588957,1,-0.658282208588957,NA,-0.658282208588957
"166","PAC-1","Phase 1","caspase activator","CASP3",-0.657947573898494,1,-0.657947573898494,NA,-0.657947573898494
"196","pyrvinium-pamoate","Launched","androgen receptor antagonist","AR",-0.651096858152073,2,-0.651096858152073,0.0526484970933655,-0.651096858152073
"113","IKK-2-inhibitor-V","Phase 1","IKK inhibitor|NFkB pathway inhibitor","IKBKB",-0.648466257668712,1,-0.648466257668712,NA,-0.648466257668712
"29","bisacodyl","Launched","laxative","",-0.63868748838074,1,-0.63868748838074,NA,-0.63868748838074
"65","dasatinib","Launched","Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor","ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1",-0.635945343000558,2,-0.635945343000558,0.109464178600862,-0.635945343000558
"81","entinostat","Phase 3","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9",-0.63482059862428,1,-0.63482059862428,NA,-0.63482059862428
"190","promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C",-0.634169920059491,1,-0.634169920059491,NA,-0.634169920059491
"83","enzastaurin","Phase 3","PKC inhibitor","AKT1|GSK3B|PRKCA|PRKCB|PRKCD|PRKCG",-0.630670715333292,3,-0.415077151886968,0.383214374887538,-0.630670715333292
"16","antimycin-a","Preclinical","ATP synthase inhibitor","CYCS",-0.629559397657557,1,-0.629559397657557,NA,-0.629559397657557
"270","ZK-164015","Preclinical","estrogen receptor antagonist","ESR1|ESR2",-0.626733593604759,1,-0.626733593604759,NA,-0.626733593604759
"238","torin-1","Preclinical","mTOR inhibitor","MTOR",-0.614503935056082,1,-0.614503935056082,NA,-0.614503935056082
"67","dequalinium","Launched","PKC inhibitor","KCNN1|KCNN3",-0.613441160066927,1,-0.613441160066927,NA,-0.613441160066927
"34","bromperidol","Launched","dopamine receptor antagonist","DRD2",-0.609592861126603,1,-0.609592861126603,NA,-0.609592861126603
"180","pifithrin-alpha","Preclinical","TP53 inhibitor","TP53",-0.585926752184421,1,-0.585926752184421,NA,-0.585926752184421
"171","PD-0325901","Phase 2","MEK inhibitor","MAP2K1",-0.584569622606432,1,-0.584569622606432,NA,-0.584569622606432
"271","ZK-93423","Phase 3","benzodiazepine receptor agonist","GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2",-0.582896449154118,1,-0.582896449154118,NA,-0.582896449154118
"157","NSC-632839","Preclinical","ubiquitin specific protease inhibitor","SENP2|USP1|USP2|USP7",-0.578955196133111,2,-0.578955196133111,0.0892592497537955,-0.578955196133111
"102","fluvastatin","Launched","HMGCR inhibitor","HMGCR",-0.569083472764454,2,-0.569083472764454,0.0558166089034777,-0.569083472764454
"147","naltrindole","Preclinical","opioid receptor antagonist","OPRD1|OPRK1|OPRM1",-0.568414203383529,1,-0.568414203383529,NA,-0.568414203383529
"198","R-96544","Preclinical","serotonin receptor antagonist","HTR2A",-0.567150027886224,1,-0.567150027886224,NA,-0.567150027886224
"227","temsirolimus","Launched","mTOR inhibitor","MTOR",-0.558179959100204,4,-0.537032905744562,0.166183249294058,-0.558179959100204
"212","selamectin","Launched","nematocide","",-0.556367354526864,1,-0.556367354526864,NA,-0.556367354526864
"47","CGS-15943","Preclinical","adenosine receptor antagonist","ADORA1|ADORA2A|ADORA2B|ADORA3",-0.550929540806842,2,-0.550929540806842,0.0223345309766857,-0.550929540806842
"149","nelfinavir","Launched","HIV protease inhibitor","CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A7",-0.550511247443763,1,-0.550511247443763,NA,-0.550511247443763
"252","tyrphostin-AG-1478","Preclinical","EGFR inhibitor","EGFR|MAPK14",-0.547164900539134,2,-0.547164900539134,0.0602072700842979,-0.547164900539134
"103","forskolin","Launched","adenylyl cyclase activator","ADCY2|ADCY5|GNAS",-0.538055400632087,2,-0.538055400632087,0.605437998035464,-0.538055400632087
"37","BX-795","Preclinical","IKK inhibitor","CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1",-0.530488938464399,1,-0.530488938464399,NA,-0.530488938464399
"182","piromidic-acid","Phase 2","bacterial DNA gyrase inhibitor","",-0.524484104852203,1,-0.524484104852203,NA,-0.524484104852203
"145","MNITMT","Preclinical","lymphocyte inhibitor","",-0.514166201896263,1,-0.514166201896263,NA,-0.514166201896263
"250","TWS-119","Preclinical","glycogen synthase kinase inhibitor","GSK3B|JUN|MYC",-0.509760178471835,1,-0.509760178471835,NA,-0.509760178471835
"14","andarine","Phase 1","androgen receptor modulator","AR",-0.502323852017104,1,-0.502323852017104,NA,-0.502323852017104
"115","immepip","Preclinical","histamine receptor agonist","HRH3|HRH4",-0.502137943855735,1,-0.502137943855735,NA,-0.502137943855735
"72","digoxin","Launched","ATPase inhibitor","ATP1A1",-0.500725041829336,2,-0.500725041829336,0.01735231364875,-0.500725041829336
