"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"184","podophyllotoxin","Launched","microtubule inhibitor|tubulin polymerization inhibitor","IGF1R|TOP2A|TUBA4A|TUBB",-1.16028381979302,1,-1.16028381979302,NA,-1.16028381979302
"22","AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1",-1.11484476668526,1,-1.11484476668526,NA,-1.11484476668526
"238","torin-1","Preclinical","mTOR inhibitor","MTOR",-1.05389787445002,1,-1.05389787445002,NA,-1.05389787445002
"258","vemurafenib","Launched","RAF inhibitor","BRAF|RAF1",-0.983856974654521,1,-0.983856974654521,NA,-0.983856974654521
"171","PD-0325901","Phase 2","MEK inhibitor","MAP2K1",-0.973182747722625,1,-0.973182747722625,NA,-0.973182747722625
"77","doxycycline","Launched","metalloproteinase inhibitor","MMP8",-0.927867633389106,1,-0.927867633389106,NA,-0.927867633389106
"160","NVP-TAE684","Preclinical","ALK tyrosine kinase receptor inhibitor","ALK|INSR",-0.922871351552333,2,-0.922871351552333,0.0772638056594894,-0.922871351552333
"13","amsacrine","Launched","topoisomerase inhibitor","KCNH2|TOP2A",-0.909834541736382,1,-0.909834541736382,NA,-0.909834541736382
"81","entinostat","Phase 3","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9",-0.907510689719279,1,-0.907510689719279,NA,-0.907510689719279
"74","donepezil","Launched","acetylcholinesterase inhibitor","ACHE|HTR2A",-0.900260271425916,1,-0.900260271425916,NA,-0.900260271425916
"82","enzalutamide","Launched","androgen receptor antagonist","AR",-0.899408192352978,1,-0.899408192352978,NA,-0.899408192352978
"127","loratadine","Launched","histamine receptor antagonist","HRH1",-0.881483547127719,1,-0.881483547127719,NA,-0.881483547127719
"264","WYE-125132","Preclinical","mTOR inhibitor","MTOR",-0.881468054780938,1,-0.881468054780938,NA,-0.881468054780938
"84","epothilone-a","Preclinical","microtubule stabilizing agent","",-0.876835843093512,1,-0.876835843093512,NA,-0.876835843093512
"220","stavudine","Launched","DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor","",-0.876324595649749,1,-0.876324595649749,NA,-0.876324595649749
"29","bisacodyl","Launched","laxative","",-0.872234616099647,1,-0.872234616099647,NA,-0.872234616099647
"102","fluvastatin","Launched","HMGCR inhibitor","HMGCR",-0.87005019520357,2,-0.87005019520357,0.00440380687297776,-0.87005019520357
"46","cefotaxime","Launched","bacterial cell wall synthesis inhibitor","",-0.8572690091095,1,-0.8572690091095,NA,-0.8572690091095
"10","amlodipine","Launched","calcium channel blocker","CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1",-0.856107083100948,1,-0.856107083100948,NA,-0.856107083100948
"190","promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C",-0.853364937720766,1,-0.853364937720766,NA,-0.853364937720766
"134","metitepine","Preclinical","anti-HCVE2","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7",-0.847090537274586,1,-0.847090537274586,NA,-0.847090537274586
"63","dacinostat","Phase 1","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9",-0.843511805168247,1,-0.843511805168247,NA,-0.843511805168247
"158","nutlin-3","Preclinical","MDM inhibitor","MDM2|TP53",-0.838701431492844,2,-0.838701431492844,0.233697542341402,-0.838701431492844
"188","prochlorperazine","Launched","dopamine receptor antagonist","DRD1|DRD2|DRD3|DRD4",-0.835936047592489,1,-0.835936047592489,NA,-0.835936047592489
"55","CMPD-1","Preclinical","p38 MAPK inhibitor","GNRHR|MAPK14",-0.833147425171965,1,-0.833147425171965,NA,-0.833147425171965
"95","ezetimibe","Launched","cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist","ANPEP|NPC1L1|SOAT1",-0.824688603829708,1,-0.824688603829708,NA,-0.824688603829708
"164","OSI-027","Phase 1","mTOR inhibitor","MTOR",-0.820985932949123,2,-0.820985932949123,0.537549261833424,-0.820985932949123
"276","zuclopenthixol","Launched","dopamine receptor antagonist","ADRA1A|ADRA2A|DRD1|DRD2|DRD5|HRH1|HTR2A",-0.794246142405652,1,-0.794246142405652,NA,-0.794246142405652
"18","AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9",-0.788653405217822,1,-0.788653405217822,NA,-0.788653405217822
"130","mepacrine","Launched","cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator","PLA2G1B|PLA2G4A|PLA2G6|PLCL1",-0.787166139926876,3,-0.814928425357873,0.319876771799483,-0.787166139926876
"54","closantel","Launched","chitinase inhibitor|NFkB pathway inhibitor","",-0.783324037925265,1,-0.783324037925265,NA,-0.783324037925265
"100","FGIN-1-43","Preclinical","benzodiazepine receptor agonist","TSPO",-0.781976203755345,1,-0.781976203755345,NA,-0.781976203755345
"239","torin-2","Preclinical","mTOR inhibitor","MTOR",-0.781790295593977,1,-0.781790295593977,NA,-0.781790295593977
"30","bisindolylmaleimide-ix","Preclinical","PKC inhibitor","AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1",-0.780628369585425,1,-0.780628369585425,NA,-0.780628369585425
"113","IKK-2-inhibitor-V","Phase 1","IKK inhibitor|NFkB pathway inhibitor","IKBKB",-0.772541364565904,1,-0.772541364565904,NA,-0.772541364565904
"126","lonidamine","Launched","glucokinase inhibitor","GCK",-0.764500836586726,1,-0.764500836586726,NA,-0.764500836586726
