"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.005,0.615
"Antifungal Agents","Antifungal Agents",0.008,0.976
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.011,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.013,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.039,1
"Estrogens","Estrogens",0.049,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.051,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.071,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.075,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.084,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.085,1
"Amebicides","Amebicides",0.095,1
"Emetics","Emetics",0.095,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.099,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.105,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.119,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.147,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.153,1
"Teratogens","Teratogens",0.177,1
"Neuroprotective Agents","Neuroprotective Agents",0.188,1
"Anti-Infective Agents","Anti-Infective Agents",0.189,1
"Immunologic Factors","Immunologic Factors",0.196,1
"Protease Inhibitors","Protease Inhibitors",0.196,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.206,1
"Uricosuric Agents","Uricosuric Agents",0.206,1
"Antitussive Agents","Antitussive Agents",0.228,1
"Estrogen Antagonists","Estrogen Antagonists",0.233,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.243,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.288,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.294,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.294,1
"Sympathomimetics","Sympathomimetics",0.294,1
"Tocolytic Agents","Tocolytic Agents",0.294,1
"Progestins","Progestins",0.304,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.324,1
"Cathartics","Cathartics",0.33,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.343,1
"Glucocorticoids","Glucocorticoids",0.366,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.375,1
"Antineoplastic Agents","Antineoplastic Agents",0.376,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.382,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.391,1
"Urological Agents","Urological Agents",0.391,1
"Cardiovascular Agents","Cardiovascular Agents",0.396,1
"Narcotic Antagonists","Narcotic Antagonists",0.398,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.42,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.436,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.436,1
"Antidepressive Agents","Antidepressive Agents",0.44,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.441,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.446,1
"Keratolytic Agents","Keratolytic Agents",0.454,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.457,1
"Serotonin Antagonists","Serotonin Antagonists",0.46,1
"Anti-HIV Agents","Anti-HIV Agents",0.467,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.471,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.48,1
"Nasal Decongestants","Nasal Decongestants",0.48,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.48,1
"Alkylating Agents","Alkylating Agents",0.481,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.481,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.482,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.484,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.496,1
"Sympatholytics","Sympatholytics",0.496,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.505,1
"Antimalarials","Antimalarials",0.523,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.532,1
"Myeloablative Agonists","Myeloablative Agonists",0.565,1
"Antitubercular Agents","Antitubercular Agents",0.578,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.581,1
"Diuretics","Diuretics",0.591,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.591,1
"Indicators and Reagents","Indicators and Reagents",0.604,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.606,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.608,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.61,1
"Bronchodilator Agents","Bronchodilator Agents",0.613,1
"Coloring Agents","Coloring Agents",0.63,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.648,1
"Vasodilator Agents","Vasodilator Agents",0.656,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.681,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.684,1
"Antinematodal Agents","Antinematodal Agents",0.695,1
"Coccidiostats","Coccidiostats",0.718,1
"Antiemetics","Antiemetics",0.729,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.734,1
"Dopamine Antagonists","Dopamine Antagonists",0.736,1
"Anticonvulsants","Anticonvulsants",0.753,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.755,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.764,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.764,1
"Antirheumatic Agents","Antirheumatic Agents",0.813,1
"Antiparasitic Agents","Antiparasitic Agents",0.818,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.819,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.819,1
"Analgesics","Analgesics",0.838,1
"Antihypertensive Agents","Antihypertensive Agents",0.842,1
"Tubulin Modulators","Tubulin Modulators",0.859,1
"GABA Antagonists","GABA Antagonists",0.861,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.87,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.87,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.87,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.87,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.873,1
"Anticestodal Agents","Anticestodal Agents",0.875,1
"Antioxidants","Antioxidants",0.878,1
"Cardiotonic Agents","Cardiotonic Agents",0.882,1
"Anthelmintics","Anthelmintics",0.883,1
"Insecticides","Insecticides",0.883,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.89,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.904,1
