"","id","cmap_score","p","padj","sig_id","cell_id","pert_desc","pert_id","pert_type","pert_dose","pert_time","pert_time_unit","brew_prefix","is_gold","pert_mfc_id","pert_iname","pool_id","zmad_ref"
"307","72263",-1.16155419222904,0,0,"CPC016_A549_6H:BRD-A35588707-001-03-0:10","A549","-666","BRD-A35588707","trt_cp",10,"6","h","CPC016_A549_6H","1","NULL","teniposide","epsilon","population"
"172","328865",-1.11484476668526,0,0,"LJP001_MDAMB231_24H:BRD-K05804044-001-02-9:10","MDAMB231","AZ-628","BRD-K05804044","trt_cp",10,"24","h","LJP001_MDAMB231_24H","1","NULL","AZ-628","epsilon","population"
"223","434321",-1.09225692507901,0,0,"HOG001_A549_24H:BRD-A45889380-300-04-8:10","A549","quinacrine","BRD-A45889380","trt_cp",10,"24","h","HOG001_A549_24H","1","NULL","mepacrine","epsilon","population"
"388","96423",-1.0893753485778,0,0,"CPC018_HT29_6H:BRD-K03015355-003-01-5:10","HT29","-666","BRD-K03015355","trt_cp",10,"6","h","CPC018_HT29_6H","1","NULL","forskolin","epsilon","population"
"8","102224",-1.03927309908905,0,0,"CPC018_NPC_24H:BRD-K97399794-001-10-4:10","NPC","-666","BRD-K97399794","trt_cp",10,"24","h","CPC018_NPC_24H","1","NULL","quercetin","epsilon","population"
"80","18378",-1.00395054842908,0.001,0.049375,"CPC006_A549_24H:BRD-A12230535-001-02-6:44.4","A549","Nutlin-3","BRD-A12230535","trt_cp",44.4,"24","h","CPC006_A549_24H","1","NULL","nutlin-3","epsilon","population"
"193","33440",-0.99214538018219,0.001,0.049375,"CPC006_SKMEL28_6H:BRD-K74402642-003-01-2:10","SKMEL28","Chemistry 2804","BRD-K74402642","trt_cp",10,"6","h","CPC006_SKMEL28_6H","1","NULL","NSC-632839","epsilon","population"
"135","31126",-0.985824502695668,0.001,0.049375,"CPC005_PC3_24H:BRD-A19037878:10","PC3","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC005_PC3_24H","1","NULL","trichostatin-a","epsilon","population"
"310","73191",-0.977505112474438,0.002,0.0877777777777778,"CPC014_A549_6H:BRD-K50140147-001-01-0:10","A549","S1108","BRD-K50140147","trt_cp",10,"6","h","CPC014_A549_6H","1","NULL","NVP-TAE684","epsilon","population"
"177","329278",-0.973182747722625,0.003,0.1185,"LJP002_MDAMB231_24H:BRD-K49865102-001-04-3:10","MDAMB231","PD0325901","BRD-K49865102","trt_cp",10,"24","h","LJP002_MDAMB231_24H","1","NULL","PD-0325901","epsilon","population"
"113","24921",-0.956032719836401,0.005,0.158,"CPC006_HT29_24H:BRD-K21672174-001-02-2:160","HT29","Ro 28-1675 ?","BRD-K21672174","trt_cp",160,"24","h","CPC006_HT29_24H","1","NULL","RO-28-1675","epsilon","population"
"95","21732",-0.943809258226436,0.005,0.158,"CPC006_HA1E_24H:BRD-A19037878:10","HA1E","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC006_HA1E_24H","1","NULL","trichostatin-a","epsilon","population"
