"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.001,0.123
"Enzyme Inhibitors","Enzyme Inhibitors",0.016,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.02,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.026,1
"Antifungal Agents","Antifungal Agents",0.04,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.051,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.06,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.06,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.063,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.071,1
"Amebicides","Amebicides",0.091,1
"Emetics","Emetics",0.091,1
"Antineoplastic Agents","Antineoplastic Agents",0.101,1
"Diuretics","Diuretics",0.115,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.115,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.145,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.145,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.147,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.149,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.155,1
"Analgesics","Analgesics",0.157,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.164,1
"Antinematodal Agents","Antinematodal Agents",0.18,1
"GABA Antagonists","GABA Antagonists",0.183,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.184,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.196,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.198,1
"Neuroprotective Agents","Neuroprotective Agents",0.216,1
"Serotonin Antagonists","Serotonin Antagonists",0.243,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.246,1
"Indicators and Reagents","Indicators and Reagents",0.246,1
"Teratogens","Teratogens",0.25,1
"Antimalarials","Antimalarials",0.253,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.264,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.264,1
"Urological Agents","Urological Agents",0.264,1
"Tubulin Modulators","Tubulin Modulators",0.268,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.283,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.293,1
"Estrogens","Estrogens",0.297,1
"Antihypertensive Agents","Antihypertensive Agents",0.3,1
"Anticestodal Agents","Anticestodal Agents",0.302,1
"Antitussive Agents","Antitussive Agents",0.302,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.316,1
"Sympatholytics","Sympatholytics",0.316,1
"Intercalating Agents","Intercalating Agents",0.319,1
"Anti-Infective Agents","Anti-Infective Agents",0.32,1
"Alkylating Agents","Alkylating Agents",0.326,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.326,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.328,1
"Cathartics","Cathartics",0.336,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.339,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.343,1
"Estrogen Antagonists","Estrogen Antagonists",0.354,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.364,1
"Antimetabolites","Antimetabolites",0.367,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.367,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.409,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.409,1
"Antitubercular Agents","Antitubercular Agents",0.414,1
"Myeloablative Agonists","Myeloablative Agonists",0.425,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.433,1
"Nasal Decongestants","Nasal Decongestants",0.433,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.433,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.444,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.461,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.463,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.469,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.47,1
"Sympathomimetics","Sympathomimetics",0.47,1
"Tocolytic Agents","Tocolytic Agents",0.47,1
"Coccidiostats","Coccidiostats",0.476,1
"Antioxidants","Antioxidants",0.494,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.507,1
"Antiparasitic Agents","Antiparasitic Agents",0.531,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.533,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.533,1
"Progestins","Progestins",0.54,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.546,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.573,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.576,1
"Anticonvulsants","Anticonvulsants",0.591,1
"Bronchodilator Agents","Bronchodilator Agents",0.594,1
"Antiemetics","Antiemetics",0.597,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.6,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.609,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.625,1
"Glucocorticoids","Glucocorticoids",0.639,1
"Coloring Agents","Coloring Agents",0.647,1
"Anti-HIV Agents","Anti-HIV Agents",0.664,1
"Cardiotonic Agents","Cardiotonic Agents",0.682,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.689,1
"Nootropic Agents","Nootropic Agents",0.689,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.712,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.718,1
