"","id","cmap_score","p","padj","sig_id","cell_id","pert_desc","pert_id","pert_type","pert_dose","pert_time","pert_time_unit","brew_prefix","is_gold","pert_mfc_id","pert_iname","pool_id","zmad_ref"
"339","80446",-0.620398773006135,0,0,"CPC015_MCF7_24H:BRD-K19352500-070-05-8:10","MCF7","-666","BRD-K19352500","trt_cp",10,"24","h","CPC015_MCF7_24H","1","NULL","prochlorperazine","epsilon","population"
"191","334203",-0.592791411042945,0,0,"MUC.CP001_MCF7_6H:BRD-K49049886-001-03-8:10","MCF7","CGS-15943","BRD-K49049886","trt_cp",10,"6","h","MUC.CP001_MCF7_6H","1","NULL","CGS-15943","epsilon","population"
"395","99987",-0.588701431492842,0,0,"CPC018_MCF7_24H:BRD-K33882852-003-01-0:10","MCF7","-666","BRD-K33882852","trt_cp",10,"24","h","CPC018_MCF7_24H","1","NULL","ZK-93423","epsilon","population"
"135","31126",-0.583588957055215,0,0,"CPC005_PC3_24H:BRD-A19037878:10","PC3","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC005_PC3_24H","1","NULL","trichostatin-a","epsilon","population"
"144","322781",-0.566462167689162,0,0,"LJP001_BT20_24H:BRD-K79404599-001-05-1:0.4","BT20","LY317615:Enzastaurin","BRD-K79404599","trt_cp",0.4,"24","h","LJP001_BT20_24H","1","NULL","enzastaurin","epsilon","population"
"361","87735",-0.536042944785276,0,0,"CPC014_VCAP_6H:BRD-K68174511-001-01-7:10","VCAP","-666","BRD-K68174511","trt_cp",10,"6","h","CPC014_VCAP_6H","1","NULL","torin-2","epsilon","population"
"359","87472",-0.518149284253579,0,0,"CPC014_SKB_24H:BRD-K50140147-001-01-0:10","SKB","S1108","BRD-K50140147","trt_cp",10,"24","h","CPC014_SKB_24H","1","NULL","NVP-TAE684","epsilon","population"
"177","329278",-0.512014314928425,0,0,"LJP002_MDAMB231_24H:BRD-K49865102-001-04-3:10","MDAMB231","PD0325901","BRD-K49865102","trt_cp",10,"24","h","LJP002_MDAMB231_24H","1","NULL","PD-0325901","epsilon","population"
"322","76048",-0.50178936605317,0,0,"CPC014_HCC515_6H:BRD-K86930074-001-01-9:10","HCC515","S1017","BRD-K86930074","trt_cp",10,"6","h","CPC014_HCC515_6H","1","NULL","cediranib","epsilon","population"
"224","434578",-0.492075664621677,0,0,"HOG002_A549_6H:BRD-K12762134-001-01-3:3.7","A549","-666","BRD-K12762134","trt_cp",3.7,"6","h","HOG002_A549_6H","1","NULL","XAV-939","epsilon","population"
"92","20916",-0.491564417177914,0,0,"CPC006_EFO27_6H:BRD-A19633847-050-20-6:10","EFO27","PERHEXILINE MALEATE","BRD-A19633847","trt_cp",10,"6","h","CPC006_EFO27_6H","1","NULL","perhexiline","epsilon","population"
"374","9059",-0.486451942740286,0,0,"CPC004_HEPG2_6H:BRD-K80431395-001-02-4:10","HEPG2","TRICIRIBINE","BRD-K80431395","trt_cp",10,"6","h","CPC004_HEPG2_6H","1","NULL","triciribine","epsilon","population"
"323","76050",-0.475971370143149,0,0,"CPC014_HCC515_6H:BRD-K50168500-001-01-2:10","HCC515","S1019","BRD-K50168500","trt_cp",10,"6","h","CPC014_HCC515_6H","1","NULL","canertinib","epsilon","population"
"118","260",-0.473415132924335,0,0,"CPC005_A375_6H:BRD-K66093087-001-02-3:10","A375","FGIN-1-43","BRD-K66093087","trt_cp",10,"6","h","CPC005_A375_6H","1","NULL","FGIN-1-43","epsilon","population"
"247","443585",-0.460378323108384,0,0,"HOG001_MCF7_6H:BRD-A75409952-001-01-6:10","MCF7","wortmannin","BRD-A75409952","trt_cp",10,"6","h","HOG001_MCF7_6H","1","NULL","wortmannin","epsilon","population"
"31","116354",-0.453220858895706,0,0,"CVD001_PHH_6H:BRD-K47150025-001-01-2:10","PHH","-666","BRD-K47150025","trt_cp",10,"6","h","CVD001_PHH_6H","1","NULL","KI-8751","epsilon","population"
"369","8981",-0.449642126789366,0,0,"CPC004_HEPG2_6H:BRD-K75958195-037-04-5:10","HEPG2","PIZOTYLINE MALATE","BRD-K75958195","trt_cp",10,"6","h","CPC004_HEPG2_6H","1","NULL","pizotifen","epsilon","population"
"138","321688",-0.448875255623722,0,0,"LJP001_BT20_6H:BRD-K19540840-001-04-5:2","BT20","AZD0530:Saracatinib","BRD-K19540840","trt_cp",2,"6","h","LJP001_BT20_6H","1","NULL","saracatinib","epsilon","population"
"82","19002",-0.438650306748466,0,0,"CPC006_AGS_6H:BRD-M86331534-373-01-5:10","AGS","BJM-ctd2-9","BRD-M86331534","trt_cp",10,"6","h","CPC006_AGS_6H","1","NULL","pyrvinium-pamoate","epsilon","population"
"43","14569",-0.43558282208589,0,0,"CPC003_VCAP_6H:BRD-K92093830-003-05-0:10","VCAP","Doxorubicin hydrochloride","BRD-K92093830","trt_cp",10,"6","h","CPC003_VCAP_6H","1","NULL","doxorubicin","epsilon","population"
"192","334218",-0.428936605316973,0,0,"MUC.CP006_MCF7_6H:BRD-K49049886-001-03-8:20","MCF7","CGS-15943","BRD-K49049886","trt_cp",20,"6","h","MUC.CP006_MCF7_6H","1","NULL","CGS-15943","epsilon","population"
"199","338434",-0.427402862985685,0,0,"NMH001_NEU_6H:BRD-A19500257-001-03-9:10","NEU","geldanamycin","BRD-A19500257","trt_cp",10,"6","h","NMH001_NEU_6H","1","NULL","geldanamycin","epsilon","population"
"87","20084",-0.427147239263804,0,0,"CPC006_COV644_6H:BRD-K88510285-001-01-2:0.04","COV644","B675700.cdx","BRD-K88510285","trt_cp",0.04,"6","h","CPC006_COV644_6H","1","NULL","bortezomib","epsilon","population"
"2","100826",-0.42101226993865,0,0,"CPD001_MCF7_24H:BRD-K77685957-300-06-7:10","MCF7","Dequalinium dichloride","BRD-K77685957","trt_cp",10,"24","h","CPD001_MCF7_24H","1","NULL","dequalinium","epsilon","population"
"352","85187",-0.418200408997955,0,0,"CPC013_PC3_24H:BRD-K49328571-001-04-4:10","PC3","HY-10181","BRD-K49328571","trt_cp",10,"24","h","CPC013_PC3_24H","1","NULL","dasatinib","epsilon","population"
"363","88206",-0.413343558282209,0,0,"CPC013_VCAP_6H:BRD-K82164249-001-01-9:10","VCAP","S1140","BRD-K82164249","trt_cp",10,"6","h","CPC013_VCAP_6H","1","NULL","andarine","epsilon","population"
"213","3857",-0.413087934560327,0,0,"CPC003_HA1E_24H:BRD-K17497770-001-01-0:10","HA1E","Butein","BRD-K17497770","trt_cp",10,"24","h","CPC003_HA1E_24H","1","NULL","butein","epsilon","population"
"351","84586",-0.410787321063395,0,0,"CPC014_PC3_6H:BRD-K86930074-001-01-9:10","PC3","S1017","BRD-K86930074","trt_cp",10,"6","h","CPC014_PC3_6H","1","NULL","cediranib","epsilon","population"
"209","365413",-0.409509202453988,0,0,"PCLB001_MCF7_24H:BRD-A19037878-001-02-3:2.5","MCF7","trichostatin-a","BRD-A19037878","trt_cp",2.5,"24","h","PCLB001_MCF7_24H","1","NULL","trichostatin-a","epsilon","population"
"91","20803",-0.406952965235174,0,0,"CPC006_EFO27_6H:BRD-K64890080-001-03-9:10","EFO27","BI 2536","BRD-K64890080","trt_cp",10,"6","h","CPC006_EFO27_6H","1","NULL","BI-2536","epsilon","population"
"95","21732",-0.40439672801636,0,0,"CPC006_HA1E_24H:BRD-A19037878:10","HA1E","trichostatin-a","BRD-A19037878","trt_cp",10,"24","h","CPC006_HA1E_24H","1","NULL","trichostatin-a","epsilon","population"
"381","9316",-0.403629856850716,0,0,"CPC004_HT29_6H:BRD-K14920963-304-01-9:10","HT29","ERYTHROSINE SODIUM","BRD-K14920963","trt_cp",10,"6","h","CPC004_HT29_6H","1","NULL","erythrosine","epsilon","population"
"107","23838",-0.40081799591002,0,0,"CPC006_HEPG2_6H:BRD-K64634304-001-01-5:40","HEPG2","Retinoic acid","BRD-K64634304","trt_cp",40,"6","h","CPC006_HEPG2_6H","1","NULL","tretinoin","epsilon","population"
"13","104309",-0.400306748466258,0,0,"CPC017_PHH_24H:BRD-K15791587-003-01-7:10","PHH","-666","BRD-K15791587","trt_cp",10,"24","h","CPC017_PHH_24H","1","NULL","L-733060","epsilon","population"
"388","96423",-0.392893660531697,0,0,"CPC018_HT29_6H:BRD-K03015355-003-01-5:10","HT29","-666","BRD-K03015355","trt_cp",10,"6","h","CPC018_HT29_6H","1","NULL","forskolin","epsilon","population"
"329","77487",-0.392382413087935,0,0,"CPC016_HT29_6H:BRD-K08547377-003-03-2:10","HT29","-666","BRD-K08547377","trt_cp",10,"6","h","CPC016_HT29_6H","1","NULL","irinotecan","epsilon","population"
"124","28202",-0.387269938650307,0,0,"CPC006_NCIH2073_6H:BRD-K73789395-001-06-5:102.71","NCIH2073","ZM 336372","BRD-K73789395","trt_cp",102.71,"6","h","CPC006_NCIH2073_6H","1","NULL","ZM-336372","epsilon","population"
"161","325851",-0.382924335378323,0,0,"LJP001_MCF10A_24H:BRD-K85606544-001-04-2:0.4","MCF10A","HKI-272:Neratinib","BRD-K85606544","trt_cp",0.4,"24","h","LJP001_MCF10A_24H","1","NULL","neratinib","epsilon","population"
"168","32739",-0.382668711656442,0,0,"CPC006_SKM1_6H:BRD-K76964878-001-01-8:24","SKM1","EX 527","BRD-K76964878","trt_cp",24,"6","h","CPC006_SKM1_6H","1","NULL","EX-527","epsilon","population"
"171","328540",-0.381901840490798,0,0,"LJP001_MDAMB231_6H:BRD-K78431006-001-04-5:10","MDAMB231","PF02341066:Crizotinib","BRD-K78431006","trt_cp",10,"6","h","LJP001_MDAMB231_6H","1","NULL","crizotinib","epsilon","population"
"28","115202",-0.377556237218814,0,0,"CPD002_PC3_24H:BRD-A19952358-001-07-1:10","PC3","Closantel","BRD-A19952358","trt_cp",10,"24","h","CPD002_PC3_24H","1","NULL","closantel","epsilon","population"
"188","332614",-0.375,0,0,"NMH002_FIBRNPC_24H:BRD-K04923131-001-11-3:10","FIBRNPC","BIO","BRD-K04923131","trt_cp",10,"24","h","NMH002_FIBRNPC_24H","1","NULL","GSK-3-inhibitor-IX","epsilon","population"
"330","7749",-0.374488752556237,0,0,"CPC004_HCC515_24H:BRD-K66296774-001-02-0:10","HCC515","FLUVASTATIN","BRD-K66296774","trt_cp",10,"24","h","CPC004_HCC515_24H","1","NULL","fluvastatin","epsilon","population"
"145","322782",-0.37321063394683,0,0,"LJP001_BT20_24H:BRD-K79404599-001-05-1:0.08","BT20","LY317615:Enzastaurin","BRD-K79404599","trt_cp",0.08,"24","h","LJP001_BT20_24H","1","NULL","enzastaurin","epsilon","population"
"57","166122",-0.370398773006135,0,0,"ERG011_VCAP_6H:BRD-K82261406-001-03-8:2","VCAP","EWS-FLI-Inhibitor","BRD-K82261406","trt_cp",2,"6","h","ERG011_VCAP_6H","1","NULL","anisomycin","epsilon","population"
"333","78856",-0.370143149284254,0,0,"CPC016_MCF7_6H:BRD-A82656074-003-01-2:10","MCF7","-666","BRD-A82656074","trt_cp",10,"6","h","CPC016_MCF7_6H","1","NULL","naltrindole","epsilon","population"
"52","15750",-0.367842535787321,0,0,"CPC004_VCAP_24H:BRD-K39987650-001-15-9:10","VCAP","BISACODYL","BRD-K39987650","trt_cp",10,"24","h","CPC004_VCAP_24H","1","NULL","bisacodyl","epsilon","population"
"278","58155",-0.366564417177914,0,0,"CPC012_ASC_24H:BRD-A75409952:10","ASC","wortmannin","BRD-A75409952","trt_cp",10,"24","h","CPC012_ASC_24H","1","NULL","wortmannin","epsilon","population"
"12","103944",-0.365541922290389,0,0,"CPC020_PC3_24H:BRD-K21680192-003-15-1:10","PC3","mitoxantrone","BRD-K21680192","trt_cp",10,"24","h","CPC020_PC3_24H","1","NULL","mitoxantrone","epsilon","population"
"149","323352",-0.362474437627812,0,0,"LJP001_HS578T_6H:BRD-K57080016-001-08-4:0.4","HS578T","AZD6244:Selumetinib, Array142886","BRD-K57080016","trt_cp",0.4,"6","h","LJP001_HS578T_6H","1","NULL","selumetinib","epsilon","population"
"297","6977",-0.359406952965235,0,0,"CPC003_HCC515_6H:BRD-A34205397-001-03-7:10","HCC515","SULOCTIDIL","BRD-A34205397","trt_cp",10,"6","h","CPC003_HCC515_6H","1","NULL","suloctidil","epsilon","population"
"302","71176",-0.358640081799591,0,0,"CPC015_A375_6H:BRD-A34205397-001-03-7:10","A375","-666","BRD-A34205397","trt_cp",10,"6","h","CPC015_A375_6H","1","NULL","suloctidil","epsilon","population"
"344","82686",-0.353527607361963,0,0,"CPC016_NPC_24H:BRD-A35588707-001-03-0:10","NPC","-666","BRD-A35588707","trt_cp",10,"24","h","CPC016_NPC_24H","1","NULL","teniposide","epsilon","population"
"99","23151",-0.352505112474438,0,0,"CPC006_HCT116_6H:BRD-A79465854-001-01-3:10","HCT116","auranofin","BRD-A79465854","trt_cp",10,"6","h","CPC006_HCT116_6H","1","NULL","auranofin","epsilon","population"
"172","328865",-0.352505112474438,0,0,"LJP001_MDAMB231_24H:BRD-K05804044-001-02-9:10","MDAMB231","AZ-628","BRD-K05804044","trt_cp",10,"24","h","LJP001_MDAMB231_24H","1","NULL","AZ-628","epsilon","population"
"183","33051",-0.352249488752556,0,0,"CPC006_SKMEL1_6H:BRD-K88510285-001-01-2:0.04","SKMEL1","B675700.cdx","BRD-K88510285","trt_cp",0.04,"6","h","CPC006_SKMEL1_6H","1","NULL","bortezomib","epsilon","population"
"211","3673",-0.351482617586912,0,0,"CPC001_HA1E_24H:BRD-K68336408-001-03-4:10","HA1E","AG-1478","BRD-K68336408","trt_cp",10,"24","h","CPC001_HA1E_24H","1","NULL","tyrphostin-AG-1478","epsilon","population"
"394","99933",-0.349948875255624,0,0,"CPC017_MCF7_24H:BRD-K28761384-003-03-6:10","MCF7","-666","BRD-K28761384","trt_cp",10,"24","h","CPC017_MCF7_24H","1","NULL","zuclopenthixol","epsilon","population"
"88","20304",-0.348926380368098,0,0,"CPC006_COV644_6H:BRD-A79768653-001-02-1:10","COV644","sirolimus","BRD-A79768653","trt_cp",10,"6","h","CPC006_COV644_6H","1","NULL","sirolimus","epsilon","population"
"29","115445",-0.347648261758691,0,0,"CPD002_PC3_24H:BRD-K82795137-001-18-9:10","PC3","Loratadine","BRD-K82795137","trt_cp",10,"24","h","CPD002_PC3_24H","1","NULL","loratadine","epsilon","population"
"85","19948",-0.34739263803681,0,0,"CPC006_CORL23_6H:BRD-A19037878:10","CORL23","trichostatin-a","BRD-A19037878","trt_cp",10,"6","h","CPC006_CORL23_6H","1","NULL","trichostatin-a","epsilon","population"
