"","target","p","padj"
"Antiviral Agents","Antiviral Agents",0.006,0.738
"Immunosuppressive Agents","Immunosuppressive Agents",0.023,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.023,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.026,1
"Antihypertensive Agents","Antihypertensive Agents",0.038,1
"Estrogen Antagonists","Estrogen Antagonists",0.044,1
"Antineoplastic Agents","Antineoplastic Agents",0.054,1
"Antifungal Agents","Antifungal Agents",0.068,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.071,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.072,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.078,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.091,1
"Amebicides","Amebicides",0.099,1
"Emetics","Emetics",0.099,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.103,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.127,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.141,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.141,1
"Antitubercular Agents","Antitubercular Agents",0.145,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.158,1
"Sympatholytics","Sympatholytics",0.158,1
"Neuroprotective Agents","Neuroprotective Agents",0.177,1
"Immunologic Factors","Immunologic Factors",0.178,1
"Protease Inhibitors","Protease Inhibitors",0.178,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.19,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.192,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.196,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.199,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.199,1
"Nasal Decongestants","Nasal Decongestants",0.199,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.199,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.204,1
"Teratogens","Teratogens",0.206,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.21,1
"Indicators and Reagents","Indicators and Reagents",0.214,1
"Diuretics","Diuretics",0.257,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.257,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.258,1
"Serotonin Antagonists","Serotonin Antagonists",0.258,1
"Anti-Infective Agents","Anti-Infective Agents",0.275,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.289,1
"Estrogens","Estrogens",0.289,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.305,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.307,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.34,1
"Cathartics","Cathartics",0.345,1
"Coloring Agents","Coloring Agents",0.355,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.36,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.362,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.385,1
"Analgesics","Analgesics",0.39,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.39,1
"Antipsychotic Agents","Antipsychotic Agents",0.395,1
"Antitussive Agents","Antitussive Agents",0.397,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.402,1
"Urological Agents","Urological Agents",0.402,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.411,1
"Coccidiostats","Coccidiostats",0.413,1
"Keratolytic Agents","Keratolytic Agents",0.414,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.42,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.428,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.429,1
"Sympathomimetics","Sympathomimetics",0.429,1
"Tocolytic Agents","Tocolytic Agents",0.429,1
"GABA Antagonists","GABA Antagonists",0.43,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.435,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.435,1
"Anticonvulsants","Anticonvulsants",0.461,1
"Glucocorticoids","Glucocorticoids",0.48,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.48,1
"Intercalating Agents","Intercalating Agents",0.481,1
"Progestins","Progestins",0.484,1
"Anti-HIV Agents","Anti-HIV Agents",0.485,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.499,1
"Dopamine Antagonists","Dopamine Antagonists",0.53,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.533,1
"Nootropic Agents","Nootropic Agents",0.533,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.556,1
"Antiparasitic Agents","Antiparasitic Agents",0.564,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.567,1
"Antiemetics","Antiemetics",0.57,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.594,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.604,1
"Antidepressive Agents","Antidepressive Agents",0.607,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.618,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.618,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.618,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.618,1
"Alkylating Agents","Alkylating Agents",0.619,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.619,1
"Myeloablative Agonists","Myeloablative Agonists",0.63,1
"Antioxidants","Antioxidants",0.632,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.636,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.679,1
"Bronchodilator Agents","Bronchodilator Agents",0.688,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.691,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.709,1
"Tubulin Modulators","Tubulin Modulators",0.712,1
"Anticestodal Agents","Anticestodal Agents",0.714,1
"Antimalarials","Antimalarials",0.725,1
"Antirheumatic Agents","Antirheumatic Agents",0.731,1
"Antinematodal Agents","Antinematodal Agents",0.736,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.747,1
"Narcotic Antagonists","Narcotic Antagonists",0.755,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.788,1
"Trypanocidal Agents","Trypanocidal Agents",0.789,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.796,1
"Vasodilator Agents","Vasodilator Agents",0.796,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.812,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.814,1
"Anthelmintics","Anthelmintics",0.829,1
"Insecticides","Insecticides",0.829,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.858,1
"Uricosuric Agents","Uricosuric Agents",0.858,1
"Antipruritics","Antipruritics",0.863,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.863,1
"Cardiotonic Agents","Cardiotonic Agents",0.871,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.876,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.88,1
"Antimetabolites","Antimetabolites",0.892,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.892,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.945,1
"Cardiovascular Agents","Cardiovascular Agents",0.981,1
